Group,Player
0,Malik Allen
1,Rafer Alston
2,"Shareef Abdur-Rahim,Ray Allen,Derek Anderson,Gilbert Arenas,Mike Bibby,Chauncey Billups,Kobe Bryant,Caron Butler,Vince Carter,Sam Cassell,Jamal Crawford,Ricky Davis,Howard Eisley,Michael Finley,Derek Fisher,Rick Fox,Steve Francis,Richard Hamilton,Matt Harpring,Al Harrington,Allan Houston,Juwan Howard,Troy Hudson,Larry Hughes,Allen Iverson*,Bobby Jackson,Antawn Jamison,Eddie Jones,Michael Jordan*,Jason Kidd,Voshon Lenard,Rashard Lewis,Corey Maggette,Karl Malone*,Stephon Marbury,Shawn Marion,Jamal Mashburn,Desmond Mason,Tracy McGrady,Andre Miller,Mike Miller,Reggie Miller*,Cuttino Mobley,Steve Nash,Dirk Nowitzki,Tony Parker,Gary Payton*,Morris Peterson,Paul Pierce,Michael Redd,Jason Richardson,Glenn Robinson,Jalen Rose,Eric Snow,Latrell Sprewell,Jerry Stackhouse,John Stockton*,Peja Stojakovic,Wally Szczerbiak,Jason Terry,Nick Van,Keith Van,Antoine Walker,Rasheed Wallace,Bonzi Wells,David Wesley,Alvin Williams,Jason Williams,Corliss Williamson,Metta World"
3,Kenny Anderson
4,Shandon Anderson
5,"Darrell Armstrong,Brent Barry,Doug Christie"
6,Jon Barry
7,Mike Batiste
8,Shane Battier
9,"Vin Baker,Lonny Baxter,Michael Bradley,Jason Caffey,Melvin Ely,Dan Gadzuric,Steven Hunter,Tony Massenburg,Jelani McCoy,Stanislav Medvedenko,Jerome Moiso,Lee Nailon,Scot Pollard,Etan Thomas,Jahidi White,Chris Wilcox,Kevin Willis"
10,Raja Bell
11,Jonathan Bender
12,Travis Best
13,Corie Blount
14,Mark Blount
15,Ryan Bowen
16,Earl Boykins
17,"Tony Battie,Shawn Bradley,Keon Clark,Derrick Coleman,Dale Davis,Adonal Foyle,Theo Ratliff,David Robinson*,Ben Wallace"
18,"Courtney Alexander,Carlos Arroyo,Chucky Atkins,J.R. Bremer,Rick Brunson,Dan Dickau,Keyon Dooling,Mark Jackson,Casey Jacobsen,Smush Parker,Damon Stoudamire,Dajuan Wagner,Chris Whitney"
19,"John Amaechi,Stacey Augmon,Corey Benjamin,Damone Brown,Kedrick Brown,Randy Brown,Pat Burke,Anthony Carter,Chris Childs,Bimbo Coles,Jason Collier,John Crotty,Emanual Davis,Hubert Davis,Juan Dixon,Michael Doleac,LaPhonso Ellis,Danny Ferry,Greg Foster,Marcus Haislip,Adam Harrington,Juaquin Hawkins,Eddie House,Ryan Humphrey,Lindsey Hunter,Jermaine Jackson,Chris Jefferies,Ken Johnson,Damon Jones,Fred Jones,Popeye Jones,Steve Kerr,Brevin Knight,Travis Knight,Dan Langhi,Art Long,Grant Long,Matt Maloney,Sean Marks,Roger Mason,Chris Mills,Tracy Murray,Moochie Norris,Jannero Pargo,Igor Rakocevic,Efthimi Rentzias,Kareem Rush,John Salmons,Kenny Satterfield,Predrag Savovic,Ansu Sesay,Bobby Simmons,Tamar Slay,Steve Smith,DeShawn Stevenson,Michael Stewart,Bruno Sundov,Hedo Turkoglu,Jiri Welsch,Mike Wilks,Frank Williams,Scott Williams,Wang Zhizhi"
20,Kwame Brown
21,"Carlos Boozer,Elton Brand,P.J. Brown,Vlade Divac,Tim Duncan,Kevin Garnett,Pau Gasol,Brian Grant,Nene Hilario,Zydrunas Ilgauskas,Richard Jefferson,Christian Laettner,Jamaal Magloire,Donyell Marshall,Kenyon Martin,Brad Miller,Yao Ming*,Troy Murphy,Jermaine O'Neal,Shaquille O'Neal*,Malik Rose,Amar'e Stoudemire,Kenny Thomas,Kurt Thomas,Clarence Weatherspoon,Chris Webber,Jerome Williams"
22,Rasual Butler
23,Marcus Camby
24,"Tierre Brown,Robert Pack,Rod Strickland"
25,Calbert Cheaney
26,Speedy Claxton
27,Jason Collins
28,Austin Croshere
29,Eddy Curry
30,Michael Curry
31,"Tyson Chandler,Erick Dampier,Brendan Haywood,Greg Ostertag,Stromile Swift"
32,Antonio Daniels
33,Antonio Davis
34,Baron Davis
35,"Tony Delk,Pat Garrity"
36,DeSagana Diop
37,Predrag Drobnjak
38,Mike Dunleavy
39,Evan Eschmeyer
40,Reggie Evans
41,Marcus Fizer
42,"Calvin Booth,Primoz Brezec,Jarron Collins,Danny Fortson,Lawrence Funderburke,Sean Lampley,Mark Madsen,Chris Mihm,Nazr Mohammed,Mamadou N'Diaye,Olumide Oyedeji,Vitaly Potapenko,Jake Tsakalidis,Loren Woods"
43,Tremaine Fowlkes
44,Devean George
45,Kendall Gill
46,Manu Ginobili
47,"Gordan Giricek,Dion Glover"
48,Adrian Griffin
49,Eddie Griffin
50,Tom Gugliotta
51,Darvin Ham
52,Anfernee Hardaway
53,Tim Hardaway
54,Lucious Harris
55,"Donnell Harvey,Shawn Kemp,Vladimir Stepania"
56,Trenton Hassell
57,Alan Henderson
58,Grant Hill
59,"Jeff Foster,Tyrone Hill,Samaki Walker"
60,Fred Hoiberg
61,Robert Horry
62,"Maceo Baston,Todd MacCulloch,Zeljko Rebraca"
63,Jim Jackson
64,Marc Jackson
65,Stephen Jackson
66,Jerome James
67,Anthony Johnson
68,Avery Johnson
69,Ervin Johnson
70,Joe Johnson
71,Andrei Kirilenko
72,Kerry Kittles
73,Toni Kukoc
74,Raef LaFrentz
75,Tyronn Lue
76,George Lynch
77,"Othella Harrington,Anthony Mason"
78,"Bruce Bowen,Walter McCarty"
79,Jeff McInnis
80,Aaron McKie
81,Ron Mercer
82,Darius Miles
83,"Chris Andersen,Elden Campbell,Dikembe Mutombo*,Joel Przybilla"
84,Eduardo Najera
85,Rasho Nesterovic
86,Ira Newble
87,Charles Oakley
88,Lamar Odom
89,Mehmet Okur
90,Kevin Ollie
91,Michael Olowokandi
92,Bo Outlaw
93,Scott Padgett
94,"Junior Harrington,Milt Palacio"
95,"Tariq Abdul-Wahad,Terence Morris,Cherokee Parks,Monty Williams"
96,Ruben Patterson
97,Anthony Peeler
98,"Wesley Person,Eric Piatkowski,Glen Rice"
99,Scottie Pippen*
100,James Posey
101,Tayshaun Prince
102,"Jumaine Jones,Vladimir Radmanovic"
103,Zach Randolph
104,Quentin Richardson
105,Clifford Robinson
106,"Greg Buckner,Eddie Robinson"
107,Rodney Rogers
108,Sean Rooks
109,Bryon Russell
110,Arvydas Sabonis*
111,Jeryl Sasser
112,Brian Scalabrine
113,Brian Shaw
114,"Kelvin Cato,Andrew DeClercq,Brian Skinner,Gary Trent,Jake Voskuhl"
115,Reggie Slater
116,Joe Smith
117,Erick Strickland
