Group,Player
2,"Rafael Araujo,Brandon Bass,Andray Blatche,Andre Brown,Jackie Butler,Paul Davis,Melvin Ely,Danny Fortson,Dan Gadzuric,Orien Greene,Othella Harrington,Jerome James,Bobby Jones,Viktor Khryapa,Patrick O'Bryant,Michael Olowokandi,Scot Pollard,Josh Powell,Jared Reiner,Bernard Robinson,Michael Ruffin,Mouhamed Sene,Cedric Simmons,James Singleton,Mike Sweetney,Maurice Taylor,Jake Tsakalidis,Bonzi Wells"
3,LaMarcus Aldridge
6,Tony Allen
12,"Ray Allen,Rafer Alston,Carmelo Anthony,Gilbert Arenas,Leandro Barbosa,Charlie Bell,Raja Bell,Mike Bibby,Chauncey Billups,Devin Brown,Kobe Bryant,Caron Butler,Vince Carter,Jamal Crawford,Baron Davis,Ricky Davis,Mike Dunleavy,Raymond Felton,T.J. Ford,Manu Ginobili,Ben Gordon,Danny Granger,Richard Hamilton,Al Harrington,Luther Head,Kirk Hinrich,Josh Howard,Larry Hughes,Andre Iguodala,Allen Iverson*,Jarrett Jack,Stephen Jackson,LeBron James,Antawn Jamison,Joe Johnson,Rashard Lewis,Stephon Marbury,Shawn Marion,Kevin Martin,Tracy McGrady,Andre Miller,Mike Miller,Cuttino Mobley,Steve Nash,Jameer Nelson,Dirk Nowitzki,Mehmet Okur,Anthony Parker,Tony Parker,Chris Paul,Paul Pierce,Tayshaun Prince,Michael Redd,Brandon Roy,Jason Terry,Tim Thomas,Jamaal Tinsley,Hedo Turkoglu,Gerald Wallace,Luke Walton,Earl Watson,Delonte West,Deron Williams,Mo Williams,Metta World"
13,Trevor Ariza
14,"Derek Anderson,Darrell Armstrong"
16,Carlos Arroyo
19,Renaldo Balkman
22,"Maurice Ager,Malik Allen,Alan Anderson,Marcus Banks,J.J. Barea,Earl Barron,Will Blalock,Cedric Bozeman,Dee Brown,Shannon Brown,Pat Burke,Speedy Claxton,Mardy Collins,Marquis Daniels,Yakhouba Diawara,Dan Dickau,Quincy Douby,Daniel Ewing,Matt Freije,Pat Garrity,Stephen Graham,Lynn Greer,Junior Harrington,Robert Hite,Troy Hudson,Lindsey Hunter,Royal Ivey,Luke Jackson,Marc Jackson,Sarunas Jasikevicius,DerMarr Johnson,Jumaine Jones,Raef LaFrentz,John Lucas,Damir Markota,Rawle Marshall,Darrick Martin,Roger Mason,Rashad McCants,Jeff McInnis,Keith McLeod,C.J. Miles,David Noel,Steve Novak,Kevin Ollie,Scott Padgett,Ronnie Price,Chris Quinn,Allan Ray,Justin Reed,Anthony Roberson,Clifford Robinson,Luke Schenscher,Vassilis Spanoulis,Salim Stoudamire,Donell Taylor,Beno Udrih,Jacque Vaughn,David Wesley,James White,Mike Wilks,Eric Williams,Lou Williams,Shammond Williams,Bracey Wright"
23,Andrea Bargnani
26,Brent Barry
30,"Matt Barnes,Shane Battier,Ime Udoka"
36,Steve Blake
39,"Shareef Abdur-Rahim,Mark Blount"
40,"Keith Bogans,Daniel Gibson,Damon Jones,Brian Scalabrine,Sasha Vujacic"
41,Andrew Bogut
42,Matt Bonner
43,"Hilton Armstrong,Josh Boone,Alexander Johnson,Solomon Jones,Jamal Sampson,Aaron Williams,Justin Williams"
44,Calvin Booth
46,"Carlos Boozer,Chris Bosh,Elton Brand,Luol Deng,Tim Duncan,Kevin Garnett,Pau Gasol,Dwight Howard,Yao Ming*,Zach Randolph,Amar'e Stoudemire,David West"
47,Bruce Bowen
48,"Chucky Atkins,Earl Boykins,Jerry Stackhouse"
51,Ronnie Brewer
52,Primoz Brezec
56,Kwame Brown
57,P.J. Brown
60,Greg Buckner
64,Rasual Butler
65,"Andrew Bynum,Erick Dampier,Brendan Haywood,Nene Hilario,Steven Hunter,Mikki Moore,Alonzo Mourning*,Dikembe Mutombo*,Etan Thomas,Ronny Turiaf"
66,Jose Calderon
68,Brian Cardinal
69,Rodney Carney
72,Sam Cassell
74,Josh Childress
76,Jarron Collins
77,Jason Collins
79,"Andris Biedrins,Marcus Camby,Tyson Chandler,Nick Collison,Samuel Dalembert,Drew Gooden,Udonis Haslem,Juwan Howard,Zydrunas Ilgauskas,Al Jefferson,Antonio McDyess,Emeka Okafor,Ben Wallace,Chris Wilcox"
80,Brian Cook
82,Austin Croshere
86,Antonio Daniels
89,Dale Davis
92,Carlos Delfino
94,Boris Diaw
97,"Kelenna Azubuike,Travis Diener,J.J. Redick,Jalen Rose,Peja Stojakovic"
99,"DeSagana Diop,Francisco Elson,Kendrick Perkins,Brian Skinner"
100,Juan Dixon
101,Michael Doleac
102,"Keyon Dooling,Fred Jones"
104,Chris Duhon
107,Monta Ellis
110,Maurice Evans
111,Reggie Evans
113,Jordan Farmar
115,Michael Finley
116,Derek Fisher
121,Adonal Foyle
122,Steve Francis
124,Channing Frye
126,Jorge Garbajosa
127,Francisco Garcia
131,Rudy Gay
132,Mickael Gelabale
133,Devean George
136,Gordan Giricek
137,Ryan Gomes
