Group,Player
0,"Mahmoud Abdul-Rauf,Tariq Abdul-Wahad,Vincent Askew,Drew Barry,Jon Barry,Corey Beck,Muggsy Bogues,Scott Brooks,Rick Brunson,Chris Carr,Bimbo Coles,James Collins,Chris Crawford,John Crotty,Bill Curley,Dell Curry,Antonio Daniels,Emanual Davis,Terry Dehere,Ledell Eackles,Kevin Edwards,Tony Farmer,Chris Garner,Kiwane Garris,Gary Grant,Ed Gray,Litterial Green,Anfernee Hardaway,Derek Harper,Lucious Harris,Fred Hoiberg,Jerald Honeycutt,Bobby Hurley,Henry James,Anthony Johnson,Eddie Johnson,Popeye Jones,Rusty LaRue,Sam Mack,Gerald Madkins,Vernon Maxwell,Lee Mayberry,Nate McMillan,Chris Morris,Martin Muursepp,Kevin Ollie,Doug Overton,Robert Pack,Anthony Parker,Elliot Perry,Ricky Pierce,Brent Price,Shawn Respert,Rodrick Rhodes,Pooh Richardson,Chris Robinson,James Robinson,God Shammgod,Brian Shaw,Charles Smith,Eric Snow,Latrell Sprewell,Bryant Stith,Erick Strickland,Bob Sura,Johnny Taylor,Carl Thomas,Brooks Thompson,Jacque Vaughn,Rex Walters,Eric Washington,DeJuan Wheat,Gerald Wilkins,Alvin Williams,Eric Williams,Micheal Williams,Walt Williams"
1,Derek Anderson
2,Shandon Anderson
3,"Cory Alexander,Greg Anthony,Chris Childs,Howard Eisley,Derek Fisher,Mark Price"
4,B.J. Armstrong
5,"Darrell Armstrong,Tyus Edney"
6,"Keith Askins,David Benoit,Sean Elliott,Brian Evans,Danny Ferry,Terry Mills"
7,Stacey Augmon
8,"Shareef Abdur-Rahim,Ray Allen,Kenny Anderson,Nick Anderson,Isaac Austin,Vin Baker,Charles Barkley*,Chauncey Billups,Mookie Blaylock,P.J. Brown,Kobe Bryant,Elden Campbell,Sam Cassell,Doug Christie,Derrick Coleman,Antonio Davis,Dale Davis,Terry Davis,Andrew DeClercq,Bison Dele,Vlade Divac,Clyde Drexler*,Tim Duncan,LaPhonso Ellis,Michael Finley,Rick Fox,Kevin Garnett,Matt Geiger,Kendall Gill,Armen Gilliam,Brian Grant,Horace Grant,A.C. Green,Tom Gugliotta,Tim Hardaway,Ron Harper,Hersey Hawkins,Alan Henderson,Grant Hill,Tyrone Hill,Jeff Hornacek,Robert Horry,Allan Houston,Juwan Howard,Lindsey Hunter,Zydrunas Ilgauskas,Allen Iverson*,Jim Jackson,Mark Jackson,Avery Johnson,Ervin Johnson,Larry Johnson,Eddie Jones,Michael Jordan*,Adam Keefe,Shawn Kemp,Jason Kidd,Kerry Kittles,Brevin Knight,Toni Kukoc,Christian Laettner,Karl Malone*,Danny Manning,Stephon Marbury,Donyell Marshall,Jamal Mashburn,Anthony Mason,Antonio McDyess,Reggie Miller*,Sam Mitchell,Alonzo Mourning*,Chris Mullin*,Lamond Murray,Dikembe Mutombo*,Shaquille O'Neal*,Charles Oakley,Hakeem Olajuwon*,Bo Outlaw,Billy Owens,Gary Payton*,Will Perdue,Wesley Person,Scottie Pippen*,Theo Ratliff,Bryant Reeves,Glen Rice,Mitch Richmond*,Isaiah Rider,Clifford Robinson,David Robinson*,Glenn Robinson,Dennis Rodman*,Rodney Rogers,Bryon Russell,Arvydas Sabonis*,Detlef Schrempf,Steve Smith,Rik Smits,Jerry Stackhouse,Damon Stoudamire,Rod Strickland,Tim Thomas,Otis Thorpe,Keith Van,Antoine Walker,Rasheed Wallace,Charlie Ward,Chris Webber,David Wesley,Jayson Williams,Jerome Williams,Corliss Williamson,Kevin Willis"
9,"Dana Barros,Brent Barry,Dee Brown,Matt Bullard,Rex Chapman,Hubert Davis,Joe Dumars*,Mario Elie,Dale Ellis,Jaren Jackson,Steve Kerr,Voshon Lenard,Matt Maloney,Tracy Murray,Steve Nash,Eric Piatkowski,Terry Porter,Eldridge Recasner,Dennis Scott,John Starks,Nick Van"
