Group,Player
0,Cory Alexander
1,"Ashraf Amaya,Donnie Boyce,Mark Bradtke,Adrian Caldwell,Yinka Dare,Bison Dele,Greg Dreiling,Nate Driggers,Tony Dumas,Acie Earl,Pervis Ellison,Jamie Feick,Brian Grant,Darvin Ham,Steve Hamer,Mark Hendrickson,Stacey King,Antonio Lang,Eric Leckner,Alton Lister,Rick Mahorn,Rich Manning,Walter McCarty,Amal McCaskill,Eric Mobley,Martin Muursepp,Ivano Newbill,Ken Norman,Jermaine O'Neal,Ray Owes,Dino Radja,Stanley Roberts,Lou Roe,Kevin Salvadori,Danny Schayes,Dickey Simpkins,Charles Smith,Larry Stewart,Mark Strickland,Brett Szabo,Zan Tabak,Kurt Thomas,LaSalle Thompson,David Vaughn,Samaki Walker,Ben Wallace,Herb Williams,Dontonio Wingfield,Joe Wolf,George Zidek"
2,Greg Anderson
3,Nick Anderson
4,"Willie Anderson,Scott Brooks,Eric Murdock"
5,"Greg Anthony,Jason Kidd"
6,Vincent Askew
7,Keith Askins
8,Stacey Augmon
9,"Shareef Abdur-Rahim,Isaac Austin,Vin Baker,Charles Barkley*,Shawn Bradley,Marcus Camby,Elden Campbell,Derrick Coleman,Antonio Davis,Vlade Divac,Patrick Ewing*,Kevin Garnett,Dean Garrett,Armen Gilliam,Horace Grant,Tom Gugliotta,Grant Hill,Tyrone Hill,Juwan Howard,Shawn Kemp,Christian Laettner,Karl Malone*,Danny Manning,Anthony Mason,Antonio McDyess,Alonzo Mourning*,Gheorghe Muresan,Dikembe Mutombo*,Shaquille O'Neal*,Charles Oakley,Hakeem Olajuwon*,Will Perdue,Olden Polynice,Bryant Reeves,Glenn Robinson,Carlos Rogers,Rodney Rogers,Arvydas Sabonis*,Rony Seikaly,Joe Smith,Derek Strong,Otis Thorpe,Gary Trent,Loy Vaught,Antoine Walker,Rasheed Wallace,Clarence Weatherspoon,Chris Webber,Kevin Willis"
10,"B.J. Armstrong,Dana Barros,Melvin Booker,Emanual Davis,Tony Delk,Michael Hawkins,Jeff McInnis,Steve Nash,Doug Overton,Brent Price,Shawn Respert,Kenny Smith,Rex Walters"
11,"Darrell Armstrong,Brent Barry,Chris Whitney"
12,Jon Barry
13,Travis Best
