Group,Player
0,Malik Allen
1,Tony Allen
2,Rafer Alston
3,"Arron Afflalo,Maurice Ager,Blake Ahearn,Derek Anderson,Darrell Armstrong,Chucky Atkins,Marcus Banks,J.J. Barea,Earl Barron,Marco Belinelli,Earl Boykins,Aaron Brooks,P.J. Brown,Shannon Brown,Greg Buckner,Brian Cardinal,Wilson Chandler,Mardy Collins,Mike Conley,Brian Cook,Javaris Crittenton,Jermareo Davidson,Paul Davis,Yakhouba Diawara,Juan Dixon,Michael Doleac,Quincy Douby,Francisco Elson,Richie Frahm,Steve Francis,Pat Garrity,Mickael Gelabale,Devean George,Eddie Gill,Gordan Giricek,Joey Graham,Gerald Green,Adrian Griffin,Anfernee Hardaway,Othella Harrington,Jason Hart,Trenton Hassell,Juwan Howard,Lindsey Hunter,Royal Ivey,Luke Jackson,Casey Jacobsen,Mike James,Bobby Jones,Solomon Jones,Viktor Khryapa,Nenad Krstic,Acie Law,Tyronn Lue,Mark Madsen,Jamaal Magloire,Darrick Martin,Jeff McInnis,Chris Mihm,Randolph Morris,Kevin Ollie,Andre Owens,Smush Parker,Ruben Patterson,Sasha Pavlovic,Oleksiy Pecherov,Eric Piatkowski,Kasib Powell,J.J. Redick,Jeremy Richardson,Luke Ridnour,Sergio Rodriguez,Malik Rose,Brian Scalabrine,Eric Snow,Damon Stoudamire,Salim Stoudamire,D.J. Strawberry,Jacque Vaughn,Von Wafer,Darius Washington,C.J. Watson,Mike Wilks,Antoine Wright,Lorenzen Wright"
4,Gilbert Arenas
5,Kelenna Azubuike
6,Andrea Bargnani
7,Matt Barnes
8,Brent Barry
9,Brandon Bass
10,"Maceo Baston,Andre Brown,Nick Fazekas,Mike Harris,Sean Marks,Justin Williams,Brandan Wright"
11,Shane Battier
12,"Charlie Bell,Mike Bibby,Travis Diener,Chris Duhon,Anthony Johnson,Jason Williams"
13,"Raja Bell,Keith Bogans,Matt Carroll,Michael Finley,Morris Peterson,Martell Webster"
14,"Andris Biedrins,Tyson Chandler,Jeff Foster,Brendan Haywood,David Lee,Jason Maxiell,Fabricio Oberto,Luis Scola"
15,Steve Blake
16,Andray Blatche
17,Mark Blount
18,"LaMarcus Aldridge,Andrew Bogut,Josh Boone,Carlos Boozer,Chris Bosh,Nick Collison,Samuel Dalembert,Luol Deng,Tim Duncan,Kevin Garnett,Pau Gasol,Al Horford,Dwight Howard,Zydrunas Ilgauskas,Al Jefferson,Chris Kaman,Antonio McDyess,Brad Miller,Yao Ming*,Nazr Mohammed,Lamar Odom,Emeka Okafor,Amar'e Stoudemire,Kurt Thomas,David West,Marvin Williams"
19,Matt Bonner
20,Calvin Booth
21,"Jose Calderon,Ryan Gomes,Devin Harris,Josh Howard,Antawn Jamison,Steve Nash,Jameer Nelson,Tayshaun Prince,Mo Williams"
22,Bruce Bowen
23,Elton Brand
24,Corey Brewer
25,Ronnie Brewer
26,"Hilton Armstrong,Primoz Brezec,Jarron Collins,Melvin Ely,Dan Gadzuric,Spencer Hawes,Nene Hilario,Steven Hunter,Alexander Johnson,Zaza Pachulia,Josh Powell,Chris Richard,Jason Smith,Jake Voskuhl,Chris Webber,Shelden Williams"
27,Devin Brown
28,"Joel Anthony,Renaldo Balkman,Kwame Brown,Glen Davis,Aaron Gray,Ryan Hollins,Dwayne Jones,Alonzo Mourning*,Scot Pollard,Theo Ratliff,Michael Ruffin,Stromile Swift"
29,"Ray Allen,Carmelo Anthony,Leandro Barbosa,Chauncey Billups,Kobe Bryant,Caron Butler,Vince Carter,Jamal Crawford,Baron Davis,Mike Dunleavy,Monta Ellis,Derek Fisher,Rudy Gay,Manu Ginobili,Ben Gordon,Danny Granger,Richard Hamilton,Al Harrington,Andre Iguodala,Allen Iverson*,Stephen Jackson,LeBron James,Richard Jefferson,Joe Johnson,Rashard Lewis,Corey Maggette,Kevin Martin,Tracy McGrady,Andre Miller,Dirk Nowitzki,Anthony Parker,Tony Parker,Chris Paul,Paul Pierce,Michael Redd,Jason Richardson,Nate Robinson,Brandon Roy,Peja Stojakovic,Jason Terry,Hedo Turkoglu,Gerald Wallace,Deron Williams,Metta World"
30,Rasual Butler
31,Andrew Bynum
32,Marcus Camby
33,Rodney Carney
34,"Anthony Carter,Marko Jaric"
35,Sam Cassell
36,Josh Childress
37,"Adonal Foyle,Didier Ilunga-Mbenga,Raef LaFrentz,Stephane Lasme,Aaron Williams"
38,Jason Collins
39,"Austin Croshere,Steve Novak"
40,Eddy Curry
41,"Erick Dampier,Kendrick Perkins,Joel Przybilla"
42,Antonio Daniels
43,Marquis Daniels
44,Ricky Davis
45,Carlos Delfino
46,Boris Diaw
47,"Carlos Arroyo,Dan Dickau,Randy Foye,Chris Quinn"
48,Ike Diogu
49,Keyon Dooling
50,Jared Dudley
51,Kevin Durant
52,Maurice Evans
53,Reggie Evans
54,Jordan Farmar
55,T.J. Ford
56,Channing Frye
57,Francisco Garcia
58,"Daniel Gibson,Luther Head,Eddie House,Bobby Jackson,Damon Jones,Fred Jones,James Jones,Kyle Korver,Roger Mason,Sasha Vujacic"
59,Drew Gooden
60,Stephen Graham
61,Jeff Green
62,"Willie Green,Cuttino Mobley"
63,Matt Harpring
64,David Harrison
65,Udonis Haslem
66,Chuck Hayes
67,Jarvis Hayes
68,Walter Herrmann
69,Grant Hill
70,Robert Horry
71,Larry Hughes
72,Kris Humphries
73,"Jared Jeffries,Dominic McGuire,Kenny Thomas"
74,Amir Johnson
75,Dahntay Jones
76,Eddie Jones
77,Jason Kapono
78,Jason Kidd
79,Andrei Kirilenko
80,Linas Kleiza
81,Brevin Knight
82,Kyle Lowry
83,Stephon Marbury
84,Shawn Marion
85,Donyell Marshall
86,Desmond Mason
87,Rashad McCants
88,C.J. Miles
89,Darko Milicic
90,Mike Miller
91,"Kenyon Martin,Paul Millsap,Joakim Noah"
92,Jamario Moon
93,Mikki Moore
94,Ronald Murray
95,Dikembe Mutombo*
96,Bostjan Nachbar
97,Eduardo Najera
98,Juan Carlos
99,Rasho Nesterovic
100,Ira Newble
101,Andres Nocioni
102,Jermaine O'Neal
103,Shaquille O'Neal*
104,"Troy Murphy,Mehmet Okur"
105,Travis Outlaw
106,Jannero Pargo
107,"Yi Jianlian,Johan Petro"
108,Mickael Pietrus
109,James Posey
110,"Carl Landry,Leon Powe"
111,Ronnie Price
112,Vladimir Radmanovic
113,Zach Randolph
114,Quentin Richardson
115,Rajon Rondo
116,Quinton Ross
117,"Daequan Cook,Kareem Rush"
118,John Salmons
119,Thabo Sefolosha
120,Ramon Sessions
121,Bobby Simmons
122,Brian Skinner
123,Craig Smith
124,J.R. Smith
125,Joe Smith
126,Josh Smith
127,Kirk Snyder
128,Darius Songaila
129,Jerry Stackhouse
130,DeShawn Stevenson
131,Awvee Storey
132,Rodney Stuckey
133,Wally Szczerbiak
134,Sebastian Telfair
135,Tim Thomas
136,Tyrus Thomas
137,Al Thornton
138,Ronny Turiaf
139,Ime Udoka
140,"Raymond Felton,Kirk Hinrich,Jarrett Jack,Beno Udrih,Earl Watson"
141,Anderson Varejao
142,Charlie Villanueva
143,Dwyane Wade
144,Antoine Walker
145,Ben Wallace
146,Rasheed Wallace
147,Luke Walton
148,Hakim Warrick
149,Bonzi Wells
150,"Jamaal Tinsley,Delonte West"
151,"James Augustine,Ryan Bowen,Mario West"
152,Chris Wilcox
153,Damien Wilkins
154,Lou Williams
155,"DeSagana Diop,Sean Williams"
156,Shawne Williams
157,Dorell Wright
158,"Trevor Ariza,Julian Wright"
159,Nick Young
160,Thaddeus Young
