Group,Player
0,"LaMarcus Aldridge,Tony Allen,Al-Farouq Aminu,Omer Asik,Brandon Bass,Bismack Biyombo,Andray Blatche,Carlos Boozer,Chris Bosh,Tyson Chandler,DeMarcus Cousins,Anthony Davis,Ed Davis,Tim Duncan,Kenneth Faried,Derrick Favors,Kevin Garnett,Marc Gasol,Marcin Gortat,Blake Griffin,Spencer Hawes,Roy Hibbert,J.J. Hickson,Nene Hilario,Al Horford,Dwight Howard,Serge Ibaka,Al Jefferson,Amir Johnson,DeAndre Jordan,Michael Kidd-Gilchrist,Kosta Koufos,Carl Landry,David Lee,Brook Lopez,Robin Lopez,Shawn Marion,Jason Maxiell,Paul Millsap,Greg Monroe,Joakim Noah,Emeka Okafor,Nikola Pekovic,Kendrick Perkins,Zach Randolph,Larry Sanders,Luis Scola,Josh Smith,Tiago Splitter,Jason Thompson,Tristan Thompson,Jonas Valanciunas,Nikola Vucevic,David West,Thaddeus Young,Tyler Zeller"
1,"Ray Allen,Matt Barnes,Caron Butler,Jose Calderon,Mario Chalmers,Mike Dunleavy,Randy Foye,Danny Green,Kirk Hinrich,Jason Kidd,Kyle Korver,John Salmons,Thabo Sefolosha,Alexey Shved,Jason Terry,Marcus Thornton,Dorell Wright"
2,"Quincy Acy,Chris Andersen,Steve Blake,Keith Bogans,Matt Bonner,Aaron Brooks,Wilson Chandler,Chris Copeland,Evan Fournier,Mickael Gelabale,Willie Green,Reggie Jackson,John Jenkins,Roger Mason,Mike Miller,Patty Mills,Quincy Pondexter,Pablo Prigioni"
3,"Arron Afflalo,Alan Anderson,Ryan Anderson,Carmelo Anthony,J.J. Barea,Harrison Barnes,Nicolas Batum,Jerryd Bayless,Bradley Beal,Marco Belinelli,Eric Bledsoe,Corey Brewer,Kobe Bryant,Vince Carter,Darren Collison,Mike Conley,Jamal Crawford,Jordan Crawford,Stephen Curry,Luol Deng,DeMar DeRozan,Goran Dragic,Jared Dudley,Kevin Durant,Monta Ellis,Tyreke Evans,Raymond Felton,Danilo Gallinari,Rudy Gay,Alonzo Gee,Paul George,Manu Ginobili,Ben Gordon,Jeff Green,James Harden,Gordon Hayward,Gerald Henderson,George Hill,Jrue Holiday,Andre Iguodala,Kyrie Irving,Jarrett Jack,LeBron James,Brandon Jennings,Joe Johnson,Brandon Knight,Ty Lawson,Damian Lillard,Jeremy Lin,Kyle Lowry,Kevin Martin,Wesley Matthews,O.J. Mayo,Andre Miller,Jameer Nelson,Tony Parker,Chandler Parsons,Chris Paul,Paul Pierce,Tayshaun Prince,J.J. Redick,Luke Ridnour,Nate Robinson,J.R. Smith,Lance Stephenson,Jeff Teague,Isaiah Thomas,Klay Thompson,Evan Turner,Greivis Vasquez,Dwyane Wade,Kemba Walker,John Wall,Martell Webster,Russell Westbrook,Deron Williams,Derrick Williams,Metta World"
4,"Cole Aldrich,Joel Anthony,Gustavo Ayon,Aron Baynes,Andris Biedrins,DeJuan Blair,Trevor Booker,MarShon Brooks,DeMarre Carroll,Nick Collison,Jeremy Evans,Aaron Gray,John Henson,Jordan Hill,Ryan Hollins,Kris Humphries,Bernard James,Chris Johnson,Ivan Johnson,Viacheslav Kravtsov,Kenyon Martin,Arnett Moultrie,Timofey Mozgov,Jermaine O'Neal,Kyle O'Quinn,Zaza Pachulia,Anthony Randolph,Shavlik Randolph,Mike Scott,Greg Smith,Jason Smith,Amar'e Stoudemire,Jared Sullinger,Hasheem Thabeet,Lance Thomas,Ronny Turiaf,Ekpe Udoh,Anderson Varejao,Jan Vesely,Chris Wilcox,Damien Wilkins,Brandan Wright"
5,"Trevor Ariza,Shane Battier,Carlos Delfino,Toney Douglas,Wayne Ellington,Jodie Meeks,C.J. Miles,Gary Neal,Steve Novak,Brian Roberts,Jeffery Taylor,C.J. Watson"
6,Darrell Arthur
7,"Jeff Adrien,Lou Amundson,James Anderson,D.J. Augustin,Jeff Ayres,Luke Babbitt,Leandro Barbosa,Andrea Bargnani,Earl Barron,Will Barton,Kent Bazemore,Rodrigue Beaubois,Patrick Beverley,Chauncey Billups,Ronnie Brewer,Kwame Brown,Chase Budinger,Alec Burks,Marcus Camby,Omri Casspi,Victor Claver,Jason Collins,Daequan Cook,Jae Crowder,Marquis Daniels,Austin Daye,Nando De,DeSagana Diop,Chris Duhon,Devin Ebanks,Kim English,Landry Fields,Derek Fisher,Joel Freeland,Francisco Garcia,Diante Garrett,Daniel Gibson,Drew Gooden,Gerald Green,Hamed Haddadi,Jordan Hamilton,Ben Hansbrough,Al Harrington,Terrel Harris,Xavier Henry,Grant Hill,Justin Holiday,Josh Howard,Royal Ivey,Stephen Jackson,Mike James,Richard Jefferson,Jared Jeffries,Charles Jenkins,Jonas Jerebko,Chris Johnson,James Johnson,Orlando Johnson,Wesley Johnson,Dahntay Jones,DeQuan Jones,Dominique Jones,James Jones,Kevin Jones,Perry Jones,Terrence Jones,Cory Joseph,Linas Kleiza,Doron Lamb,Jeremy Lamb,Malcolm Lee,Jon Leuer,Rashard Lewis,DeAndre Liggins,Kevin Love,John Lucas,Shelvin Mack,Corey Maggette,Kendall Marshall,Cartier Martin,Eric Maynor,Luc Mbah,Dominic McGuire,Khris Middleton,Darius Miller,Nazr Mohammed,Darius Morris,Anthony Morrow,Donatas Motiejunas,Troy Murphy,Daniel Orton,Travis Outlaw,Jannero Pargo,Jeremy Pargo,Sasha Pavlovic,Johan Petro,Mickael Pietrus,A.J. Price,Ronnie Price,Vladimir Radmanovic,Jason Richardson,Austin Rivers,Terrence Ross,Brandon Roy,Robert Sacre,Samardo Samuels,Iman Shumpert,Chris Singleton,Donald Sloan,Ish Smith,Nolan Smith,Jerry Stackhouse,DeShawn Stevenson,Tyshawn Taylor,Marquis Teague,Mirza Teletovic,Sebastian Telfair,Garrett Temple,Kurt Thomas,Tyrus Thomas,Anthony Tolliver,Hedo Turkoglu,Charlie Villanueva,Rasheed Wallace,Luke Walton,Hakim Warrick,Earl Watson,Maalik Wayns,James White,Reggie Williams,Terrence Williams,Tony Wroten,Sam Young"
8,Michael Beasley
9,Andrew Bogut
