Group,Player
2,"Steven Adams,Trevor Booker,Clint Capela,Willie Cauley-Stein,Tyson Chandler,Dewayne Dedmon,Gorgui Dieng,Andre Drummond,Kenneth Faried,Cristiano Felicio,Taj Gibson,Rudy Gobert,Marcin Gortat,JaMychal Green,Montrezl Harrell,John Henson,Willy Hernangomez,Nene Hilario,Richaun Holmes,Dwight Howard,Amir Johnson,DeAndre Jordan,Enes Kanter,Michael Kidd-Gilchrist,Kosta Koufos,David Lee,Jon Leuer,Shawn Long,Robin Lopez,Boban Marjanovic,JaVale McGee,Salah Mejri,Greg Monroe,Markieff Morris,Larry Nance,Nerlens Noel,Lucas Nogueira,Kyle O'Quinn,Kelly Olynyk,Zaza Pachulia,Mason Plumlee,Dwight Powell,Julius Randle,Willie Reed,Tristan Thompson,Jonas Valanciunas,Nikola Vucevic,Hassan Whiteside,Alan Williams,Cody Zeller"
5,"Alexis Ajinca,Cole Aldrich,Lavoy Allen,Chris Andersen,Joel Anthony,Omer Asik,Brandon Bass,Rakeem Christmas,Nick Collison,Deyonta Davis,Ed Davis,Cheick Diallo,Archie Goodwin,A.J. Hammons,Udonis Haslem,Spencer Hawes,Roy Hibbert,Kris Humphries,Derrick Jones,Skal Labissiere,Kevon Looney,Ian Mahinmi,James Michael,Jordan Mickey,Joakim Noah,David Nwaba,Georgios Papagiannis,Adreian Payne,Marshall Plumlee,Miles Plumlee,Jakob Poeltl,Thomas Robinson,Kevin Seraphin,Pascal Siakam,Jeff Withey,Christian Wood,Brandan Wright,Tyler Zeller,Ivica Zubac"
8,Tony Allen
9,Al-Farouq Aminu
11,"Alex Abrines,Quincy Acy,Arron Afflalo,Alan Anderson,Darrell Arthur,Luke Babbitt,Leandro Barbosa,J.J. Barea,Malik Beasley,Anthony Bennett,Davis Bertans,Aaron Brooks,Bobby Brown,Nicolas Brussino,Reggie Bullock,Trey Burke,Jose Calderon,Isaiah Canaan,Pat Connaughton,Quinn Cook,Jordan Crawford,Troy Daniels,Boris Diaw,Mike Dunleavy,Tyler Ennis,Dante Exum,Yogi Ferrell,Bryn Forbes,Randy Foye,Langston Galloway,Treveon Graham,Jerian Grant,Gerald Green,Devin Harris,Joe Harris,Juan Hernangomez,James Jones,Tyus Jones,Mindaugas Kuzminskas,Nicolas Laprovittola,Meyers Leonard,Timothe Luwawu-Cabarrot,Shelvin Mack,Patrick McCaw,Sheldon McClellan,K.J. McDaniels,Doug McDermott,Ben McLemore,Jordan McRae,Jodie Meeks,Khris Middleton,Mike Miller,Anthony Morrow,Shabazz Napier,Raul Neto,Paul Pierce,Alex Poythress,Chasson Randle,Malachi Richardson,Brian Roberts,Brandon Rush,Luis Scola,Wayne Selden,Kyle Singler,J.R. Smith,Mirza Teletovic,Jason Terry,Lance Thomas,Hollis Thompson,Marcus Thornton,Beno Udrih,Jarrod Uthoff,Denzel Valentine,C.J. Watson,Okaro White,Derrick Williams,Delon Wright,James Young,Paul Zipser"
12,Justin Anderson
13,Kyle Anderson
15,"LaMarcus Aldridge,Giannis Antetokounmpo,Carmelo Anthony,Will Barton,Nicolas Batum,Bradley Beal,Eric Bledsoe,Avery Bradley,Jimmy Butler,Kentavious Caldwell-Pope,Mike Conley,DeMarcus Cousins,Robert Covington,Seth Curry,Stephen Curry,Anthony Davis,DeMar DeRozan,Goran Dragic,Kevin Durant,Danilo Gallinari,Marc Gasol,Paul George,Eric Gordon,Draymond Green,Blake Griffin,Tim Hardaway,James Harden,Gary Harris,Tobias Harris,Gordon Hayward,George Hill,Jrue Holiday,Al Horford,Serge Ibaka,Kyrie Irving,LeBron James,James Johnson,Tyler Johnson,Nikola Jokic,Courtney Lee,Kawhi Leonard,Damian Lillard,Brook Lopez,Kevin Love,Kyle Lowry,Wesley Matthews,C.J. McCollum,Patty Mills,Paul Millsap,Victor Oladipo,Jabari Parker,Chris Paul,Elfrid Payton,Kristaps Porzingis,Terrence Ross,Ricky Rubio,D'Angelo Russell,Dennis Schroder,Jeff Teague,Isaiah Thomas,Klay Thompson,Karl-Anthony Towns,Myles Turner,Dwyane Wade,Kemba Walker,John Wall,Russell Westbrook,Lou Williams"
22,"Ryan Anderson,Marco Belinelli,Allen Crabbe,Jared Dudley,Wayne Ellington,Channing Frye,Buddy Hield,Justin Holiday,Rodney Hood,Joe Johnson,Kyle Korver,Zach LaVine,C.J. Miles,J.J. Redick,Tony Snell,Anthony Tolliver,Nick Young"
23,"Ron Baker,Wade Baldwin,DeAndre' Bembry,Dragan Bender,Anthony Brown,Alec Burks,Michael Carter-Williams,Omri Casspi,Semaj Christon,Norris Cole,Malcolm Delaney,Luol Deng,Toney Douglas,Kris Dunn,Henry Ellenson,Tyreke Evans,Kay Felder,Jonathan Gibson,Mario Hezonja,Darrun Hilliard,Marcelo Huertas,Stanley Johnson,Ryan Kelly,Brandon Knight,Jake Layman,DeAndre Liggins,Trey Lyles,Jarell Martin,Josh McRoberts,Donatas Motiejunas,Emmanuel Mudiay,Dejounte Murray,Maurice Ndour,Andrew Nicholson,Chandler Parsons,Cameron Payne,Ronnie Price,Terry Rozier,Damjan Rudez,Tomas Satoransky,Mike Scott,Ramon Sessions,Lance Stephenson,Rodney Stuckey,Jared Sullinger,Evan Turner,Fred VanVleet,Rashad Vaughn,Sasha Vujacic,Taurean Waller-Prince,Briante Weber,Isaiah Whitehead,C.J. Wilcox,Troy Williams,Justise Winslow,Metta World,Joe Young,Stephen Zimmerman"
