Group,Player
0,Courtney Alexander
1,"Tariq Abdul-Wahad,Rafer Alston,Nick Anderson,Brandon Armstrong,Carlos Arroyo,Isaac Austin,William Avery,Erick Barkley,Dana Barros,Mengke Bateer,Raja Bell,Mookie Blaylock,Cal Bowdler,Earl Boykins,Tierre Brown,Rick Brunson,Matt Bullard,Mateen Cleaves,Bimbo Coles,Jamal Crawford,Joe Crispin,Vonteego Cummings,Dell Curry,Emanual Davis,Derrick Dial,Michael Dickerson,Keyon Dooling,Howard Eisley,Antonis Fotsis,Eddie Gill,Kendall Gill,Dion Glover,A.J. Guyton,Eddie House,Jaren Jackson,Jermaine Jackson,Stephen Jackson,Mike James,Anthony Johnson,Trajan Langdon,Dan Langhi,Rusty LaRue,Quincy Lewis,Randy Livingston,Felipe Lopez,Sam Mack,Donny Marshall,Chris Mills,Sam Mitchell,Terence Morris,Tracy Murray,Dean Oliver,Doug Overton,Robert Pack,Milt Palacio,Mark Pope,Lavor Postell,Glen Rice,Mitch Richmond*,Isaiah Rider,Eddie Robinson,Sean Rooks,Kenny Satterfield,Brian Scalabrine,Brian Shaw,Will Solomon,John Starks,DeShawn Stevenson,Bryant Stith,Oscar Torres,John Wallace,Rodney White,Shammond Williams,Walt Williams,Wang Zhizhi"
2,Shandon Anderson
3,Greg Anthony
4,Stacey Augmon
5,"Malik Allen,John Amaechi,Chris Andersen,Dalibor Bagaric,Mark Blount,Calvin Booth,Ruben Boumtje-Boumtje,Kwame Brown,Mark Bryant,Jason Collier,Chris Crawford,Samuel Dalembert,Andrew DeClercq,DeSagana Diop,Michael Doleac,Chris Dudley,Obinna Ekezie,Evan Eschmeyer,Tremaine Fowlkes,Dean Garrett,Tom Gugliotta,Zendon Hamilton,Tyrone Hill,Marc Jackson,Harold Jamison,Alvin Jones,Travis Knight,Art Long,George Lynch,Sean Marks,Amal McCaskill,Eric Montross,Cherokee Parks,Don Reid,Michael Ruffin,Ansu Sesay,Bobby Simmons,Jabari Smith,Felton Spencer,Mark Strickland,Gerald Wallace,Scott Williams,Loren Woods"
6,Vin Baker
7,"Darrell Armstrong,Brent Barry,Jon Barry,Doug Christie,Mark Jackson,Kerry Kittles"
8,"Shane Battier,Baron Davis,Jason Kidd,Scottie Pippen*,Clifford Robinson,Antoine Walker"
9,Jonathan Bender
10,Travis Best
11,"Ray Allen,Derek Anderson,Chucky Atkins,Chauncey Billups,Antonio Daniels,Derek Fisher,Pat Garrity,Bobby Jackson,Mike Miller,Reggie Miller*,Anthony Peeler,Wesley Person,Morris Peterson,Eric Piatkowski,Quentin Richardson,Rodney Rogers,Steve Smith,Chris Whitney"
12,Corie Blount
13,Ryan Bowen
14,"Michael Bradley,Primoz Brezec,Jason Caffey,Alton Ford,Steven Hunter,Jelani McCoy,Olumide Oyedeji"
15,Shawn Bradley
