Group,Player
0,Mark Acres
1,Mark Aguirre
2,"Michael Adams,Danny Ainge,Craig Ehlo,Sleepy Floyd,Derek Harper,Hersey Hawkins,Kevin Johnson,Magic Johnson*,Reggie Miller*,Chris Mullin*,Chuck Person,Terry Porter,Mark Price,Byron Scott,John Stockton*"
3,Mark Alarie
4,Greg Anderson
5,Nick Anderson
6,Richard Anderson
7,Ron Anderson
8,Michael Ansley
9,John Bagley
10,Ken Bannister
11,John Battle
12,Kenny Battle
13,"Winston Bennett,Pat Cummings,Steve Johnson,Tim Kempton,Lewis Lloyd"
14,"Thurl Bailey,Charles Barkley*,Larry Bird*,Rolando Blackman,Tony Campbell,Tom Chambers,Tyrone Corbin,Terry Cummings,Clyde Drexler*,Patrick Ewing*,Horace Grant,Michael Jordan*,Jerome Kersey,Bernard King*,Fat Lever,Reggie Lewis,Karl Malone*,Danny Manning,Rodney McCray,Xavier McDaniel,Kevin McHale*,Derrick McKey,Hakeem Olajuwon*,Sam Perkins,Mitch Richmond*,Alvin Robertson,David Robinson*,Detlef Schrempf,Charles Smith,Rik Smits,Otis Thorpe,Dominique Wilkins*,Hot Rod,James Worthy*"
15,Mookie Blaylock
16,Manute Bol
17,Sam Bowie
18,Frank Brickowski
19,Scott Brooks
20,Chucky Brown
21,Mike Brown
22,"Anthony Bowie,Tony Brown,Eddie Hughes,Anthony Jones,Frank Kornet,John Lucas,Jeff Martin,George McCloud,Johnny Moore,Robert Reid,Sedric Toney,Jeff Turner,Reggie Williams,Joe Wolf,Mike Woodson"
23,Adrian Caldwell
24,Antoine Carr
25,"Randy Breuer,Joe Barry"
26,Bill Cartwright
27,Terry Catledge
28,Rex Chapman
29,"Muggsy Bogues,Maurice Cheeks,Spud Webb"
30,"Ben Coleman,Jim Rowinski"
31,Steve Colter
32,Lester Conner
33,Michael Cooper
34,Wayne Cooper
35,Lanard Copeland
36,"Michael Cage,Armen Gilliam,A.C. Green,Moses Malone*,Charles Oakley,Robert Parish*,Dennis Rodman*,Buck Williams"
37,"Mark Bryant,Ed Horton,Mark McNamara,Doug Roth,Bill Wennington"
38,Dell Curry
39,"Quintin Dailey,Scott Haffner,Kenny Payne,Jay Taylor"
40,Adrian Dantley*
41,Brad Daugherty
42,Brad Davis
43,"Randy Allen,William Bedford,Uwe Blab,Charles Davis,Greg Dreiling,Pervis Ellison,Stuart Gray,Dave Greenwood,Tom Hammonds,Dave Hoppen,Tito Horford,Jaren Jackson,Eric Johnson,Caldwell Jones,Larry Krystkowiak,Gary Leonard,Roy Marble,Anthony Mason,Tim McCormick,Carlton McKinney,Scott Meents,Paul Mokeski,Mike Morrison,John Morton,Kurt Nimphius,Dyron Nix,Zarko Paspalj,Jim Petersen,Brian Quinnett,Tree Rollins,Ralph Sampson*,Jeff Sanders,Brad Sellers,Mike Smrek,Andre Turner,Chris Welp,Doug West,Randy White,Mike Williams"
44,"Walter Davis,Alex English*,Jeff Malone"
45,"Johnny Dawkins,Sherman Douglas,Vern Fleming,Tim Hardaway,Jay Humphries,Rod Strickland,Isiah Thomas*"
46,Vinny Del
47,"Byron Dinkins,Greg Grant,Rickey Green,Avery Johnson,John Long,Pete Myers,David Rivers,Jerry Sichting,Kelvin Upshaw,Morlon Wiley,Leon Wood"
48,Vlade Divac
49,Chris Dudley
50,Joe Dumars*
51,T.R. Dunn
52,Ledell Eackles
53,Blue Edwards
54,"Kevin Duckworth,James Edwards,Wayman Tisdale"
55,Sean Elliott
56,Dale Ellis
57,Tellis Frank
58,Kevin Gamble
59,Winston Garland
60,Tom Garrick
61,Derrick Gervin
62,Gary Grant
63,Harvey Grant
64,Jeff Grayer
65,Sidney Green
66,Bob Hansen
67,Bill Hanzlik
68,Ron Harper
69,Scott Hastings
70,Gerald Henderson
71,Rod Higgins
72,Roy Hinson
73,"Craig Hodges,Steve Kerr,Scott Skiles"
74,Mike Holton
75,Jeff Hornacek
76,"Stanley Brundy,Derrick Chievous,Byron Irvin,Henry Turner"
77,Mark Jackson
78,"Willie Anderson,Buck Johnson,Scottie Pippen*"
79,Dennis Johnson*
80,Eddie Johnson
81,"Kevin Edwards,Vinnie Johnson"
82,"Mark Eaton,Charles Jones"
83,Shawn Kemp
84,Randolph Keys
85,Stacey King
86,Greg Kite
87,Joe Kleine
88,Jon Koncak
89,Bill Laimbeer
90,Andrew Lang
91,Cliff Levingston
92,Todd Lichti
93,Brad Lohaus
94,Grant Long
95,Sidney Lowe
96,Dan Majerle
97,Sarunas Marciulionis*
98,Vernon Maxwell
99,Mike McGee
100,Nate McMillan
101,Sam Mitchell
102,Chris Morris
103,Tod Murphy
104,Larry Nance
105,Calvin Natt
106,Ed Nealy
107,Johnny Newman
108,Ken Norman
109,"B.J. Armstrong,Jim Paxson"
110,John Paxson
111,"Terry Davis,Jack Haley,Will Perdue,Eddie Lee"
112,"Kenny Gattison,Tim Perry"
113,Drazen Petrovic*
114,Ricky Pierce
115,Ed Pinckney
116,Olden Polynice
117,Paul Pressey
118,Kurt Rambis
119,"Mike Gminski,Blair Rasmussen"
120,J.R. Reid
121,Jerry Reynolds
122,Glen Rice
123,Pooh Richardson
124,Doc Rivers
125,Fred Roberts
126,Clifford Robinson
127,Scott Roth
128,Brian Rowsom
129,Donald Royal
130,"Larry Drew,Delaney Rudd"
131,John Salley
132,Mike Sanders
133,Danny Schayes
134,Rony Seikaly
135,Charles Shackleford
136,Jack Sikma
137,Charles Smith
138,Derek Smith
139,Kenny Smith
140,"Jerome Lane,Larry Smith"
141,Michael Smith
142,Otis Smith
143,Rory Sparrow
144,Jon Sundvold
145,Roy Tarpley
146,"Purvis Short,Terry Teagle"
147,Reggie Theus
148,Billy Thompson
149,LaSalle Thompson
150,"James Donaldson,Mychal Thompson"
151,Bob Thornton
152,Sedale Threatt
153,Tom Tolbert
154,"Dennis Hopson,Kelly Tripucka"
155,"Dana Barros,Darrell Griffith,Harold Pressley,Trent Tucker"
156,"Eric Leckner,Melvin Turpin"
157,"Steve Alford,Jim Farmer,Kiki Vandeweghe,Jay Vincent"
158,Sam Vincent
159,Alexander Volkov
160,Darrell Walker
161,Kenny Walker
162,"Benoit Benjamin,Rick Mahorn,Mark West"
163,Mitchell Wiggins
164,Gerald Wilkins
165,Herb Williams
166,John Williams
167,Micheal Williams
168,Kevin Willis
169,David Wingate
170,Randy Wittman
171,Orlando Woolridge
172,Danny Young
173,Michael Young
