Group,Player
0,Alvan Adams
1,"Mark Aguirre,Rolando Blackman,Tom Chambers,Adrian Dantley*,Walter Davis,Dale Ellis,Alex English*,Eddie Johnson,Jeff Malone,Chris Mullin*,Chuck Person,Ricky Pierce,Reggie Theus,Kiki Vandeweghe,Dominique Wilkins*,Gerald Wilkins"
2,"Rafael Addison,Mark Alarie,Richard Anderson,James Bailey,John Battle,William Bedford,Otis Birdsong,Uwe Blab,Sam Bowie,Frank Brickowski,Junior Bridgeman,Michael Brooks,Mike Brown,Tony Campbell,Rick Carlisle,Steve Colter,Tyrone Corbin,Pat Cummings,Dell Curry,Quintin Dailey,Darren Daye,Greg Dreiling,Larry Drew,Kevin Duckworth,Franklin Edwards,Craig Ehlo,Chris Engler,Dave Feitl,Kenny Fields,World B.,Kenny Gattison,Grant Gondrezick,Lancaster Gordon,Stewart Granger,Stuart Gray,Kenny Green,Steve Harris,Scott Hastings,Conner Henry,Mike Holton,Jeff Hornacek,Geoff Huston,Marc Iavaroni,Buck Johnson,Clemon Johnson,Eddie Johnson,Frank Johnson,Marques Johnson,Steffond Johnson,Anthony Jones,Tim Kempton,Albert King,Greg Kite,Larry Krystkowiak,Allen Leavell,Keith Lee,Pace Mannion,Fernando Martin,Maurice Martin,Wes Matthews,Scooter McCray,Ben McDonald,Mark McNamara,Chris McNealy,Dirk Minniefield,Mike Mitchell,Paul Mokeski,Perry Moss,Jay Murphy,Chuck Nevitt,Johnny Newman,Kurt Nimphius,Mike O'Koren,Jawann Oldham,Louis Orr,Michael Phelps,Harold Pressley,Mark Price,Jerry Reynolds,Johnny Rogers,Dan Roundfield,Walker Russell,Russ Schoene,Scott Skiles,Clinton Smith,Keith Smith,Otis Smith,Mike Smrek,Rory Sparrow,Terence Stansbury,Brook Steppe,Bernard Thompson,Bob Thornton,Elston Turner,Jeff Turner,Melvin Turpin,Nick Vanos,Jay Vincent,Sam Vincent,Danny Vranes,Granville Waiters,Bill Walton*,Chris Washburn,Pearl Washington,Bill Wennington,Rory White,Jerome Whitehead,Mitchell Wiggins,Eddie Lee,Gus Williams,Kevin Williams,Ray Williams,Othell Wilson,Al Wood,Leon Wood,Brad Wright"
3,Greg Ballard
4,Gene Banks
5,Kent Benson
6,Walter Berry
7,"Larry Bird*,Clyde Drexler*,Sleepy Floyd,Derek Harper,Ron Harper,Magic Johnson*,Michael Jordan*,Fat Lever,Alvin Robertson,Byron Scott,Isiah Thomas*"
8,Dudley Bradley
9,"Ron Anderson,Adrian Branch,James Edwards,Bernard King*"
10,Tony Brown
11,"Kareem Abdul-Jabbar*,Charles Barkley*,Benoit Benjamin,Michael Cage,Joe Barry,Bill Cartwright,Terry Catledge,Dave Corzine,Terry Cummings,Brad Daugherty,James Donaldson,Patrick Ewing*,Artis Gilmore*,Mike Gminski,A.C. Green,Dave Greenwood,Roy Hinson,Steve Johnson,Jerome Kersey,Bill Laimbeer,Cliff Levingston,Alton Lister,Karl Malone*,Moses Malone*,Cedric Maxwell,Tim McCormick,Rodney McCray,Xavier McDaniel,Kevin McHale*,Larry Nance,Charles Oakley,Hakeem Olajuwon*,Robert Parish*,Sam Perkins,Jim Petersen,Ed Pinckney,Jack Sikma,Larry Smith,Steve Stipanovich,LaSalle Thompson,Otis Thorpe,Wayman Tisdale,Buck Williams,Herb Williams,Hot Rod,Kevin Willis,Orlando Woolridge,James Worthy*"
12,Antoine Carr
13,Kenny Carr
14,"John Bagley,Maurice Cheeks,Joe Dumars*,Vern Fleming,Rickey Green,Gerald Henderson,Jay Humphries,Dennis Johnson*,Terry Porter,Paul Pressey,Robert Reid,Doc Rivers,John Stockton*,Kelly Tripucka,Darnell Valentine,Darrell Walker,Ennis Whatley"
15,"Ben Coleman,Darryl Dawkins,Dennis Rodman*,Jeff Ruland,Billy Thompson"
16,"Michael Adams,Darwin Cook,Brad Davis,Johnny Dawkins,John Long,Kyle Macy,Johnny Moore,Clint Richardson,Jerry Sichting,Sedale Threatt,David Wingate,Mike Woodson,Danny Young"
17,"Randy Breuer,Wayne Cooper,Earl Cureton,Ralph Sampson*,Brad Sellers"
18,Derek Smith
19,T.R. Dunn
20,"Manute Bol,Mark Eaton,Charles Jones"
21,Julius Erving*
22,"Sidney Green,Caldwell Jones,Joe Kleine,Jon Koncak,Rick Mahorn,Kurt Rambis,Blair Rasmussen,Roy Tarpley"
23,"Danny Ainge,Michael Cooper,Mike Evans,Darrell Griffith,Craig Hodges,John Lucas,Mike McGee,Kevin McKenna,Jim Paxson,John Paxson,Detlef Schrempf,Jon Sundvold,Trent Tucker"
24,Bob Hansen
25,Bill Hanzlik
26,Rod Higgins
27,Phil Hubbard
28,Vinnie Johnson
29,Lewis Lloyd
30,Maurice Lucas
31,Nate McMillan
32,Sidney Moncrief
33,Pete Myers
34,Ed Nealy
35,Mark Olberding
36,Ben Poquette
37,Fred Roberts
38,Cliff Robinson
39,"Tree Rollins,John Salley"
40,Mike Sanders
41,Danny Schayes
42,Carey Scurry
43,Purvis Short
44,Terry Teagle
45,"Thurl Bailey,Mychal Thompson"
46,Andrew Toney
47,Terry Tyler
48,Kenny Walker
49,Spud Webb
50,Marvin Webster
51,Mark West
52,John Williams
53,Randy Wittman
