Group,Player
0,"Mahmoud Abdul-Rauf,Tariq Abdul-Wahad,Greg Anderson,Chris Anstey,Vincent Askew,Bruce Bowen,Chucky Brown,Randy Brown,Rick Brunson,Mitchell Butler,Antoine Carr,Kelvin Cato,Duane Causwell,Keith Closs,Marty Conlon,Chris Crawford,Austin Croshere,John Crotty,Mark Davis,Chris Dudley,Tyus Edney,Kevin Edwards,Tony Farmer,Jamie Feick,Duane Ferrell,Adonal Foyle,Todd Fuller,Chris Garner,Kiwane Garris,Reggie Geary,Harvey Grant,Ed Gray,Litterial Green,Anfernee Hardaway,Lucious Harris,Mark Hendrickson,Carl Herrera,Bobby Hurley,Popeye Jones,Reggie Jordan,Jerome Kersey,Joe Kleine,Andrew Lang,Priest Lauderdale,Grant Long,Rick Mahorn,Xavier McDaniel,Derrick McKey,Aaron McKie,Greg Minor,Eric Montross,Ivano Newbill,Charles O'Bannon,Jermaine O'Neal,Kevin Ollie,Doug Overton,Robert Pack,Ricky Pierce,Mark Pope,J.R. Reid,Rodrick Rhodes,Pooh Richardson,Eric Riley,Roy Rogers,Sean Rooks,Malik Rose,Donald Royal,Shawnelle Scott,God Shammgod,Brian Shaw,Eric Snow,Felton Spencer,Latrell Sprewell,Kebu Stewart,Bryant Stith,Erick Strickland,Bob Sura,Zan Tabak,Johnny Taylor,David Vaughn,Jacque Vaughn,Loy Vaught,Stojko Vrankovic,Samaki Walker,Bubba Wells,Bill Wennington,Doug West,Mark West,Gerald Wilkins,Brandon Williams,Eric Williams,Herb Williams,Micheal Williams,Monty Williams,Scott Williams,Travis Williams,Joe Wolf"
1,"Ray Allen,Nick Anderson,Mookie Blaylock,Kobe Bryant,Sam Cassell,Rex Chapman,Doug Christie,Hubert Davis,Clyde Drexler*,Joe Dumars*,Blue Edwards,LaPhonso Ellis,Michael Finley,Rick Fox,Tim Hardaway,Hersey Hawkins,Jeff Hornacek,Allan Houston,Allen Iverson*,Jaren Jackson,Jim Jackson,Mark Jackson,Eddie Jones,Jason Kidd,Kerry Kittles,Toni Kukoc,Voshon Lenard,Stephon Marbury,Jamal Mashburn,Reggie Miller*,Chris Mills,Chris Mullin*,Tracy Murray,Johnny Newman,Gary Payton*,Wesley Person,Bobby Phills,Scottie Pippen*,Glen Rice,Mitch Richmond*,Isaiah Rider,Rodney Rogers,Detlef Schrempf,Dennis Scott,Steve Smith,Jerry Stackhouse,John Starks,Damon Stoudamire,Rod Strickland,Tim Thomas,Nick Van,Keith Van,Charlie Ward,David Wesley"
2,Derek Anderson
3,Shandon Anderson
4,"Cory Alexander,Greg Anthony,Dana Barros,Brent Barry,David Benoit,Dee Brown,Matt Bullard,Scott Burrell,Pete Chilcutt,Terry Dehere,Mario Elie,Dale Ellis,Derek Harper,Eddie Johnson,Sam Mack,Dan Majerle,Matt Maloney,Lee Mayberry,George McCloud,Steve Nash,Sam Perkins,Chuck Person,Eric Piatkowski,Terry Porter,Brent Price,Mark Price,Eldridge Recasner,James Robinson,Eric Washington,Walt Williams"
5,Darrell Armstrong
6,"Keith Askins,Jon Barry,Corey Beck,Scott Brooks,Jud Buechler,Chris Carr,James Collins,Bill Curley,Ledell Eackles,Sean Elliott,Brian Evans,Danny Ferry,Gary Grant,Fred Hoiberg,Jerald Honeycutt,Henry James,Rusty LaRue,Brad Lohaus,Gerald Madkins,Vernon Maxwell,Nate McMillan,Terry Mills,Chris Morris,Martin Muursepp,Anthony Parker,Chris Robinson,Charles Smith,Carl Thomas,Brooks Thompson,DeJuan Wheat,Alvin Williams,David Wingate"
7,Stacey Augmon
8,"Shareef Abdur-Rahim,Isaac Austin,Vin Baker,Charles Barkley*,Shawn Bradley,P.J. Brown,Jason Caffey,Marcus Camby,Elden Campbell,Calbert Cheaney,Derrick Coleman,Tyrone Corbin,Erick Dampier,Antonio Davis,Dale Davis,Terry Davis,Andrew DeClercq,Bison Dele,Vlade Divac,Tim Duncan,Danny Fortson,Kevin Garnett,Dean Garrett,Matt Geiger,Kendall Gill,Armen Gilliam,Brian Grant,Horace Grant,A.C. Green,Tom Gugliotta,Ron Harper,Alan Henderson,Cedric Henderson,Grant Hill,Tyrone Hill,Robert Horry,Juwan Howard,Zydrunas Ilgauskas,Ervin Johnson,Larry Johnson,Michael Jordan*,Adam Keefe,Shawn Kemp,Christian Laettner,Luc Longley,George Lynch,Karl Malone*,Danny Manning,Donyell Marshall,Anthony Mason,Walter McCarty,Antonio McDyess,Jim McIlvaine,Ron Mercer,Sam Mitchell,Alonzo Mourning*,Lamond Murray,Dikembe Mutombo*,Shaquille O'Neal*,Charles Oakley,Hakeem Olajuwon*,Greg Ostertag,Bo Outlaw,Billy Owens,Cherokee Parks,Will Perdue,Vitaly Potapenko,Theo Ratliff,Bryant Reeves,Stanley Roberts,Clifford Robinson,David Robinson*,Glenn Robinson,Dennis Rodman*,Arvydas Sabonis*,Reggie Slater,Joe Smith,Rik Smits,Michael Stewart,Maurice Taylor,Otis Thorpe,Antoine Walker,John Wallace,Rasheed Wallace,Clarence Weatherspoon,Chris Webber,Jayson Williams,Corliss Williamson,Kevin Willis,Lorenzen Wright"
9,"B.J. Armstrong,Drew Barry,Anthony Bowie,Dell Curry,Emanual Davis,Steve Kerr,Anthony Peeler,Shawn Respert,Rex Walters"
10,Tony Battie
11,"Benoit Benjamin,Mario Bennett,Corie Blount,Mark Bryant,Michael Cage,Cedric Ceballos,Harold Ellis,Pervis Ellison,Patrick Ewing*,Lawrence Funderburke,Darvin Ham,Tom Hammonds,Othella Harrington,Charles Jones,Tony Massenburg,Marko Milic,Anthony Miller,Scot Pollard,Don Reid,Carlos Rogers,Dickey Simpkins,Michael Smith,Mark Strickland,John Thomas,Ben Wallace,Aaron Williams,Buck Williams,Hot Rod,Jerome Williams,Lorenzo Williams"
12,"Travis Best,Chris Childs,Derek Fisher,Eric Murdock,Elliot Perry"
13,"Kenny Anderson,Chauncey Billups,Howard Eisley,Anthony Goldwire,Lindsey Hunter,Darrick Martin,Khalid Reeves"
14,Muggsy Bogues
15,Terrell Brandon
16,Bimbo Coles
17,Terry Cummings
18,Michael Curry
19,Antonio Daniels
20,Vinny Del
21,"Tony Delk,Anthony Johnson"
22,Sherman Douglas
23,Greg Foster
24,Chris Gatling
25,Bobby Jackson
26,Kevin Johnson
27,"Avery Johnson,Brevin Knight"
28,Travis Knight
29,Tracy McGrady
30,"Oliver Miller,Olden Polynice"
31,Bryon Russell
32,Danny Schayes
33,Malik Sealy
34,"Jalen Rose,John Stockton*"
35,"Rony Seikaly,Derek Strong"
36,Gary Trent
37,Chris Whitney
