Group,Player
0,Mark Acres
1,"Michael Adams,Mark Aguirre,Danny Ainge,Craig Ehlo,Dale Ellis,Sleepy Floyd,Derek Harper,Hersey Hawkins,Jeff Hornacek,Eddie Johnson,Magic Johnson*,Reggie Miller*,Chris Morris,Chris Mullin*,Johnny Newman,Chuck Person,Terry Porter,Mark Price,Byron Scott,Jack Sikma"
2,Mark Alarie
3,"Steve Alford,Randy Allen,John Bagley,Ken Bannister,William Bedford,Winston Bennett,Uwe Blab,Mookie Blaylock,Anthony Bowie,Tony Brown,Stanley Brundy,Mark Bryant,Adrian Caldwell,Derrick Chievous,Ben Coleman,Steve Colter,Lanard Copeland,Pat Cummings,Quintin Dailey,Charles Davis,Terry Davis,Byron Dinkins,Greg Dreiling,T.R. Dunn,Pervis Ellison,Jim Farmer,Kevin Gamble,Derrick Gervin,Greg Grant,Stuart Gray,Rickey Green,Dave Greenwood,Scott Haffner,Jack Haley,Tom Hammonds,Scott Hastings,Gerald Henderson,Roy Hinson,Mike Holton,Dave Hoppen,Tito Horford,Ed Horton,Eddie Hughes,Byron Irvin,Jaren Jackson,Avery Johnson,Eric Johnson,Steve Johnson,Anthony Jones,Caldwell Jones,Tim Kempton,Frank Kornet,Larry Krystkowiak,Gary Leonard,Lewis Lloyd,John Long,Sidney Lowe,John Lucas,Roy Marble,Jeff Martin,Anthony Mason,George McCloud,Tim McCormick,Mike McGee,Carlton McKinney,Mark McNamara,Scott Meents,Paul Mokeski,Johnny Moore,Mike Morrison,John Morton,Pete Myers,Ed Nealy,Kurt Nimphius,Dyron Nix,Zarko Paspalj,Jim Paxson,Kenny Payne,Will Perdue,Jim Petersen,Brian Quinnett,Robert Reid,David Rivers,Tree Rollins,Doug Roth,Scott Roth,Jim Rowinski,Brian Rowsom,Donald Royal,Delaney Rudd,Ralph Sampson*,Jeff Sanders,Brad Sellers,Jerry Sichting,Charles Smith,Michael Smith,Mike Smrek,Jay Taylor,Bob Thornton,Sedric Toney,Andre Turner,Henry Turner,Jeff Turner,Kelvin Upshaw,Kiki Vandeweghe,Jay Vincent,Chris Welp,Bill Wennington,Doug West,Randy White,Morlon Wiley,Eddie Lee,John Williams,Micheal Williams,Mike Williams,Reggie Williams,Randy Wittman,Joe Wolf,Leon Wood,Mike Woodson,Michael Young"
4,Greg Anderson
5,B.J. Armstrong
6,"Nick Anderson,Ron Anderson,Willie Anderson,Thurl Bailey,Charles Barkley*,Benoit Benjamin,Larry Bird*,Rolando Blackman,Sam Bowie,Michael Cage,Tony Campbell,Antoine Carr,Bill Cartwright,Terry Catledge,Tom Chambers,Tyrone Corbin,Terry Cummings,Walter Davis,Vlade Divac,James Donaldson,Clyde Drexler*,Kevin Duckworth,Joe Dumars*,Mark Eaton,James Edwards,Sean Elliott,Alex English*,Patrick Ewing*,Tellis Frank,Armen Gilliam,Mike Gminski,Horace Grant,A.C. Green,Sidney Green,Dennis Hopson,Buck Johnson,Kevin Johnson,Charles Jones,Michael Jordan*,Jerome Kersey,Bernard King*,Stacey King,Fat Lever,Reggie Lewis,Grant Long,Rick Mahorn,Jeff Malone,Karl Malone*,Moses Malone*,Danny Manning,Rodney McCray,Xavier McDaniel,Kevin McHale*,Derrick McKey,Sam Mitchell,Tod Murphy,Ken Norman,Charles Oakley,Hakeem Olajuwon*,Robert Parish*,Sam Perkins,Scottie Pippen*,Blair Rasmussen,J.R. Reid,Mitch Richmond*,Fred Roberts,David Robinson*,Dennis Rodman*,John Salley,Detlef Schrempf,Rony Seikaly,Purvis Short,Charles Smith,Otis Smith,Rik Smits,Terry Teagle,Reggie Theus,Isiah Thomas*,Billy Thompson,LaSalle Thompson,Mychal Thompson,Otis Thorpe,Wayman Tisdale,Kelly Tripucka,Mark West,Mitchell Wiggins,Dominique Wilkins*,Gerald Wilkins,Buck Williams,Herb Williams,Hot Rod,Kevin Willis,James Worthy*"
7,John Battle
8,"Johnny Dawkins,Sherman Douglas,Vern Fleming,Tim Hardaway,Jay Humphries,Mark Jackson,Vernon Maxwell,Alvin Robertson,Kenny Smith,John Stockton*,Rod Strickland,Darrell Walker"
9,Manute Bol
10,"Kenny Battle,Frank Brickowski,Mike Brown,Jon Koncak,Andrew Lang,Eric Leckner,Cliff Levingston,Calvin Natt,Ed Pinckney,Olden Polynice,Melvin Turpin,Kenny Walker"
11,"Richard Anderson,Dana Barros,Scott Brooks,Michael Cooper,Larry Drew,Darrell Griffith,Bob Hansen,Craig Hodges,Steve Kerr,Harold Pressley,Scott Skiles,Jon Sundvold,Trent Tucker,Danny Young"
12,Chucky Brown
13,"Kenny Gattison,Tim Perry,Derek Smith,Alexander Volkov"
14,"Randy Breuer,Joe Barry,Harvey Grant,Charles Shackleford,Roy Tarpley"
15,Rex Chapman
16,"Muggsy Bogues,Maurice Cheeks,Spud Webb"
17,Wayne Cooper
18,Dell Curry
19,Adrian Dantley*
20,Brad Daugherty
21,Vinny Del
22,"Chris Dudley,Jerome Lane,Larry Smith"
23,Ledell Eackles
24,Blue Edwards
25,"Kevin Edwards,Vinnie Johnson"
26,Tom Garrick
27,Gary Grant
28,Jeff Grayer
29,Bill Hanzlik
30,Ron Harper
31,Rod Higgins
32,"Lester Conner,Dennis Johnson*"
33,Shawn Kemp
34,Randolph Keys
35,Greg Kite
36,Joe Kleine
37,Bill Laimbeer
38,Todd Lichti
39,Brad Lohaus
40,Dan Majerle
41,Sarunas Marciulionis*
42,Nate McMillan
43,Larry Nance
44,John Paxson
45,"Brad Davis,Drazen Petrovic*"
46,Ricky Pierce
47,Paul Pressey
48,Kurt Rambis
49,Jerry Reynolds
50,Glen Rice
51,Pooh Richardson
52,Doc Rivers
53,Clifford Robinson
54,Mike Sanders
55,"Winston Garland,Rory Sparrow"
56,Sedale Threatt
57,"Michael Ansley,Danny Schayes,Tom Tolbert"
58,Sam Vincent
59,David Wingate
60,Orlando Woolridge
