Group,Player
0,Mahmoud Abdul-Rauf
1,"Tariq Abdul-Wahad,Cory Alexander,Rafer Alston,Kenny Anderson,Greg Anthony,Isaac Austin,William Avery,Dalibor Bagaric,Jonathan Bender,Corey Benjamin,Earl Boykins,Dee Brown,Rick Brunson,Mark Bryant,Jud Buechler,Rodney Buford,Brian Cardinal,Duane Causwell,Calbert Cheaney,Bimbo Coles,Tyrone Corbin,Jamal Crawford,John Crotty,Vonteego Cummings,Emanual Davis,Todd Day,Sherman Douglas,Bryce Drew,Tyus Edney,Kevin Edwards,Khalid El-Amin,Chris Garner,Devean George,Eddie Gill,Kendall Gill,Anthony Goldwire,Steve Goodrich,Adrian Griffin,A.J. Guyton,Cedric Henderson,Chris Herren,Eddie House,Troy Hudson,Tim James,Anthony Johnson,DerMarr Johnson,Adam Keefe,Travis Knight,Quincy Lewis,Luc Longley,Tyronn Lue,Dan Majerle,Matt Maloney,Vernon Maxwell,Walter McCarty,Jim McIlvaine,Chris Mills,Jerome Moiso,Chris Mullin*,Tracy Murray,Kevin Ollie,Doug Overton,Sam Perkins,Elliot Perry,Wesley Person,Lavor Postell,Laron Profit,Eldridge Recasner,Larry Robinson,Pepe Sanchez,Daniel Santiago,Detlef Schrempf,Mike Smith,DeShawn Stevenson,Dragan Tarlac,David Vanterpool,Jake Voskuhl,Doug West,Ruben Wolkowyski"
2,"Ray Allen,Derek Anderson,Darrell Armstrong,Travis Best,Mike Bibby,Mookie Blaylock,Terrell Brandon,Kobe Bryant,Vince Carter,Sam Cassell,Doug Christie,Baron Davis,Michael Finley,Steve Francis,Tim Hardaway,Allan Houston,Allen Iverson*,Antawn Jamison,Eddie Jones,Jason Kidd,Rashard Lewis,Karl Malone*,Stephon Marbury,Jamal Mashburn,Tracy McGrady,Jeff McInnis,Aaron McKie,Andre Miller,Reggie Miller*,Cuttino Mobley,Steve Nash,Dirk Nowitzki,Lamar Odom,Gary Payton*,Paul Pierce,Scottie Pippen*,Clifford Robinson,Glenn Robinson,Rodney Rogers,Jalen Rose,Bryon Russell,Steve Smith,Latrell Sprewell,Jerry Stackhouse,John Stockton*,Peja Stojakovic,Damon Stoudamire,Jason Terry,Tim Thomas,Nick Van,Antoine Walker,David Wesley,Alvin Williams"
3,Nick Anderson
4,Shandon Anderson
5,"Chucky Atkins,Chauncey Billups,Michael Dickerson,Howard Eisley,Rick Fox,Richard Hamilton,Lindsey Hunter,Mark Jackson,Voshon Lenard,George McCloud,Ron Mercer,Mike Miller,Anthony Peeler,Eric Piatkowski,Glen Rice,John Starks,Bryant Stith,Chris Whitney,Jason Williams"
6,Stacey Augmon
7,"Dana Barros,Jon Barry,Dell Curry,Hubert Davis,Damon Jones,Steve Kerr,Trajan Langdon,Mike Penberthy,Shammond Williams"
8,"David Benoit,Chris Carr,Cedric Ceballos,Derrick Dial,Gerard King,Lee Nailon,Bruno Sundov"
9,"Corie Blount,Evan Eschmeyer,Jeff Foster,Ervin Johnson,Jamaal Magloire,Jelani McCoy,Mikki Moore,Malik Rose,Michael Smith,Zan Tabak,Jake Tsakalidis,Samaki Walker,Jerome Williams"
