Group,Player
0,"Rafer Alston,Darrell Armstrong,Brent Barry,Mike James,Walter McCarty,Aaron McKie,Mike Miller,Reggie Miller*,Morris Peterson,Jason Williams"
1,Chris Andersen
2,Derek Anderson
3,"Malik Allen,Kenny Anderson,Corie Blount,Curtis Borchardt,Devin Brown,Zarko Cabarkapa,Tyson Chandler,Derrick Coleman,Melvin Ely,Danny Fortson,Adonal Foyle,Horace Grant,Zendon Hamilton,Jason Hart,Marc Jackson,Avery Johnson,Brevin Knight,Amal McCaskill,Antonio McDyess,Troy Murphy,Mamadou N'Diaye,Lee Nailon,Eduardo Najera,Michael Olowokandi,Doug Overton,Zaza Pachulia,Robert Pack,Zoran Planinic,Scot Pollard,Zeljko Rebraca,Vladimir Stepania,Michael Stewart,Rod Strickland,Samaki Walker"
4,"Shareef Abdur-Rahim,Carmelo Anthony,Carlos Arroyo,Raja Bell,Chauncey Billups,Mark Blount,Carlos Boozer,Chris Bosh,Elton Brand,Kwame Brown,P.J. Brown,Kobe Bryant,Vince Carter,Sam Cassell,Eddy Curry,Erick Dampier,Antonio Davis,Ricky Davis,Vlade Divac,Tim Duncan,Steve Francis,Kevin Garnett,Pau Gasol,Drew Gooden,Brian Grant,Richard Hamilton,Al Harrington,Nene Hilario,Juwan Howard,Larry Hughes,Zydrunas Ilgauskas,Allen Iverson*,LeBron James,Antawn Jamison,Richard Jefferson,Joe Johnson,Andrei Kirilenko,Corey Maggette,Jamaal Magloire,Stephon Marbury,Shawn Marion,Donyell Marshall,Kenyon Martin,Desmond Mason,Tracy McGrady,Jeff McInnis,Darius Miles,Andre Miller,Brad Miller,Yao Ming*,Dirk Nowitzki,Jermaine O'Neal,Shaquille O'Neal*,Lamar Odom,Mehmet Okur,Tony Parker,Gary Payton*,Paul Pierce,Zach Randolph,Michael Redd,Jason Richardson,Jalen Rose,Joe Smith,Eric Snow,Latrell Sprewell,DeShawn Stevenson,Amar'e Stoudemire,Stromile Swift,Maurice Taylor,Etan Thomas,Kenny Thomas,Kurt Thomas,Keith Van,Dwyane Wade,Antoine Walker,Rasheed Wallace,Bonzi Wells,Metta World"
5,Vin Baker
6,Marcus Banks
7,Tony Battie
8,Shane Battier
9,"Ray Allen,Shandon Anderson,Gilbert Arenas,Mike Bibby,Doug Christie,Jamal Crawford,Baron Davis,Mike Dunleavy,Michael Finley,Manu Ginobili,Kirk Hinrich,Jim Jackson,Stephen Jackson,Eddie Jones,Jason Kidd,Kerry Kittles,Voshon Lenard,Rashard Lewis,Tyronn Lue,Cuttino Mobley,Ronald Murray,Steve Nash,James Posey,Tayshaun Prince,Vladimir Radmanovic,Quentin Richardson,Clifford Robinson,Peja Stojakovic,Damon Stoudamire,Jason Terry,Tim Thomas,Hedo Turkoglu,Jiri Welsch,David Wesley"
10,"Chucky Atkins,Leandro Barbosa,Steve Blake,Juan Dixon,Howard Eisley,Derek Fisher,Marko Jaric,Anthony Johnson,Damon Jones,Kyle Korver,John Salmons,Jamaal Tinsley,Charlie Ward"
11,"Calvin Booth,Shawn Bradley,Andrew DeClercq,Francisco Elson,Darius Songaila,Gary Trent,David West"
12,"Dale Davis,Jeff Foster,Dan Gadzuric,Udonis Haslem,Brendan Haywood,Chris Mihm,Nazr Mohammed,Dikembe Mutombo*,Bo Outlaw,Brian Skinner,Jerome Williams"
13,Keith Bogans
