Group,Player
0,Cory Alexander
1,Nick Anderson
2,"Greg Anthony,Travis Best,Jason Kidd"
3,Vincent Askew
4,Keith Askins
5,Stacey Augmon
6,"Shareef Abdur-Rahim,Isaac Austin,Vin Baker,Charles Barkley*,Shawn Bradley,P.J. Brown,Marcus Camby,Elden Campbell,Derrick Coleman,Antonio Davis,Dale Davis,Vlade Divac,Patrick Ewing*,Kevin Garnett,Dean Garrett,Armen Gilliam,Horace Grant,A.C. Green,Tom Gugliotta,Grant Hill,Tyrone Hill,Juwan Howard,Ervin Johnson,Larry Johnson,Popeye Jones,Shawn Kemp,Travis Knight,Christian Laettner,Luc Longley,Karl Malone*,Danny Manning,Anthony Mason,Antonio McDyess,Alonzo Mourning*,Gheorghe Muresan,Dikembe Mutombo*,Shaquille O'Neal*,Charles Oakley,Hakeem Olajuwon*,Greg Ostertag,Billy Owens,Will Perdue,Olden Polynice,Bryant Reeves,Glenn Robinson,Carlos Rogers,Rodney Rogers,Arvydas Sabonis*,Rony Seikaly,Joe Smith,Michael Smith,Derek Strong,Otis Thorpe,Gary Trent,Loy Vaught,Antoine Walker,Rasheed Wallace,Clarence Weatherspoon,Chris Webber,Buck Williams,Hot Rod,Kevin Willis,Lorenzen Wright"
7,"B.J. Armstrong,Dana Barros,Melvin Booker,John Crotty,Emanual Davis,Tony Delk,Michael Hawkins,Jeff McInnis,Steve Nash,Doug Overton,Brent Price,Shawn Respert,Kenny Smith,Eric Snow,Rex Walters"
8,"Darrell Armstrong,Brent Barry,Jon Barry,Nate McMillan,Chris Whitney"
9,"Ray Allen,Kenny Anderson,Mookie Blaylock,Terrell Brandon,Sam Cassell,Doug Christie,Todd Day,Clyde Drexler*,Joe Dumars*,Mario Elie,Dale Ellis,Michael Finley,Rick Fox,Kendall Gill,Anfernee Hardaway,Tim Hardaway,Hersey Hawkins,Jeff Hornacek,Allan Houston,Lindsey Hunter,Allen Iverson*,Jim Jackson,Kevin Johnson,Eddie Jones,Michael Jordan*,Kerry Kittles,Stephon Marbury,Darrick Martin,Jamal Mashburn,George McCloud,Reggie Miller*,Chris Mullin*,Gary Payton*,Bobby Phills,Scottie Pippen*,Glen Rice,Mitch Richmond*,Isaiah Rider,Clifford Robinson,Bryon Russell,Detlef Schrempf,Dennis Scott,Malik Sealy,Steve Smith,Latrell Sprewell,John Starks,Bryant Stith,John Stockton*,Damon Stoudamire,Rod Strickland,Nick Van,David Wesley,Walt Williams"
10,"Corie Blount,Adam Keefe,Ed Pinckney,John Wallace,Lorenzo Williams"
11,"Ashraf Amaya,Donnie Boyce,Mark Bradtke,Adrian Caldwell,Yinka Dare,Bison Dele,Greg Dreiling,Nate Driggers,Kevin Duckworth,Acie Earl,Pervis Ellison,Jamie Feick,Brian Grant,Alan Henderson,Mark Hendrickson,Stacey King,Antonio Lang,Eric Leckner,Alton Lister,Rick Mahorn,Rich Manning,Walter McCarty,Amal McCaskill,Xavier McDaniel,Eric Mobley,Martin Muursepp,Ivano Newbill,Ken Norman,Jermaine O'Neal,Ray Owes,Robert Parish*,Dino Radja,Don Reid,Stanley Roberts,Lou Roe,Kevin Salvadori,Danny Schayes,Dwayne Schintzius,Lionel Simmons,Dickey Simpkins,Charles Smith,Larry Stewart,Mark Strickland,Brett Szabo,Zan Tabak,Kurt Thomas,LaSalle Thompson,David Vaughn,Samaki Walker,Ben Wallace,Herb Williams,Dontonio Wingfield,Joe Wolf,George Zidek"
12,"Rafael Addison,Jerome Allen,Shandon Anderson,Frank Brickowski,Dee Brown,Marcus Brown,Jud Buechler,Scott Burrell,Willie Burton,Mitchell Butler,Randolph Childress,Bimbo Coles,Lloyd Daniels,Hubert Davis,Tony Dumas,Kevin Edwards,Craig Ehlo,Derek Fisher,Reggie Geary,Greg Graham,Gary Grant,Jeff Grayer,Lucious Harris,Shane Heal,Bobby Hurley,Tim Legler,Randy Livingston,John Long,Sarunas Marciulionis*,Donny Marshall,Greg Minor,Tracy Moore,Lawrence Moten,Ed O'Bannon,Pooh Richardson,Chris Robinson,Rumeal Robinson,Tony Smith,Erick Strickland,Sedale Threatt,Jamie Watson,Donald Whiteside,Reggie Williams"
13,"Willie Anderson,Scott Brooks,Eric Murdock"
14,Randy Brown
15,Kobe Bryant
16,Mark Bryant
17,"Matt Bullard,Chris Carr,Kevin Gamble,Jaren Jackson,Henry James,Eddie Johnson,Sam Mack,Eldridge Recasner,David Wingate"
18,Jason Caffey
19,"Michael Cage,Andrew Lang"
20,"Andrew DeClercq,Darvin Ham,Steve Hamer,Othella Harrington"
21,Antoine Carr
22,Cedric Ceballos
23,"Rex Chapman,Dell Curry,Voshon Lenard,Matt Maloney,Terry Mills,Tracy Murray,Wesley Person"
24,Calbert Cheaney
25,Pete Chilcutt
26,"Marty Conlon,Tom Hammonds,Tony Massenburg,Felton Spencer"
27,Tyrone Corbin
28,Terry Cummings
29,Michael Curry
30,Erick Dampier
31,Sasha Danilovic
32,Mark Davis
33,"Terry Dehere,Anthony Goldwire,Lee Mayberry,Khalid Reeves"
34,"Mahmoud Abdul-Rauf,Vinny Del,Vernon Maxwell,Anthony Peeler,Gerald Wilkins"
35,Sherman Douglas
36,"Greg Anderson,Chris Dudley"
37,Tyus Edney
38,Blue Edwards
39,Howard Eisley
40,Sean Elliott
41,Duane Ferrell
42,Danny Ferry
43,Todd Fuller
44,Chris Gatling
45,Matt Geiger
46,Harvey Grant
47,"Litterial Green,Darrin Hancock,Ruben Nembhard"
48,Derek Harper
49,Ron Harper
50,Carl Herrera
51,Fred Hoiberg
52,Robert Horry
53,Mark Jackson
54,Avery Johnson
55,"Stephen Howard,Reggie Jordan,Reggie Slater,Aaron Williams"
56,Steve Kerr
57,Jerome Kersey
58,"Greg Foster,Joe Kleine"
59,Toni Kukoc
60,Priest Lauderdale
61,Horacio Llamas
62,Grant Long
63,George Lynch
64,Don MacLean
65,Dan Majerle
66,Donyell Marshall
67,Jim McIlvaine
68,Derrick McKey
69,Aaron McKie
70,Loren Meyer
71,Oliver Miller
72,Chris Mills
73,Sam Mitchell
74,Eric Montross
75,Chris Morris
76,Lamond Murray
77,Johnny Newman
78,Bo Outlaw
79,Robert Pack
80,Cherokee Parks
81,Sam Perkins
82,"Muggsy Bogues,Elliot Perry,Terry Porter,Mark Price"
83,Eric Piatkowski
84,Ricky Pierce
85,Vitaly Potapenko
86,Theo Ratliff
87,David Robinson*
88,James Robinson
