Group,Player
0,Kareem Abdul-Jabbar*
1,Mark Acres
2,"Michael Adams,Mark Aguirre,Danny Ainge,Dale Ellis,Sleepy Floyd,Darrell Griffith,Derek Harper,Hersey Hawkins,Mark Jackson,Eddie Johnson,Reggie Miller*,Johnny Newman,Chuck Person,Terry Porter,Mark Price,Byron Scott,Reggie Theus,Isiah Thomas*,Gerald Wilkins"
3,Mark Alarie
4,Richard Anderson
5,Ron Anderson
6,Ken Bannister
7,"Charles Barkley*,Brad Daugherty,Clyde Drexler*,Vern Fleming,Mike Gminski,Ron Harper,Kevin Johnson,Magic Johnson*,Michael Jordan*,Jerome Kersey,Fat Lever,Karl Malone*,Kevin McHale*,Derrick McKey,Chris Mullin*,Ken Norman,Hakeem Olajuwon*,Sam Perkins,John Williams,James Worthy*"
8,John Battle
9,"Benoit Benjamin,Patrick Ewing*,Larry Nance,Rik Smits,Hot Rod"
10,Ricky Berry
11,Walter Berry
12,Larry Bird*
13,Otis Birdsong
14,Uwe Blab
15,"Willie Anderson,Thurl Bailey,Rolando Blackman,Tom Chambers,Terry Cummings,Alex English*,Bernard King*,Reggie Lewis,Jeff Malone,Xavier McDaniel,Mitch Richmond*,Kelly Tripucka,Dominique Wilkins*"
16,Muggsy Bogues
17,Manute Bol
18,"Anthony Bowie,Anthony Frederick,Ralph Lewis,Tom Tolbert"
19,Sam Bowie
20,Adrian Branch
21,Scott Brooks
22,"Dudley Bradley,Tony Brown,Charles Davis,Mark Davis,Jim Farmer,Duane Ferrell,Grant Gondrezick,Jeff Grayer,Phil Hubbard,Anthony Jones,Bill Jones,Randolph Keys,Albert King,Jeff Lamp,Danny Manning,Pete Myers,Cliff Robinson,Jerry Sichting,John Starks,Brook Steppe,Anthony Taylor,Kelvin Upshaw,Jay Vincent,Jerome Whitehead,David Wingate,Randy Wittman"
23,Mark Bryant
24,"Greg Butler,Tellis Frank,Ron Grandison,Jack Haley,Tito Horford,Shelton Jones,Rob Lock,Todd Mitchell,Calvin Natt,Jose Ortiz,Will Perdue,Dave Popson,Bob Thornton,Ray Tolbert,Eddie Lee"
25,Tony Campbell
26,Antoine Carr
27,Joe Barry
28,Bill Cartwright
29,Terry Catledge
