Group,Player
0,Alaa Abdelnaby
1,Mark Aguirre
2,Danny Ainge
3,Victor Alexander
4,"Greg Anderson,Antonio Davis,Dale Davis,Bison Dele,Chris Gatling,Matt Geiger,Felton Spencer,Buck Williams"
5,Greg Anthony
6,"Mahmoud Abdul-Rauf,Kenny Anderson,Willie Anderson,B.J. Armstrong,Dana Barros,Mookie Blaylock,Dee Brown,Kevin Edwards,Craig Ehlo,Kendall Gill,Anfernee Hardaway,Derek Harper,Jeff Hornacek,Kevin Johnson,Vernon Maxwell,Reggie Miller*,Chris Mullin*,Eric Murdock,Gary Payton*,Scottie Pippen*,Terry Porter,Mark Price,Kenny Smith,John Starks,John Stockton*,Rod Strickland,Nick Van,Spud Webb,Micheal Williams"
7,Vincent Askew
8,Stacey Augmon
9,"Isaac Austin,Corie Blount,Bill Cartwright,Duane Causwell,Anthony Cook,LeRon Ellis,Tellis Frank,Jay Guidinger,Tom Hammonds,Scott Haskin,Donald Hodge,Ervin Johnson,Charles Jones,Adam Keefe,Warren Kidd,Stacey King,Larry Krystkowiak,Rick Mahorn,Bob Martin,Darren Morningstar,Mike Peplowski,Will Perdue,Eric Riley,Stanley Roberts,Tree Rollins,Kenny Walker,Herb Williams,Lorenzo Williams,Scott Williams"
10,"Anthony Avent,Kevin Duckworth,Acie Earl"
11,Thurl Bailey
12,John Battle
13,David Benoit
14,Muggsy Bogues
15,"Ron Anderson,Walter Bond"
16,Sam Bowie
17,Shawn Bradley
18,Terrell Brandon
19,Frank Brickowski
20,Scott Brooks
21,Mike Brown
22,P.J. Brown
23,"Jud Buechler,Bill Laimbeer"
24,"Tony Bennett,Manute Bol,Randy Breuer,Kevin Brooks,Matt Bullard,Evers Burns,Scott Burrell,Lloyd Daniels,Brian Davis,Terry Davis,Terry Dehere,Doug Edwards,Mike Gminski,Sean Green,Antonio Harvey,Jaren Jackson,Dave Johnson,Tim Kempton,Greg Kite,Marcus Liberty,Mark Macon,Darnell Mee,Jerrod Mustaf,Jimmy Oliver,Gerald Paddio,James Robinson,Rumeal Robinson,Danny Schayes,Dwayne Schintzius,Malik Sealy,LaBradford Smith,Reggie Smith,LaSalle Thompson,Randy White,Chris Whitney,Morlon Wiley,John Williams"
25,"Jon Barry,Sam Cassell,Duane Cooper,Sleepy Floyd,Greg Graham,Lucious Harris,Bobby Hurley,Doug Overton,Elliot Perry,David Wesley"
26,Willie Burton
27,"Anthony Bonner,Michael Cage"
28,Tony Campbell
29,Antoine Carr
30,Cedric Ceballos
31,Tom Chambers
32,Rex Chapman
33,Calbert Cheaney
34,Pete Chilcutt
35,Doug Christie
36,Bimbo Coles
37,Lester Conner
38,Tyrone Corbin
39,"Chris Corchiani,Jim Les,Gerald Madkins,Randy Woods"
40,Joe Courtney
41,Terry Cummings
42,"Dell Curry,Dale Ellis,Dan Majerle,Dennis Scott"
43,"Brad Daugherty,Armen Gilliam"
44,"Hubert Davis,Steve Kerr,Tim Legler"
45,Todd Day
46,"Sherman Douglas,Avery Johnson"
47,Greg Dreiling
48,Blue Edwards
49,James Edwards
50,Mario Elie
51,Sean Elliott
52,Harold Ellis
53,"Vin Baker,Charles Barkley*,Derrick Coleman,Vlade Divac,LaPhonso Ellis,Patrick Ewing*,Horace Grant,A.C. Green,Shawn Kemp,Grant Long,Karl Malone*,Danny Manning,Terry Mills,Shaquille O'Neal*,Charles Oakley,Hakeem Olajuwon*,Billy Owens,Dino Radja,Clifford Robinson,David Robinson*,Rony Seikaly,Lionel Simmons,Rik Smits,Otis Thorpe,Wayman Tisdale,Clarence Weatherspoon,Chris Webber,Hot Rod,Kevin Willis"
54,"Mark Bryant,Pervis Ellison,Carl Herrera,Byron Houston,Eric Leckner"
55,Duane Ferrell
56,"Rolando Blackman,Danny Ferry"
57,"Randy Brown,Vern Fleming,Frank Johnson"
58,Rick Fox
59,Kevin Gamble
60,Kenny Gattison
61,"Paul Graham,Litterial Green,Todd Lichti,Mark Randall"
62,Gary Grant
63,Harvey Grant
64,"Keith Askins,Josh Grant"
65,"Marty Conlon,Jeff Grayer,Steve Scheffler"
66,Tom Gugliotta
67,"Nick Anderson,Clyde Drexler*,Joe Dumars*,Ron Harper,Hersey Hawkins,Glen Rice,Mitch Richmond*,Steve Smith,Latrell Sprewell,Dominique Wilkins*,Gerald Wilkins"
68,Rod Higgins
69,Tyrone Hill
70,Robert Horry
71,Jay Humphries
72,Lindsey Hunter
73,Jim Jackson
74,Mark Jackson
75,Keith Jennings
76,Eddie Johnson
77,Larry Johnson
78,Popeye Jones
79,Reggie Jordan
80,Jerome Kersey
81,Joe Kleine
82,Negele Knight
83,Jon Koncak
84,Toni Kukoc
85,Christian Laettner
86,Andrew Lang
87,Fat Lever
88,Brad Lohaus
89,Luc Longley
90,George Lynch
91,Don MacLean
92,Jeff Malone
93,Moses Malone*
94,Anthony Mason
95,Lee Mayberry
96,Xavier McDaniel
97,Derrick McKey
98,Nate McMillan
99,Oliver Miller
100,Chris Mills
101,Harold Miner
102,Sam Mitchell
103,Chris Morris
104,Alonzo Mourning*
105,Gheorghe Muresan
106,Tracy Murray
107,Dikembe Mutombo*
108,Pete Myers
109,Larry Nance
110,Johnny Newman
111,Ken Norman
112,Robert Pack
113,"Benoit Benjamin,Elden Campbell,Robert Parish*"
114,John Paxson
115,Anthony Peeler
116,Sam Perkins
117,Tim Perry
118,Chuck Person
119,Bobby Phills
120,Ricky Pierce
121,Ed Pinckney
122,"Johnny Dawkins,Brent Price"
123,"Marlon Maxey,Bo Outlaw,Kurt Rambis"
124,J.R. Reid
125,Pooh Richardson
126,"Jamal Mashburn,Isaiah Rider"
127,Doc Rivers
128,Dennis Rodman*
129,Rodney Rogers
130,Sean Rooks
131,Donald Royal
132,Bryon Russell
133,John Salley
134,Detlef Schrempf
135,Byron Scott
136,Brian Shaw
137,"Michael Adams,Scott Skiles"
138,Charles Smith
139,Chris Smith
140,Doug Smith
141,Tony Smith
142,Andre Spencer
143,Elmore Spencer
144,Bryant Stith
145,Derek Strong
146,Isiah Thomas*
147,"Vinny Del,Sedale Threatt"
148,"Jo Jo,Tom Tolbert"
149,Jeff Turner
150,"Olden Polynice,Loy Vaught"
151,"John Crotty,Rex Walters"
152,Bill Wennington
153,Doug West
154,Mark West
155,Ennis Whatley
156,Jayson Williams
157,Kenny Williams
158,Reggie Williams
159,Walt Williams
160,"Mitchell Butler,Trevor Wilson"
161,"Anthony Bowie,David Wingate"
162,David Wood
163,Orlando Woolridge
164,Haywoode Workman
165,"Allan Houston,James Worthy*"
