Group,Player
0,"Steven Adams,LaMarcus Aldridge,Bismack Biyombo,Trevor Booker,Clint Capela,Willie Cauley-Stein,Gorgui Dieng,Andre Drummond,Kenneth Faried,Pau Gasol,Taj Gibson,Rudy Gobert,Marcin Gortat,JaMychal Green,Maurice Harkless,Willy Hernangomez,Dwight Howard,Nikola Jokic,DeAndre Jordan,Enes Kanter,Michael Kidd-Gilchrist,Kosta Koufos,David Lee,Alex Len,Robin Lopez,Greg Monroe,Larry Nance,Jusuf Nurkic,Kyle O'Quinn,Zaza Pachulia,Mason Plumlee,Julius Randle,Zach Randolph,Tristan Thompson,Myles Turner,Jonas Valanciunas,Nikola Vucevic,T.J. Warren,Hassan Whiteside,Thaddeus Young,Cody Zeller"
1,Tony Allen
2,Al-Farouq Aminu
3,"Quincy Acy,Chris Andersen,Alan Anderson,Darrell Arthur,Omer Asik,Ron Baker,Wade Baldwin,Leandro Barbosa,J.J. Barea,Malik Beasley,Dragan Bender,Anthony Bennett,Davis Bertans,Aaron Brooks,Anthony Brown,Bobby Brown,Nicolas Brussino,Reggie Bullock,Trey Burke,Alec Burks,Jose Calderon,Isaiah Canaan,Michael Carter-Williams,Omri Casspi,Rakeem Christmas,Semaj Christon,Norris Cole,Pat Connaughton,Quinn Cook,Jordan Crawford,Dante Cunningham,Sam Dekker,Cheick Diallo,Toney Douglas,Mike Dunleavy,Henry Ellenson,Tyler Ennis,Tyreke Evans,Dante Exum,Kay Felder,Bryn Forbes,Jonathan Gibson,Treveon Graham,Jerian Grant,Gerald Green,Justin Hamilton,A.J. Hammons,Udonis Haslem,Spencer Hawes,Juan Hernangomez,Mario Hezonja,Darrun Hilliard,Marcelo Huertas,Kris Humphries,Wesley Johnson,James Jones,Tyus Jones,Ryan Kelly,Mindaugas Kuzminskas,Nicolas Laprovittola,Joffrey Lauvergne,Jake Layman,DeAndre Liggins,Thon Maker,Jarell Martin,Patrick McCaw,Sheldon McClellan,K.J. McDaniels,Ben McLemore,Jordan McRae,Josh McRoberts,Jodie Meeks,Jordan Mickey,Khris Middleton,Mike Miller,Anthony Morrow,Donatas Motiejunas,Dejounte Murray,Shabazz Napier,Maurice Ndour,Raul Neto,Andrew Nicholson,Chandler Parsons,Adreian Payne,Cameron Payne,Paul Pierce,Miles Plumlee,Alex Poythress,Ronnie Price,Chasson Randle,Malachi Richardson,Brian Roberts,Glenn Robinson,Damjan Rudez,Brandon Rush,Tomas Satoransky,Luis Scola,Mike Scott,Wayne Selden,Ramon Sessions,Kyle Singler,Lance Stephenson,Rodney Stuckey,Jared Sullinger,Lance Thomas,Hollis Thompson,Marcus Thornton,Beno Udrih,Jarrod Uthoff,Fred VanVleet,Rashad Vaughn,Sasha Vujacic,Taurean Waller-Prince,C.J. Watson,Briante Weber,Okaro White,C.J. Wilcox,Derrick Williams,Troy Williams,Justise Winslow,Metta World,Delon Wright,James Young,Joe Young,Stephen Zimmerman,Paul Zipser"
4,Justin Anderson
5,Kyle Anderson
6,"Alex Abrines,D.J. Augustin,Luke Babbitt,Troy Daniels,Randy Foye,Langston Galloway,Manu Ginobili,Joe Harris,Patrick Patterson,Josh Richardson,J.R. Smith,Mirza Teletovic,Jason Terry,Denzel Valentine"
7,"Ryan Anderson,Giannis Antetokounmpo,Carmelo Anthony,Harrison Barnes,Will Barton,Nicolas Batum,Kent Bazemore,Bradley Beal,Eric Bledsoe,Bojan Bogdanovic,Devin Booker,Avery Bradley,Jimmy Butler,Kentavious Caldwell-Pope,Wilson Chandler,Jordan Clarkson,Mike Conley,DeMarcus Cousins,Robert Covington,Jamal Crawford,Jae Crowder,Stephen Curry,Anthony Davis,DeMar DeRozan,Goran Dragic,Kevin Durant,Evan Fournier,Danilo Gallinari,Marc Gasol,Paul George,Aaron Gordon,Eric Gordon,Blake Griffin,Tim Hardaway,James Harden,Tobias Harris,Gordon Hayward,Buddy Hield,Jrue Holiday,Al Horford,Serge Ibaka,Ersan Ilyasova,Kyrie Irving,LeBron James,James Johnson,Joe Johnson,Tyler Johnson,Frank Kaminsky,Sean Kilpatrick,Zach LaVine,Kawhi Leonard,Damian Lillard,Brook Lopez,Kevin Love,Kyle Lowry,Wesley Matthews,C.J. McCollum,Paul Millsap,Nikola Mirotic,Marcus Morris,Markieff Morris,Jamal Murray,Victor Oladipo,Jabari Parker,Chris Paul,Elfrid Payton,Kristaps Porzingis,J.J. Redick,Austin Rivers,Derrick Rose,Ricky Rubio,D'Angelo Russell,Dario Saric,Dennis Schroder,Marcus Smart,Nik Stauskas,Jeff Teague,Isaiah Thomas,Klay Thompson,Karl-Anthony Towns,Dwyane Wade,Kemba Walker,John Wall,Russell Westbrook,Andrew Wiggins,Deron Williams,Lou Williams,Marvin Williams"
8,Michael Beasley
9,Marco Belinelli
10,"Aron Baynes,Tarik Black,John Henson,Al Jefferson,Timofey Mozgov,Noah Vonleh"
11,Corey Brewer
12,Jaylen Brown
13,"Trevor Ariza,Matt Barnes,Patrick Beverley,DeMarre Carroll,Vince Carter,Danny Green,Solomon Hill,Iman Shumpert,P.J. Tucker"
14,"Tyson Chandler,Dewayne Dedmon,Cristiano Felicio,Montrezl Harrell,Nene Hilario,Richaun Holmes,JaVale McGee,Salah Mejri,Nerlens Noel,Lucas Nogueira,Dwight Powell,Willie Reed"
15,Marquese Chriss
16,Ian Clark
17,"Malcolm Brogdon,Darren Collison"
18,"Alexis Ajinca,Cole Aldrich,Lavoy Allen,Joel Anthony,Brandon Bass,DeAndre' Bembry,Andrew Bogut,Nick Collison,Deyonta Davis,Ed Davis,Archie Goodwin,Roy Hibbert,Derrick Jones,Skal Labissiere,Shawn Long,Kevon Looney,Ian Mahinmi,Boban Marjanovic,James Michael,David Nwaba,Georgios Papagiannis,Marshall Plumlee,Jakob Poeltl,Thomas Robinson,Kevin Seraphin,Pascal Siakam,Alan Williams,Jeff Withey,Christian Wood,Brandan Wright,Tyler Zeller,Ivica Zubac"
19,"Seth Curry,Gary Harris,Courtney Lee,Patty Mills,Terrence Ross"
20,"Matthew Dellavedova,Tim Frazier,Brandon Jennings"
21,"Luol Deng,Kris Dunn,Stanley Johnson,Trey Lyles,Terry Rozier"
22,Boris Diaw
23,Spencer Dinwiddie
24,Joel Embiid
25,James Ennis
26,Derrick Favors
27,Raymond Felton
28,Yogi Ferrell
29,Dorian Finney-Smith
30,Rudy Gay
31,Jerami Grant
32,Draymond Green
33,Jeff Green
34,Andrew Harrison
35,Gerald Henderson
36,George Hill
37,Rondae Hollis-Jefferson
38,Rodney Hood
39,"Justin Holiday,Joe Ingles,Garrett Temple"
40,Brandon Ingram
41,Reggie Jackson
42,"Jared Dudley,Richard Jefferson,Anthony Tolliver"
43,"Nemanja Bjelica,Jonas Jerebko"
44,Terrence Jones
45,"Monta Ellis,Cory Joseph,T.J. McConnell,Ish Smith"
46,Brandon Knight
47,"Allen Crabbe,Wayne Ellington,Channing Frye,Kyle Korver,C.J. Miles,Tony Snell,Nick Young"
48,Jeremy Lamb
49,Ty Lawson
50,Meyers Leonard
51,Jon Leuer
52,Caris LeVert
53,Jeremy Lin
54,"Devin Harris,Timothe Luwawu-Cabarrot"
55,Shelvin Mack
56,"Andre Iguodala,Amir Johnson,Luc Mbah,Kelly Olynyk"
57,"Arron Afflalo,Doug McDermott"
58,Rodney McGruder
59,E'Twaun Moore
60,Emmanuel Mudiay
61,Shabazz Muhammad
62,Jameer Nelson
63,Joakim Noah
64,Dirk Nowitzki
65,Jahlil Okafor
66,Kelly Oubre
67,Tony Parker
68,Otto Porter
69,Bobby Portis
70,Norman Powell
71,Andre Roberson
72,Sergio Rodriguez
73,Rajon Rondo
74,Domantas Sabonis
75,Thabo Sefolosha
76,"Malcolm Delaney,Jonathon Simmons"
77,"Mike Muscala,Jason Smith"
78,Marreese Speights
79,Evan Turner
80,Tyler Ulis
81,Dion Waiters
82,"Shaun Livingston,David West"
83,Isaiah Whitehead
