Group,Player
0,Mahmoud Abdul-Rauf
1,Courtney Alexander
2,"Rafer Alston,Kenny Anderson,William Avery,Jonathan Bender,Corey Benjamin,Earl Boykins,Dee Brown,Rodney Buford,Bimbo Coles,Jamal Crawford,John Crotty,Vonteego Cummings,Todd Day,Sherman Douglas,Bryce Drew,Tyus Edney,Khalid El-Amin,Eddie Gill,Anthony Goldwire,A.J. Guyton,Chris Herren,Eddie House,Troy Hudson,Quincy Lewis,Tyronn Lue,Vernon Maxwell,Walter McCarty,Chris Mullin*,Tracy Murray,Kevin Ollie,Doug Overton,Elliot Perry,Lavor Postell,Laron Profit,Eldridge Recasner,Pepe Sanchez,David Vanterpool"
3,"Ray Allen,Derek Anderson,Darrell Armstrong,Travis Best,Mike Bibby,Mookie Blaylock,Terrell Brandon,Kobe Bryant,Vince Carter,Sam Cassell,Doug Christie,Antonio Daniels,Baron Davis,Michael Finley,Steve Francis,Tim Hardaway,Allan Houston,Allen Iverson*,Antawn Jamison,Eddie Jones,Jason Kidd,Rashard Lewis,Stephon Marbury,Jamal Mashburn,Tracy McGrady,Jeff McInnis,Aaron McKie,Andre Miller,Reggie Miller*,Cuttino Mobley,Steve Nash,Dirk Nowitzki,Gary Payton*,Paul Pierce,Scottie Pippen*,Clifford Robinson,Glenn Robinson,Jalen Rose,Bryon Russell,Steve Smith,Latrell Sprewell,Jerry Stackhouse,John Stockton*,Peja Stojakovic,Damon Stoudamire,Jason Terry,Tim Thomas,Nick Van,Antoine Walker,David Wesley,Alvin Williams"
4,Nick Anderson
5,Shandon Anderson
6,Chucky Atkins
7,Stacey Augmon
8,"Isaac Austin,Dalibor Bagaric,Chucky Brown,Mark Bryant,Brian Cardinal,Duane Causwell,Calbert Cheaney,Jason Collier,Tyrone Corbin,Erick Dampier,Derrick Dial,Chris Dudley,Jamie Feick,Greg Foster,Chris Garner,Matt Geiger,Devean George,Steve Goodrich,Tim James,Travis Knight,Dan Langhi,Luc Longley,Jim McIlvaine,Roshown McLeod,Chris Mills,Eric Montross,Ira Newble,Joel Przybilla,Soumaila Samake,Detlef Schrempf,Shawnelle Scott,Brian Skinner,Mike Smith,Vladimir Stepania,Michael Stewart,Mark Strickland,Derek Strong,Bruno Sundov,Dragan Tarlac,Gary Trent,John Wallace,Doug West,Ruben Wolkowyski"
9,Vin Baker
