Group,Player
0,"Maurice Ager,Malik Allen,Alan Anderson,Derek Anderson,Rafael Araujo,Kelenna Azubuike,Marcus Banks,J.J. Barea,Earl Barron,Brandon Bass,Will Blalock,Andray Blatche,Keith Bogans,Matt Bonner,Calvin Booth,Cedric Bozeman,Primoz Brezec,Dee Brown,Shannon Brown,Greg Buckner,Pat Burke,Jackie Butler,Brian Cardinal,Rodney Carney,Speedy Claxton,Jarron Collins,Mardy Collins,Austin Croshere,Marquis Daniels,Dale Davis,Paul Davis,Carlos Delfino,Yakhouba Diawara,Dan Dickau,Travis Diener,Ike Diogu,Michael Doleac,Keyon Dooling,Quincy Douby,Melvin Ely,Daniel Ewing,Jordan Farmar,Danny Fortson,Matt Freije,Pat Garrity,Mickael Gelabale,Devean George,Daniel Gibson,Gordan Giricek,Stephen Graham,Orien Greene,Lynn Greer,Adrian Griffin,Junior Harrington,Othella Harrington,David Harrison,Jason Hart,Walter Herrmann,Robert Hite,Robert Horry,Eddie House,Troy Hudson,Kris Humphries,Lindsey Hunter,Ersan Ilyasova,Royal Ivey,Luke Jackson,Marc Jackson,Jerome James,Marko Jaric,Sarunas Jasikevicius,Anthony Johnson,DerMarr Johnson,Linton Johnson,Bobby Jones,Damon Jones,Fred Jones,James Jones,Jumaine Jones,Viktor Khryapa,Tarence Kinsey,Raef LaFrentz,Kyle Lowry,John Lucas,Damir Markota,Rawle Marshall,Darrick Martin,Roger Mason,Sean May,Rashad McCants,Jeff McInnis,Keith McLeod,C.J. Miles,Ronald Murray,Ira Newble,David Noel,Steve Novak,Patrick O'Bryant,Kevin Ollie,Michael Olowokandi,Scott Padgett,Gary Payton*,Scot Pollard,Leon Powe,Josh Powell,Ronnie Price,Chris Quinn,Vladimir Radmanovic,Shavlik Randolph,Allan Ray,J.J. Redick,Justin Reed,Jared Reiner,Anthony Roberson,Lawrence Roberts,Bernard Robinson,Clifford Robinson,Sergio Rodriguez,Jalen Rose,Malik Rose,Michael Ruffin,Brian Scalabrine,Luke Schenscher,Thabo Sefolosha,Mouhamed Sene,Cedric Simmons,James Singleton,Kirk Snyder,Vassilis Spanoulis,Peja Stojakovic,Damon Stoudamire,Salim Stoudamire,Mike Sweetney,Stromile Swift,Wally Szczerbiak,Donell Taylor,Maurice Taylor,Sebastian Telfair,Tyrus Thomas,Jake Tsakalidis,Beno Udrih,Jacque Vaughn,Charlie Villanueva,Marcus Vinicius,Jake Voskuhl,Sasha Vujacic,Bonzi Wells,David Wesley,James White,Mike Wilks,Eric Williams,Lou Williams,Marcus Williams,Shammond Williams,Shawne Williams,Antoine Wright,Bracey Wright,Dorell Wright"
1,"Ray Allen,Rafer Alston,Carmelo Anthony,Gilbert Arenas,Chucky Atkins,Leandro Barbosa,Andrea Bargnani,Matt Barnes,Shane Battier,Charlie Bell,Raja Bell,Mike Bibby,Chauncey Billups,Steve Blake,Earl Boykins,Devin Brown,Kobe Bryant,Caron Butler,Matt Carroll,Vince Carter,Jamal Crawford,Baron Davis,Ricky Davis,Juan Dixon,Chris Duhon,Mike Dunleavy,Monta Ellis,Raymond Felton,T.J. Ford,Randy Foye,Francisco Garcia,Rudy Gay,Manu Ginobili,Ben Gordon,Danny Granger,Gerald Green,Richard Hamilton,Al Harrington,Devin Harris,Luther Head,Kirk Hinrich,Josh Howard,Larry Hughes,Andre Iguodala,Allen Iverson*,Jarrett Jack,Stephen Jackson,LeBron James,Mike James,Antawn Jamison,Richard Jefferson,Joe Johnson,Jason Kidd,Linas Kleiza,Kyle Korver,Rashard Lewis,Corey Maggette,Stephon Marbury,Shawn Marion,Donyell Marshall,Kevin Martin,Tracy McGrady,Andre Miller,Mike Miller,Cuttino Mobley,Troy Murphy,Steve Nash,Jameer Nelson,Dirk Nowitzki,Lamar Odom,Mehmet Okur,Jannero Pargo,Anthony Parker,Smush Parker,Tony Parker,Chris Paul,Paul Pierce,James Posey,Tayshaun Prince,Michael Redd,Luke Ridnour,Brandon Roy,John Salmons,Jerry Stackhouse,DeShawn Stevenson,Jason Terry,Tim Thomas,Jamaal Tinsley,Hedo Turkoglu,Ime Udoka,Dwyane Wade,Gerald Wallace,Rasheed Wallace,Luke Walton,Earl Watson,Delonte West,Damien Wilkins,Deron Williams,Jason Williams,Mo Williams,Metta World"
2,"Hassan Adams,Tony Allen,Trevor Ariza,Hilton Armstrong,Renaldo Balkman,Maceo Baston,Josh Boone,Ronnie Brewer,Andre Brown,Kwame Brown,Adonal Foyle,Alan Henderson,Ryan Hollins,Alexander Johnson,Amir Johnson,Solomon Jones,Nenad Krstic,Mark Madsen,Jason Maxiell,Aaron McKie,Nazr Mohammed,Shaquille O'Neal*,Bo Outlaw,Jamal Sampson,Darius Songaila,Aaron Williams,Justin Williams,Corliss Williamson"
3,"LaMarcus Aldridge,Tony Battie,Francisco Elson,Kurt Thomas"
4,"Shareef Abdur-Rahim,Andris Biedrins,Mark Blount,Andrew Bogut,Carlos Boozer,Chris Bosh,Elton Brand,Marcus Camby,Tyson Chandler,Nick Collison,Eddy Curry,Samuel Dalembert,Luol Deng,Tim Duncan,Channing Frye,Kevin Garnett,Pau Gasol,Ryan Gomes,Drew Gooden,Matt Harpring,Udonis Haslem,Chuck Hayes,Grant Hill,Dwight Howard,Juwan Howard,Zydrunas Ilgauskas,Al Jefferson,Chris Kaman,Andrei Kirilenko,Desmond Mason,Antonio McDyess,Darko Milicic,Brad Miller,Yao Ming*,Rasho Nesterovic,Jermaine O'Neal,Fabricio Oberto,Emeka Okafor,Zaza Pachulia,Ruben Patterson,Johan Petro,Zach Randolph,Josh Smith,Amar'e Stoudemire,Anderson Varejao,Ben Wallace,Hakim Warrick,Chris Webber,David West,Chris Wilcox,Marvin Williams"
5,"Bruce Bowen,Rasual Butler,Jorge Garbajosa,Jason Richardson,Quentin Richardson,Antoine Walker"
6,"Maurice Evans,Michael Finley,Jarvis Hayes"
7,P.J. Brown
8,"Andrew Bynum,Erick Dampier,Reggie Evans,Brendan Haywood,Nene Hilario,Steven Hunter,David Lee,Jamaal Magloire,Paul Millsap,Mikki Moore,Alonzo Mourning*,Dikembe Mutombo*,Eduardo Najera,Craig Smith,Etan Thomas,Ronny Turiaf"
9,Jose Calderon
10,Sam Cassell
11,Josh Childress
12,Jason Collins
13,Brian Cook
14,Antonio Daniels
15,Boris Diaw
16,"DeSagana Diop,Jeff Foster,Kendrick Perkins,Brian Skinner"
17,Derek Fisher
18,Steve Francis
19,"Dan Gadzuric,Jared Jeffries,Joel Przybilla,Kenny Thomas,Lorenzen Wright"
20,Joey Graham
21,Trenton Hassell
22,Bobby Jackson
23,Dahntay Jones
24,"Darrell Armstrong,Brent Barry,Eddie Jones,Jason Kapono,Bostjan Nachbar,Andres Nocioni,Sasha Pavlovic,Morris Peterson,Nate Robinson,J.R. Smith"
25,"Carlos Arroyo,Brevin Knight"
26,Shaun Livingston
27,Tyronn Lue
28,"Willie Green,Adam Morrison"
29,Travis Outlaw
30,Mickael Pietrus
31,"Rajon Rondo,Eric Snow"
32,Quinton Ross
33,Joe Smith
34,Martell Webster
35,Shelden Williams
