Group,Player
0,Quincy Acy
1,"Furkan Aldemir,Dewayne Dedmon,Joey Dorsey,Kosta Koufos,Alex Len,Ian Mahinmi,Miles Plumlee"
2,Cole Aldrich
3,Lavoy Allen
4,Tony Allen
5,Al-Farouq Aminu
6,Alan Anderson
7,Ryan Anderson
8,Pero Antic
9,Darrell Arthur
10,"Steven Adams,Omer Asik,Trevor Booker,Tyson Chandler,Ed Davis,Gorgui Dieng,Taj Gibson,Rudy Gobert,Kris Humphries,Amir Johnson,DeAndre Jordan,Michael Kidd-Gilchrist,Robin Lopez,Timofey Mozgov,Mason Plumlee,Tristan Thompson,Jonas Valanciunas,Tyler Zeller"
11,"Jeff Adrien,Jeff Ayres,Festus Ezeli,JaMychal Green,Ryan Hollins,Bernard James,Jerome Jordan,James Michael,Mitch McGary,Greg Smith,Jarnell Stokes,Anderson Varejao,Jeff Withey"
12,Leandro Barbosa
13,J.J. Barea
14,Andrea Bargnani
15,Harrison Barnes
16,Matt Barnes
17,"Kyle Anderson,Earl Barron,Michael Beasley,Anthony Bennett,Markel Brown,Reggie Bullock,Vince Carter,Chris Copeland,Troy Daniels,Brandon Davies,Austin Daye,Spencer Dinwiddie,Chris Douglas-Roberts,Larry Drew,Cleanthony Early,Tyler Ennis,Tim Frazier,Francisco Garcia,Archie Goodwin,Danny Granger,Willie Green,P.J. Hairston,Jordan Hamilton,Maurice Harkless,Gary Harris,Joe Harris,Robbie Hummel,Nick Johnson,Dahntay Jones,Perry Jones,Ryan Kelly,Ricky Ledo,Devyn Marble,Cartier Martin,Doug McDermott,Mike Miller,Quincy Miller,Darius Morris,Andrew Nicholson,Steve Novak,Johnny O'Bryant,Kostas Papanikolaou,Adreian Payne,Shavlik Randolph,Glenn Robinson,Brandon Rush,John Salmons,Ish Smith,Nik Stauskas,Jeffery Taylor,Mirza Teletovic,Henry Walker,Travis Wear,Martell Webster,Elliot Williams,Nate Wolters,James Young"
18,Will Barton
19,Nicolas Batum
20,Jerryd Bayless
21,Aron Baynes
22,Kent Bazemore
23,"Bradley Beal,Corey Brewer,Wilson Chandler,Luol Deng,Monta Ellis,Jeff Green,Tobias Harris,Joe Johnson,Kevin Love,Marcus Morris,Dirk Nowitzki"
24,Marco Belinelli
25,Patrick Beverley
26,Bismack Biyombo
27,Tarik Black
28,Steve Blake
29,"Eric Bledsoe,Jimmy Butler,Mike Conley,Stephen Curry,Goran Dragic,Tyreke Evans,Rudy Gay,Blake Griffin,James Harden,Gordon Hayward,Kyrie Irving,Jarrett Jack,Reggie Jackson,LeBron James,Brandon Knight,Ty Lawson,Damian Lillard,Jeremy Lin,Kyle Lowry,Victor Oladipo,Chris Paul,Dennis Schroder,Rodney Stuckey,Jeff Teague,Klay Thompson,Kemba Walker,John Wall,Russell Westbrook,Deron Williams"
30,Bojan Bogdanovic
31,Andrew Bogut
32,"Carmelo Anthony,Chris Bosh"
33,"D.J. Augustin,Aaron Brooks,Eric Gordon,O.J. Mayo,Derrick Rose,Greivis Vasquez,Mo Williams"
34,"Jordan Adams,Lorenzo Brown,Toney Douglas,Tyler Johnson,Phil Pressey"
35,Kobe Bryant
36,Chase Budinger
37,Trey Burke
38,Rasual Butler
39,"Jabari Brown,Alec Burks,Dwight Buycks,Jose Calderon,Ian Clark,Bryce Cotton,Jordan Farmar,Raymond Felton,Landry Fields,Jimmer Fredette,Erick Green,Sergey Karasev,Jeremy Lamb,John Lucas,Shelvin Mack,Kendall Marshall,E'Twaun Moore,A.J. Price,Jason Richardson,Luke Ridnour,Nate Robinson,Donald Sloan,Sebastian Telfair,Marcus Thornton,C.J. Wilcox,Reggie Williams"
40,Nick Calathes
41,"Arron Afflalo,Avery Bradley,Kentavious Caldwell-Pope,Ben McLemore"
42,"Matt Bonner,Isaiah Canaan,Randy Foye,Rodney Hood,James Jones,Patty Mills,Brian Roberts,Shawne Williams"
43,Omri Casspi
44,Mario Chalmers
45,Norris Cole
46,Darren Collison
47,Nick Collison
48,"Trevor Ariza,Robert Covington,Khris Middleton"
49,"Allen Crabbe,Justin Holiday,Chris Johnson"
50,Jae Crowder
51,Dante Cunningham
52,"Lou Amundson,Samuel Dalembert"
53,Luigi Datome
54,"DeJuan Blair,Elton Brand,Aaron Gordon,Udonis Haslem,Brendan Haywood,Cory Jefferson,Joffrey Lauvergne,Jon Leuer,JaVale McGee,Nazr Mohammed,Malcolm Thomas,Noah Vonleh"
55,"LaMarcus Aldridge,Giannis Antetokounmpo,Brandon Bass,DeMarcus Cousins,Anthony Davis,Andre Drummond,Tim Duncan,Kenneth Faried,Derrick Favors,Marc Gasol,Pau Gasol,Marcin Gortat,Draymond Green,Al Horford,Al Jefferson,Enes Kanter,Kawhi Leonard,Brook Lopez,Paul Millsap,Greg Monroe,Zach Randolph,Luis Scola,Jared Sullinger,Nikola Vucevic,David West"
56,Glen Davis
57,Matthew Dellavedova
58,DeMar DeRozan
59,Boris Diaw
60,Jared Dudley
61,Mike Dunleavy
62,Wayne Ellington
63,James Ennis
64,Reggie Evans
65,Evan Fournier
66,Joel Freeland
67,Channing Frye
68,Danilo Gallinari
69,Langston Galloway
70,Kevin Garnett
71,Alonzo Gee
72,Manu Ginobili
73,Drew Gooden
74,Ben Gordon
75,Jerami Grant
76,Danny Green
77,Gerald Green
78,"Jorge Gutierrez,Josh McRoberts"
79,"Jeremy Evans,Justin Hamilton,Mike Muscala"
80,Tyler Hansbrough
81,Tim Hardaway
82,Devin Harris
83,Spencer Hawes
84,Chuck Hayes
85,Gerald Henderson
86,Roy Hibbert
87,J.J. Hickson
88,Nene Hilario
89,"Kevin Durant,George Hill"
90,"Carlos Boozer,Jordan Hill"
91,Solomon Hill
92,"Dante Exum,Kirk Hinrich"
93,Jrue Holiday
94,Serge Ibaka
95,Andre Iguodala
96,Ersan Ilyasova
97,Joe Ingles
98,John Jenkins
99,Brandon Jennings
100,Jonas Jerebko
101,Wesley Johnson
102,Terrence Jones
103,Cory Joseph
104,Chris Kaman
105,Carl Landry
106,Shane Larkin
107,Zach LaVine
108,Courtney Lee
109,Meyers Leonard
110,Shaun Livingston
111,Shawn Marion
112,Kenyon Martin
113,Kevin Martin
114,Luc Mbah
115,Ray McCallum
116,C.J. McCollum
117,K.J. McDaniels
118,Jodie Meeks
119,C.J. Miles
120,Andre Miller
121,Elijah Millsap
122,Nikola Mirotic
123,Anthony Morrow
124,Donatas Motiejunas
125,Shabazz Muhammad
126,Shabazz Napier
127,Gary Neal
128,Jameer Nelson
129,Joakim Noah
130,Nerlens Noel
