Group,Player
0,Solomon Alabi
1,Lavoy Allen
2,Tony Allen
3,Al-Farouq Aminu
4,Lou Amundson
5,"Alan Anderson,Luke Babbitt,Raja Bell,Daequan Cook,Keyon Dooling,Wayne Ellington,Andrew Goudelock,Gerald Green,Willie Green,James Jones,Jason Kapono,Roger Mason,Mickael Pietrus,Vladimir Radmanovic,Quentin Richardson,Von Wafer,Henry Walker,Martell Webster,Reggie Williams"
6,"Arron Afflalo,Carmelo Anthony,Kobe Bryant,Jose Calderon,Vince Carter,Mike Conley,Luol Deng,Goran Dragic,Jared Dudley,Kevin Durant,Monta Ellis,Tyreke Evans,Danilo Gallinari,Rudy Gay,Paul George,Danny Granger,James Harden,Al Harrington,Devin Harris,Gordon Hayward,Jrue Holiday,Andre Iguodala,Kyrie Irving,Jarrett Jack,LeBron James,Antawn Jamison,Brandon Jennings,Joe Johnson,Ty Lawson,Courtney Lee,Kyle Lowry,Wesley Matthews,O.J. Mayo,Steve Nash,Dirk Nowitzki,Tony Parker,Chris Paul,Paul Pierce,Derrick Rose,Ramon Sessions,Rodney Stuckey,Jeff Teague,Jason Terry,Isaiah Thomas,Marcus Thornton,Dwyane Wade,John Wall,Gerald Wallace,Russell Westbrook,Deron Williams,Lou Williams"
7,Joel Anthony
8,"Gilbert Arenas,DeMarre Carroll,Maurice Evans,Rudy Fernandez,Gary Forbes,Lester Hudson,Mike James,Armon Johnson,Jerry Stackhouse,DaJuan Summers"
9,Trevor Ariza
10,"D.J. Augustin,J.J. Barea"
11,Andrea Bargnani
12,Matt Barnes
13,"Ray Allen,Ryan Anderson,Nicolas Batum,Danny Green,George Hill,Kyle Korver,Marvin Williams,Dorell Wright"
14,"Jerryd Bayless,Jordan Farmar"
15,Michael Beasley
16,Rodrigue Beaubois
17,Andris Biedrins
18,Chauncey Billups
19,Bismack Biyombo
