Group,Player
0,Alaa Abdelnaby
1,Rafael Addison
2,Victor Alexander
3,"Mahmoud Abdul-Rauf,Kenny Anderson,Nick Anderson,B.J. Armstrong,Dana Barros,Mookie Blaylock,Terrell Brandon,Dee Brown,Scott Burrell,Mitchell Butler,Sam Cassell,Calbert Cheaney,Todd Day,Vinny Del,Clyde Drexler*,Joe Dumars*,Sean Elliott,Kendall Gill,Tom Gugliotta,Anfernee Hardaway,Tim Hardaway,Derek Harper,Lucious Harris,Hersey Hawkins,Jeff Hornacek,Jim Jackson,Larry Johnson,Eddie Jones,Toni Kukoc,Dan Majerle,Jamal Mashburn,Vernon Maxwell,Derrick McKey,Reggie Miller*,Chris Mills,Terry Mills,Chris Morris,Eric Murdock,Gary Payton*,Sam Perkins,Scottie Pippen*,Glen Rice,Mitch Richmond*,Isaiah Rider,Clifford Robinson,Glenn Robinson,James Robinson,Rodney Rogers,Detlef Schrempf,Steve Smith,Latrell Sprewell,John Starks,John Stockton*,Rod Strickland,Nick Van,Dominique Wilkins*,Reggie Williams,Walt Williams"
4,"Michael Adams,Greg Anthony,Jon Barry,Walter Bond,Scott Brooks,Johnny Dawkins,Kevin Edwards,Craig Ehlo,Kevin Gamble,Gary Grant,Steve Henson,Tim Legler,Jeff Malone,George McCloud,Chris Mullin*,Ricky Pierce,Sedale Threatt,Morlon Wiley"
5,Vincent Askew
6,Keith Askins
7,"Stacey Augmon,Vin Baker,Charles Barkley*,Shawn Bradley,P.J. Brown,Michael Cage,Elden Campbell,Derrick Coleman,Marty Conlon,Dale Davis,Vlade Divac,Chris Dudley,Patrick Ewing*,Matt Geiger,Armen Gilliam,Brian Grant,Horace Grant,A.C. Green,Grant Hill,Tyrone Hill,Juwan Howard,Popeye Jones,Shawn Kemp,Christian Laettner,Andrew Lang,Grant Long,Karl Malone*,Anthony Mason,Oliver Miller,Eric Montross,Alonzo Mourning*,Gheorghe Muresan,Dikembe Mutombo*,Shaquille O'Neal*,Charles Oakley,Hakeem Olajuwon*,Billy Owens,Will Perdue,Olden Polynice,Dino Radja,J.R. Reid,David Robinson*,Dennis Rodman*,Charles Smith,Michael Smith,Rik Smits,Otis Thorpe,Loy Vaught,Clarence Weatherspoon,Mark West,Buck Williams,Hot Rod,Lorenzo Williams,Scott Williams,Kevin Willis"
8,"Keith Jennings,Khalid Reeves,Jalen Rose,Scott Skiles,Spud Webb"
9,David Benoit
10,"Greg Anderson,Anthony Avent,Corie Blount,Anthony Bonner,Sam Bowie,Duane Causwell,Antonio Davis,Pervis Ellison,Greg Foster,Carl Herrera,Ervin Johnson,Joe Kleine,Eric Leckner,Alton Lister,Luc Longley,Jim McIlvaine,Robert Parish*,Ed Pinckney,Carlos Rogers,Tree Rollins,Rony Seikaly,Felton Spencer,Herb Williams"
11,"Derrick Alston,John Battle,Anthony Bowie,Tim Breaux,Mike Brown,Tony Campbell,Bill Cartwright,Chris Childs,Steve Colter,John Crotty,Bill Curley,Lloyd Daniels,Terry Davis,Greg Dreiling,Kevin Duckworth,Richard Dumas,Tony Dumas,Ledell Eackles,Acie Earl,Blue Edwards,Doug Edwards,James Edwards,Howard Eisley,Jo Jo,Duane Ferrell,Matt Fish,Vern Fleming,Sleepy Floyd,Winston Garland,Kenny Gattison,Greg Graham,Greg Grant,Jeff Grayer,Andres Guibert,Jack Haley,Jerome Harmon,Sean Higgins,Donald Hodge,Byron Houston,Jay Humphries,Lindsey Hunter,Bobby Hurley,Jaren Jackson,Askia Jones,Stacey King,Negele Knight,Larry Krystkowiak,Jim Les,Cliff Levingston,George Lynch,Don MacLean,Mark Macon,Moses Malone*,Darrick Martin,Lee Mayberry,Aaron McKie,Harold Miner,Dwayne Morton,Tracy Murray,Pete Myers,Ivano Newbill,Doug Overton,Tim Perry,Terry Porter,Kevin Pritchard,Kurt Rambis,Eric Riley,Fred Roberts,Trevor Ruffin,Bryon Russell,Dwayne Schintzius,Lionel Simmons,Dickey Simpkins,Reggie Slater,Chris Smith,Doug Smith,Michael Smith,Tony Smith,Elmore Spencer,Larry Stewart,Greg Sutton,Zan Tabak,Brooks Thompson,LaSalle Thompson,Anthony Tucker,Henry Turner,Jeff Turner,B.J. Tyler,Kenny Walker,Rex Walters,Chris Whitney,John Williams,Monty Williams,Trevor Wilson,David Wingate,Randy Woods"
12,"Chucky Brown,Mark Bryant,Rick Mahorn,Anthony Miller,Eric Mobley,Steve Scheffler,Charles Shackleford"
13,Willie Burton
14,Antoine Carr
15,Cedric Ceballos
16,Pete Chilcutt
17,"Willie Anderson,Jud Buechler,Pat Durham,Corey Gaines,Darrin Hancock,Ryan Lorthridge,Jamie Watson,Ennis Whatley"
18,Tyrone Corbin
19,"Terry Cummings,Clifford Rozier,Jayson Williams"
20,"Danny Ainge,Rex Chapman,Dell Curry,Hubert Davis,Mario Elie,Dale Ellis,Danny Ferry,Allan Houston,Steve Kerr,Anthony Peeler,Chuck Person,Wesley Person,Eric Piatkowski,Byron Scott,Dennis Scott,Kenny Smith"
21,Terry Dehere
22,"Bison Dele,Chris Gatling,Adam Keefe"
23,James Donaldson
24,Harold Ellis
25,Rick Fox
26,"Benoit Benjamin,Tony Massenburg,Sean Rooks,Sharone Wright"
27,Harvey Grant
28,Tom Hammonds
29,"Randy Brown,Ron Harper"
30,Antonio Harvey
31,Robert Horry
32,"Bimbo Coles,Mark Jackson,Jason Kidd"
33,"Muggsy Bogues,Sherman Douglas,Avery Johnson,Elliot Perry"
34,Kevin Johnson
35,Michael Jordan*
36,Jerome Kersey
37,Jon Koncak
38,Brad Lohaus
39,Danny Manning
40,Sarunas Marciulionis*
41,"Donyell Marshall,Lamond Murray"
42,Xavier McDaniel
43,Nate McMillan
44,Greg Minor
45,Sam Mitchell
46,Johnny Newman
47,Ken Norman
48,Bo Outlaw
49,Robert Pack
50,Bobby Phills
51,Mark Price
52,Pooh Richardson
53,Donald Royal
54,John Salley
55,Danny Schayes
56,Malik Sealy
57,Brian Shaw
58,Bryant Stith
59,Derek Strong
60,Roy Tarpley
61,Wayman Tisdale
62,Chris Webber
63,"Tom Chambers,Bill Wennington"
64,Doug West
65,Joe Wolf
66,David Wood
67,"Doc Rivers,David Wesley,Haywoode Workman"
