Group,Player
0,"Steven Adams,Tony Allen,Aron Baynes,Bismack Biyombo,Tarik Black,Trevor Booker,Clint Capela,Willie Cauley-Stein,Marquese Chriss,Gorgui Dieng,Andre Drummond,Kenneth Faried,Derrick Favors,Pau Gasol,Taj Gibson,Rudy Gobert,Marcin Gortat,JaMychal Green,Maurice Harkless,John Henson,Willy Hernangomez,Rondae Hollis-Jefferson,Dwight Howard,Al Jefferson,Nikola Jokic,Terrence Jones,DeAndre Jordan,Enes Kanter,Michael Kidd-Gilchrist,Kosta Koufos,Alex Len,Jon Leuer,Robin Lopez,Greg Monroe,Timofey Mozgov,Larry Nance,Joakim Noah,Jusuf Nurkic,Kyle O'Quinn,Jahlil Okafor,Zaza Pachulia,Mason Plumlee,Julius Randle,Zach Randolph,Andre Roberson,Tristan Thompson,Myles Turner,Jonas Valanciunas,Noah Vonleh,Nikola Vucevic,T.J. Warren,Hassan Whiteside,Thaddeus Young,Cody Zeller"
1,"Alex Abrines,Arron Afflalo,D.J. Augustin,Luke Babbitt,Nemanja Bjelica,Allen Crabbe,Dante Cunningham,Troy Daniels,Sam Dekker,Jared Dudley,Wayne Ellington,James Ennis,Randy Foye,Channing Frye,Langston Galloway,Manu Ginobili,Danny Green,Justin Hamilton,Joe Harris,Justin Holiday,Rodney Hood,Joe Ingles,Richard Jefferson,Jonas Jerebko,Joe Johnson,Kyle Korver,Meyers Leonard,Doug McDermott,C.J. Miles,Patty Mills,E'Twaun Moore,Mike Muscala,Jameer Nelson,Patrick Patterson,Glenn Robinson,Terrence Ross,Iman Shumpert,J.R. Smith,Jason Smith,Tony Snell,Mirza Teletovic,Garrett Temple,Jason Terry,Anthony Tolliver,Nick Young"
2,"Alexis Ajinca,Cole Aldrich,Lavoy Allen,Joel Anthony,Omer Asik,Brandon Bass,Michael Beasley,Andrew Bogut,Nick Collison,Deyonta Davis,Ed Davis,Archie Goodwin,Udonis Haslem,Roy Hibbert,Derrick Jones,Skal Labissiere,Shawn Long,Kevon Looney,Ian Mahinmi,Boban Marjanovic,James Michael,David Nwaba,Georgios Papagiannis,Marshall Plumlee,Miles Plumlee,Jakob Poeltl,Thomas Robinson,Kevin Seraphin,Pascal Siakam,Alan Williams,Jeff Withey,Christian Wood,Brandan Wright,Tyler Zeller,Ivica Zubac"
3,Al-Farouq Aminu
4,"Quincy Acy,Chris Andersen,Alan Anderson,Kyle Anderson,Darrell Arthur,Ron Baker,Wade Baldwin,Leandro Barbosa,J.J. Barea,Malik Beasley,DeAndre' Bembry,Dragan Bender,Anthony Bennett,Davis Bertans,Corey Brewer,Aaron Brooks,Anthony Brown,Bobby Brown,Nicolas Brussino,Reggie Bullock,Trey Burke,Alec Burks,Jose Calderon,Isaiah Canaan,Michael Carter-Williams,Omri Casspi,Rakeem Christmas,Semaj Christon,Norris Cole,Pat Connaughton,Quinn Cook,Jordan Crawford,Luol Deng,Cheick Diallo,Toney Douglas,Mike Dunleavy,Kris Dunn,Henry Ellenson,Tyler Ennis,Tyreke Evans,Dante Exum,Kay Felder,Yogi Ferrell,Dorian Finney-Smith,Bryn Forbes,Jonathan Gibson,Treveon Graham,Jerian Grant,Gerald Green,A.J. Hammons,Devin Harris,Spencer Hawes,Juan Hernangomez,Mario Hezonja,Darrun Hilliard,Marcelo Huertas,Kris Humphries,Stanley Johnson,Wesley Johnson,James Jones,Tyus Jones,Ryan Kelly,Mindaugas Kuzminskas,Nicolas Laprovittola,Joffrey Lauvergne,Jake Layman,Caris LeVert,DeAndre Liggins,Jeremy Lin,Timothe Luwawu-Cabarrot,Trey Lyles,Thon Maker,Jarell Martin,Patrick McCaw,Sheldon McClellan,K.J. McDaniels,Ben McLemore,Jordan McRae,Josh McRoberts,Jodie Meeks,Jordan Mickey,Khris Middleton,Mike Miller,Anthony Morrow,Donatas Motiejunas,Dejounte Murray,Shabazz Napier,Maurice Ndour,Raul Neto,Andrew Nicholson,Kelly Oubre,Chandler Parsons,Adreian Payne,Cameron Payne,Paul Pierce,Alex Poythress,Ronnie Price,Chasson Randle,Josh Richardson,Malachi Richardson,Brian Roberts,Terry Rozier,Damjan Rudez,Brandon Rush,Domantas Sabonis,Tomas Satoransky,Luis Scola,Mike Scott,Thabo Sefolosha,Wayne Selden,Ramon Sessions,Kyle Singler,Lance Stephenson,Rodney Stuckey,Jared Sullinger,Lance Thomas,Hollis Thompson,Marcus Thornton,Beno Udrih,Jarrod Uthoff,Denzel Valentine,Fred VanVleet,Rashad Vaughn,Sasha Vujacic,Taurean Waller-Prince,C.J. Watson,Briante Weber,Okaro White,C.J. Wilcox,Derrick Williams,Troy Williams,Justise Winslow,Metta World,Delon Wright,James Young,Joe Young,Stephen Zimmerman,Paul Zipser"
5,Justin Anderson
6,"LaMarcus Aldridge,Ryan Anderson,Giannis Antetokounmpo,Carmelo Anthony,Trevor Ariza,Harrison Barnes,Matt Barnes,Will Barton,Nicolas Batum,Kent Bazemore,Bradley Beal,Patrick Beverley,Eric Bledsoe,Bojan Bogdanovic,Devin Booker,Avery Bradley,Malcolm Brogdon,Jimmy Butler,Kentavious Caldwell-Pope,DeMarre Carroll,Vince Carter,Wilson Chandler,Jordan Clarkson,Darren Collison,Mike Conley,DeMarcus Cousins,Robert Covington,Jamal Crawford,Jae Crowder,Seth Curry,Stephen Curry,Anthony Davis,DeMar DeRozan,Goran Dragic,Kevin Durant,Evan Fournier,Danilo Gallinari,Marc Gasol,Paul George,Aaron Gordon,Eric Gordon,Draymond Green,Blake Griffin,Tim Hardaway,James Harden,Gary Harris,Tobias Harris,Gordon Hayward,Buddy Hield,George Hill,Solomon Hill,Jrue Holiday,Al Horford,Serge Ibaka,Ersan Ilyasova,Brandon Ingram,Kyrie Irving,Reggie Jackson,LeBron James,James Johnson,Tyler Johnson,Frank Kaminsky,Sean Kilpatrick,Zach LaVine,Ty Lawson,Courtney Lee,Kawhi Leonard,Damian Lillard,Brook Lopez,Kevin Love,Kyle Lowry,Wesley Matthews,C.J. McCollum,Paul Millsap,Nikola Mirotic,Marcus Morris,Markieff Morris,Jamal Murray,Victor Oladipo,Jabari Parker,Chris Paul,Elfrid Payton,Otto Porter,Kristaps Porzingis,J.J. Redick,Austin Rivers,Derrick Rose,Ricky Rubio,D'Angelo Russell,Dario Saric,Dennis Schroder,Marcus Smart,Nik Stauskas,Jeff Teague,Isaiah Thomas,Klay Thompson,Karl-Anthony Towns,P.J. Tucker,Dwyane Wade,Kemba Walker,John Wall,Russell Westbrook,Andrew Wiggins,Deron Williams,Lou Williams,Marvin Williams"
7,Marco Belinelli
8,"Monta Ellis,Cory Joseph,T.J. McConnell,Rajon Rondo,Ish Smith"
9,Jaylen Brown
