Group,Player
0,Alvan Adams
1,"Mark Aguirre,Larry Bird*,Rolando Blackman,Tom Chambers,Adrian Dantley*,Walter Davis,Dale Ellis,Alex English*,Julius Erving*,Eddie Johnson,Michael Jordan*,John Long,Jeff Malone,Chris Mullin*,Chuck Person,Ricky Pierce,Byron Scott,Kiki Vandeweghe,Dominique Wilkins*,Gerald Wilkins,Mike Woodson"
2,"Danny Ainge,John Bagley,Michael Cooper,Brad Davis,Mike Evans,Darrell Griffith,Derek Harper,Craig Hodges,John Lucas,Mike McGee,Kevin McKenna,Jim Paxson,John Paxson,Robert Reid,Detlef Schrempf,Jon Sundvold,Trent Tucker,Leon Wood,Danny Young"
3,"Rafael Addison,Mark Alarie,Richard Anderson,Ron Anderson,James Bailey,John Battle,Kent Benson,Otis Birdsong,Sam Bowie,Adrian Branch,Frank Brickowski,Junior Bridgeman,Mike Brown,Antoine Carr,Pat Cummings,Dell Curry,Darryl Dawkins,Darren Daye,Greg Dreiling,Kevin Duckworth,James Edwards,Chris Engler,Dave Feitl,Kenny Fields,Kenny Gattison,Grant Gondrezick,Geoff Huston,Marc Iavaroni,Buck Johnson,Clemon Johnson,Eddie Johnson,Frank Johnson,Marques Johnson,Steffond Johnson,Tim Kempton,Bernard King*,Larry Krystkowiak,Keith Lee,Lewis Lloyd,Wes Matthews,Scooter McCray,Ben McDonald,Mark McNamara,Chris McNealy,Mike Mitchell,Sidney Moncrief,Perry Moss,Jay Murphy,Chuck Nevitt,Kurt Nimphius,Michael Phelps,Ben Poquette,Johnny Rogers,Jeff Ruland,Carey Scurry,Clinton Smith,Otis Smith,Mike Smrek,Terence Stansbury,Brook Steppe,Billy Thompson,Bob Thornton,Elston Turner,Jeff Turner,Melvin Turpin,Sam Vincent,Granville Waiters,Spud Webb,Marvin Webster,Bill Wennington,Jerome Whitehead,Mitchell Wiggins,Eddie Lee,Kevin Williams,Ray Williams,Othell Wilson,Brad Wright"
4,Greg Ballard
5,"Michael Adams,Dudley Bradley,Allen Leavell,Mark Price"
6,"William Bedford,Uwe Blab,Michael Brooks,Tony Campbell,Rick Carlisle,Steve Colter,Tyrone Corbin,Quintin Dailey,Franklin Edwards,Craig Ehlo,World B.,Stewart Granger,Stuart Gray,Kenny Green,Scott Hastings,Conner Henry,Mike Holton,Anthony Jones,Pace Mannion,Fernando Martin,Maurice Martin,Paul Mokeski,Pete Myers,Johnny Newman,Mike O'Koren,Jawann Oldham,Louis Orr,Harold Pressley,Jerry Reynolds,Dan Roundfield,Walker Russell,Russ Schoene,Scott Skiles,Keith Smith,Bernard Thompson,Nick Vanos,Danny Vranes,Bill Walton*,Chris Washburn,Gus Williams,Al Wood"
7,"Thurl Bailey,Mychal Thompson"
8,"Bill Cartwright,Cedric Maxwell,Danny Schayes"
9,"Tony Brown,Maurice Cheeks,Joe Dumars*,Vern Fleming,Sleepy Floyd,Jay Humphries,Dennis Johnson*,Terry Porter,Paul Pressey,Doc Rivers"
10,"Gene Banks,Ben Coleman"
11,Darwin Cook
12,"Manute Bol,Wayne Cooper,Dave Corzine,Joe Kleine,Brad Sellers,Roy Tarpley"
13,"Randy Breuer,Earl Cureton"
14,"Kareem Abdul-Jabbar*,Charles Barkley*,Benoit Benjamin,Michael Cage,Joe Barry,Terry Catledge,Terry Cummings,Brad Daugherty,James Donaldson,Mark Eaton,Patrick Ewing*,Artis Gilmore*,Mike Gminski,A.C. Green,Sidney Green,Dave Greenwood,Roy Hinson,Steve Johnson,Jerome Kersey,Bill Laimbeer,Cliff Levingston,Alton Lister,Karl Malone*,Moses Malone*,Tim McCormick,Rodney McCray,Xavier McDaniel,Kevin McHale*,Larry Nance,Charles Oakley,Hakeem Olajuwon*,Robert Parish*,Sam Perkins,Jim Petersen,Ed Pinckney,Tree Rollins,Jack Sikma,Larry Smith,Steve Stipanovich,LaSalle Thompson,Otis Thorpe,Wayman Tisdale,Buck Williams,Herb Williams,Hot Rod,Kevin Willis,Orlando Woolridge,James Worthy*"
15,"Johnny Dawkins,Larry Drew"
16,"Clyde Drexler*,Ron Harper,Magic Johnson*,Fat Lever,Alvin Robertson,Reggie Theus,Isiah Thomas*"
17,T.R. Dunn
18,Lancaster Gordon
19,Rickey Green
20,Bob Hansen
21,Bill Hanzlik
22,Steve Harris
23,Gerald Henderson
24,Rod Higgins
25,Jeff Hornacek
26,"Walter Berry,Phil Hubbard"
27,Vinnie Johnson
28,Charles Jones
29,Albert King
30,Greg Kite
31,Jon Koncak
32,Rick Mahorn
33,Nate McMillan
34,Johnny Moore
35,Ed Nealy
36,"Maurice Lucas,Mark Olberding"
37,"Kenny Carr,Caldwell Jones,Kurt Rambis,Dennis Rodman*,John Salley,Mark West"
38,Blair Rasmussen
39,Fred Roberts
40,Cliff Robinson
41,Ralph Sampson*
42,Mike Sanders
43,Purvis Short
44,"Kyle Macy,Jerry Sichting"
45,Derek Smith
46,"Dirk Minniefield,Clint Richardson,Rory Sparrow,Sedale Threatt"
47,John Stockton*
48,Terry Teagle
49,Andrew Toney
50,Kelly Tripucka
51,Terry Tyler
52,Jay Vincent
53,Darrell Walker
54,Kenny Walker
55,Pearl Washington
56,Ennis Whatley
57,Rory White
58,John Williams
59,"Darnell Valentine,David Wingate"
60,Randy Wittman
