Group,Player
0,Arron Afflalo
1,"Alex Acker,Alexis Ajinca,Joe Alexander,Malik Allen,Morris Almond,Chucky Atkins,Marco Belinelli,Mark Blount,Corey Brewer,Bobby Brown,Devin Brown,Matt Carroll,Jason Collins,Brian Cook,Paul Davis,Ricky Davis,Yakhouba Diawara,Quincy Douby,Chris Douglas-Roberts,Mike Dunleavy,Melvin Ely,Channing Frye,Danilo Gallinari,Devean George,Stephen Graham,Gerald Green,Donte Greene,Jason Hart,Brendan Haywood,Luther Head,Walter Herrmann,Didier Ilunga-Mbenga,Royal Ivey,Mike James,Damon Jones,James Jones,Rob Kurz,Acie Law,Tyronn Lue,Mark Madsen,Cartier Martin,Desmond Mason,Sean May,Chris Mihm,Darius Miles,Cuttino Mobley,Nazr Mohammed,Adam Morrison,DeMarcus Nelson,Morris Peterson,Johan Petro,Josh Powell,Gabe Pruitt,Chris Quinn,J.J. Redick,Anthony Roberson,Malik Rose,Quinton Ross,Kareem Rush,Brian Scalabrine,Sean Singletary,Brian Skinner,Will Solomon,Jerry Stackhouse,DeShawn Stevenson,Stromile Swift,Anthony Tolliver,Alando Tucker,Ime Udoka,Jacque Vaughn,Jake Voskuhl,Damien Wilkins,Sean Williams,Shawne Williams,Lorenzen Wright"
2,Tony Allen
3,Chris Andersen
4,Ryan Anderson
5,Joel Anthony
6,Trevor Ariza
7,Hilton Armstrong
8,Darrell Arthur
9,Renaldo Balkman
10,J.J. Barea
11,Andrea Bargnani
12,Matt Barnes
13,Brent Barry
14,Brandon Bass
15,Tony Battie
16,Shane Battier
17,Michael Beasley
18,"Rafer Alston,Steve Blake,Mario Chalmers,Derek Fisher,Anthony Parker,Delonte West"
19,Keith Bogans
20,Matt Bonner
21,"Lou Amundson,Josh Boone,Kwame Brown,DeSagana Diop,Dan Gadzuric,Aaron Gray,Chuck Hayes,DeAndre Jordan,Jamaal Magloire,Darko Milicic"
22,Carlos Boozer
23,"LaMarcus Aldridge,Chris Bosh,Wilson Chandler,Tim Duncan,Pau Gasol,Rudy Gay,Ryan Gomes,Jeff Green,Antawn Jamison,Brad Miller,Yao Ming*,Dirk Nowitzki,Mehmet Okur,Tayshaun Prince,Charlie Villanueva,David West,Marvin Williams"
24,Ryan Bowen
25,Elton Brand
26,"Marcus Banks,Jerryd Bayless,Dee Brown,Greg Buckner,Brian Cardinal,Mardy Collins,Juan Dixon,Goran Dragic,Jordan Farmar,Trenton Hassell,Lindsey Hunter,Marko Jaric,Brevin Knight,Stephon Marbury,Kevin Ollie,Ronnie Price,Mike Taylor,Roko Ukic"
27,Ronnie Brewer
28,Shannon Brown
