Group,Player
0,Alvan Adams
1,"Mark Aguirre,Larry Bird*,Rolando Blackman,Tom Chambers,Terry Cummings,Clyde Drexler*,Dale Ellis,Alex English*,Derek Harper,Michael Jordan*,Bernard King*,Fat Lever,Xavier McDaniel,Chris Mullin*,Mark Price,Alvin Robertson,Cliff Robinson,Byron Scott,Dominique Wilkins*,John Williams,James Worthy*"
2,"Michael Adams,Danny Ainge,Michael Cooper,Mike Evans,Gerald Henderson,Craig Hodges,John Lucas,Reggie Miller*,Jon Sundvold,Kelly Tripucka,Trent Tucker,Leon Wood,Danny Young"
3,Mark Alarie
4,Richard Anderson
5,Ron Anderson
6,"Steve Alford,Nate Blackwell,Adrian Branch,Steve Burtt,Rick Carlisle,Lester Conner,Charles Davis,Billy Donovan,Franklin Edwards,Jim Farmer,World B.,Steve Harris,Dave Henderson,Kevin Henderson,Conner Henry,Dennis Hopson,Michael Jackson,Bart Kofoed,Pace Mannion,Maurice Martin,Wes Matthews,Kevin McKenna,Dirk Minniefield,Pete Myers,Jim Paxson,Ricky Pierce,Johnny Rogers,Scott Roth,Scott Skiles,Derek Smith,Rory Sparrow,Terry Teagle,Andrew Toney,Sedric Toney,Kiki Vandeweghe,Milt Wagner,Duane Washington,Clinton Wheeler,Tony White,Ricky Wilson,David Wingate,Joe Wolf,Orlando Woolridge"
7,John Bagley
8,"James Bailey,William Bedford,Uwe Blab,Michael Brooks,Mike Brown,Dallas Comegys,Winston Crite,Pat Cummings,Earl Cureton,Chris Dudley,Chris Engler,Dave Feitl,Kenny Fields,Stuart Gray,Dave Greenwood,Claude Gregory,Dave Hoppen,Clemon Johnson,Charles Jones,Greg Kite,Larry Krystkowiak,Maurice Lucas,Cedric Maxwell,Mark McNamara,Paul Mokeski,Martin Nessley,Olden Polynice,Larry Smith,Mike Smrek,John Stroeder,Bob Thornton,Ray Tolbert,Danny Vranes,Chris Washburn,Chris Welp,Jerome Whitehead"
9,"Kareem Abdul-Jabbar*,Greg Anderson,Thurl Bailey,Charles Barkley*,Randy Breuer,Frank Brickowski,Michael Cage,Bill Cartwright,Dave Corzine,Brad Daugherty,Kevin Duckworth,Patrick Ewing*,Mike Gminski,A.C. Green,Roy Hinson,Jerome Kersey,Bill Laimbeer,Cliff Levingston,Rick Mahorn,Karl Malone*,Moses Malone*,Tim McCormick,Rodney McCray,Kevin McHale*,Derrick McKey,Larry Nance,Charles Oakley,Hakeem Olajuwon*,Robert Parish*,Sam Perkins,Dennis Rodman*,Danny Schayes,Jack Sikma,Steve Stipanovich,Roy Tarpley,Mychal Thompson,Otis Thorpe,Wayman Tisdale,Kenny Walker,Mark West,Buck Williams,Hot Rod,Kevin Willis"
10,John Battle
11,Walter Berry
12,Otis Birdsong
13,"Jeff Malone,Purvis Short,Reggie Theus,Gerald Wilkins,Mike Woodson"
14,"Manute Bol,Wayne Cooper,Jawann Oldham"
15,Dudley Bradley
16,"Vincent Askew,Norris Coleman,Jeff Cook,Ralph Lewis,Bill Martin,Chris McNealy,Louis Orr,Mark Wade,Darrell Walker,Reggie Williams"
17,Terry Catledge
18,"Maurice Cheeks,Joe Dumars*,Vern Fleming,Sleepy Floyd,Jeff Hornacek,Mark Jackson,Dennis Johnson*,Magic Johnson*,Terry Porter,Paul Pressey,Doc Rivers,John Stockton*,Isiah Thomas*"
19,Ben Coleman
20,"Steve Colter,Rickey Green,Frank Johnson"
21,Tyrone Corbin
22,Dell Curry
23,Quintin Dailey
24,Adrian Dantley*
25,Brad Davis
26,"Walter Davis,Johnny Dawkins,John Long"
27,"Tony Campbell,Darren Daye,Reggie Lewis,Calvin Natt,Bernard Thompson,Eric White"
28,"James Donaldson,Horace Grant,Caldwell Jones,Alton Lister,Jim Petersen,Tree Rollins,LaSalle Thompson"
29,Larry Drew
30,T.R. Dunn
31,"Benoit Benjamin,Mark Eaton"
32,James Edwards
33,Craig Ehlo
34,Tellis Frank
35,Winston Garland
36,Armen Gilliam
37,"Mark Acres,Artis Gilmore*,Kurt Rambis"
38,Sidney Green
39,"Petur Gudmundsson,Jon Koncak"
40,Bob Hansen
41,Bill Hanzlik
42,Ron Harper
43,Scott Hastings
44,Rod Higgins
45,Mike Holton
46,Phil Hubbard
47,Jay Humphries
48,Marc Iavaroni
49,Buck Johnson
50,Eddie Johnson
51,"Kevin Johnson,Allen Leavell,Sam Vincent,Spud Webb"
52,Steve Johnson
53,Vinnie Johnson
54,Charles Jones
55,Albert King
56,Joe Kleine
57,"Brad Lohaus,Kurt Nimphius"
58,Ben McDonald
59,"Darrell Griffith,Mike McGee"
60,Nate McMillan
61,Mike Mitchell
62,Sidney Moncrief
63,Ed Nealy
64,Johnny Newman
65,Ken Norman
66,John Paxson
67,Chuck Person
68,Ed Pinckney
69,Scottie Pippen*
70,Harold Pressley
71,Blair Rasmussen
72,Robert Reid
73,Jerry Reynolds
74,Fred Roberts
75,"Antoine Carr,John Salley"
76,"Joe Barry,Ralph Sampson*,Herb Williams"
77,Mike Sanders
78,Russ Schoene
79,Detlef Schrempf
80,Carey Scurry
81,Brad Sellers
82,Jerry Sichting
83,Kenny Smith
84,Otis Smith
85,Sedale Threatt
86,Melvin Turpin
87,Terry Tyler
88,"Muggsy Bogues,Darnell Valentine"
89,Jay Vincent
90,Granville Waiters
91,Pearl Washington
92,Bill Wennington
93,Kevin Williams
94,Randy Wittman
