Group,Player
0,"Rafael Addison,Jerome Allen,Ashraf Amaya,Shandon Anderson,Vincent Askew,Stacey Augmon,Donnie Boyce,Mark Bradtke,Frank Brickowski,Dee Brown,Marcus Brown,Randy Brown,Jud Buechler,Scott Burrell,Willie Burton,Mitchell Butler,Michael Cage,Adrian Caldwell,Duane Causwell,Pete Chilcutt,Randolph Childress,Bimbo Coles,Terry Cummings,Lloyd Daniels,Yinka Dare,Emanual Davis,Hubert Davis,Bison Dele,Greg Dreiling,Nate Driggers,Kevin Duckworth,Tony Dumas,Acie Earl,Blue Edwards,Kevin Edwards,Craig Ehlo,Pervis Ellison,Jamie Feick,Duane Ferrell,Derek Fisher,Greg Foster,Todd Fuller,Reggie Geary,Greg Graham,Brian Grant,Gary Grant,Jeff Grayer,Litterial Green,Darrin Hancock,Lucious Harris,Michael Hawkins,Shane Heal,Alan Henderson,Mark Hendrickson,Bobby Hurley,Stacey King,Joe Kleine,Andrew Lang,Antonio Lang,Eric Leckner,Tim Legler,Alton Lister,Randy Livingston,Grant Long,John Long,Don MacLean,Rick Mahorn,Dan Majerle,Rich Manning,Sarunas Marciulionis*,Donny Marshall,Donyell Marshall,Walter McCarty,Amal McCaskill,Xavier McDaniel,Derrick McKey,Nate McMillan,Loren Meyer,Greg Minor,Eric Mobley,Tracy Moore,Chris Morris,Lawrence Moten,Martin Muursepp,Ruben Nembhard,Ivano Newbill,Ken Norman,Ed O'Bannon,Jermaine O'Neal,Ray Owes,Robert Parish*,Dino Radja,Don Reid,Pooh Richardson,Stanley Roberts,Chris Robinson,David Robinson*,Rumeal Robinson,Lou Roe,Sean Rooks,Malik Rose,Donald Royal,Clifford Rozier,Kevin Salvadori,Danny Schayes,Dwayne Schintzius,Lionel Simmons,Dickey Simpkins,Charles Smith,Tony Smith,Eric Snow,Larry Stewart,Erick Strickland,Mark Strickland,Brett Szabo,Zan Tabak,Kurt Thomas,LaSalle Thompson,Sedale Threatt,Wayman Tisdale,David Vaughn,Samaki Walker,Ben Wallace,Jamie Watson,Bill Wennington,Donald Whiteside,Herb Williams,Jerome Williams,Reggie Williams,Dontonio Wingfield,Joe Wolf,Sharone Wright,George Zidek"
1,"Mahmoud Abdul-Rauf,Cory Alexander,Ray Allen,Kenny Anderson,Greg Anthony,Travis Best,Mookie Blaylock,Muggsy Bogues,Terrell Brandon,Sam Cassell,Rex Chapman,Chris Childs,Doug Christie,Tyrone Corbin,Dell Curry,Sasha Danilovic,Todd Day,Vinny Del,Sherman Douglas,Clyde Drexler*,Joe Dumars*,Mario Elie,Dale Ellis,LaPhonso Ellis,Danny Ferry,Michael Finley,Rick Fox,Kendall Gill,Anfernee Hardaway,Tim Hardaway,Derek Harper,Hersey Hawkins,Jeff Hornacek,Allan Houston,Lindsey Hunter,Allen Iverson*,Jim Jackson,Mark Jackson,Avery Johnson,Kevin Johnson,Eddie Jones,Michael Jordan*,Steve Kerr,Jason Kidd,Kerry Kittles,Toni Kukoc,Voshon Lenard,Matt Maloney,Stephon Marbury,Darrick Martin,Jamal Mashburn,Vernon Maxwell,George McCloud,Reggie Miller*,Chris Mills,Terry Mills,Chris Mullin*,Tracy Murray,Johnny Newman,Gary Payton*,Anthony Peeler,Sam Perkins,Elliot Perry,Wesley Person,Bobby Phills,Scottie Pippen*,Terry Porter,Mark Price,Khalid Reeves,Glen Rice,Mitch Richmond*,Isaiah Rider,Clifford Robinson,Bryon Russell,Detlef Schrempf,Dennis Scott,Malik Sealy,Brian Shaw,Steve Smith,Latrell Sprewell,Jerry Stackhouse,John Starks,Bryant Stith,John Stockton*,Damon Stoudamire,Rod Strickland,Bob Sura,Nick Van,Charlie Ward,David Wesley,Dominique Wilkins*,Gerald Wilkins,Walt Williams"
2,Nick Anderson
3,"Willie Anderson,B.J. Armstrong,Darrell Armstrong,Dana Barros,Brent Barry,Jon Barry,Melvin Booker,Scott Brooks,Kobe Bryant,Matt Bullard,Chris Carr,John Crotty,Michael Curry,Terry Dehere,Tony Delk,Howard Eisley,Kevin Gamble,Anthony Goldwire,Fred Hoiberg,Jaren Jackson,Henry James,Eddie Johnson,Sam Mack,Jeff McInnis,Eric Murdock,Steve Nash,Doug Overton,Eric Piatkowski,Brent Price,Eldridge Recasner,Shawn Respert,Jalen Rose,Byron Scott,Kenny Smith,Rex Walters,Chris Whitney,David Wingate"
4,"Lee Mayberry,James Robinson,Brooks Thompson"
5,Keith Askins
6,"Corie Blount,Chucky Brown,Mark Bryant,Andrew DeClercq,Matt Geiger,Darvin Ham,Steve Hamer,Othella Harrington,Stephen Howard,Reggie Jordan,Adam Keefe,Travis Knight,Priest Lauderdale,Horacio Llamas,George Lynch,Oliver Miller,Cherokee Parks,Ed Pinckney,Theo Ratliff,Reggie Slater,Stojko Vrankovic,John Wallace,Mark West,Aaron Williams,Lorenzo Williams,Scott Williams,David Wood"
7,"Shareef Abdur-Rahim,Greg Anderson,Isaac Austin,Vin Baker,Charles Barkley*,Shawn Bradley,P.J. Brown,Jason Caffey,Marcus Camby,Elden Campbell,Antoine Carr,Cedric Ceballos,Calbert Cheaney,Derrick Coleman,Antonio Davis,Dale Davis,Mark Davis,Vlade Divac,Patrick Ewing*,Kevin Garnett,Dean Garrett,Chris Gatling,Armen Gilliam,Horace Grant,A.C. Green,Tom Gugliotta,Tom Hammonds,Grant Hill,Tyrone Hill,Juwan Howard,Ervin Johnson,Larry Johnson,Popeye Jones,Shawn Kemp,Christian Laettner,Luc Longley,Karl Malone*,Danny Manning,Anthony Mason,Tony Massenburg,Antonio McDyess,Sam Mitchell,Alonzo Mourning*,Gheorghe Muresan,Dikembe Mutombo*,Shaquille O'Neal*,Charles Oakley,Hakeem Olajuwon*,Greg Ostertag,Bo Outlaw,Billy Owens,Will Perdue,Olden Polynice,Bryant Reeves,Glenn Robinson,Rodney Rogers,Arvydas Sabonis*,Rony Seikaly,Joe Smith,Michael Smith,Rik Smits,Felton Spencer,Derek Strong,Otis Thorpe,Gary Trent,Loy Vaught,Antoine Walker,Rasheed Wallace,Clarence Weatherspoon,Chris Webber,Buck Williams,Eric Williams,Hot Rod,Monty Williams,Corliss Williamson,Kevin Willis,Lorenzen Wright"
8,Marty Conlon
9,Erick Dampier
