Group,Player
2,"Steven Adams,LaMarcus Aldridge,Aron Baynes,Bismack Biyombo,Trevor Booker,Clint Capela,Tyson Chandler,Dewayne Dedmon,Gorgui Dieng,Andre Drummond,Kenneth Faried,Cristiano Felicio,Taj Gibson,Rudy Gobert,Marcin Gortat,JaMychal Green,Montrezl Harrell,Willy Hernangomez,Nene Hilario,Richaun Holmes,Dwight Howard,Serge Ibaka,DeAndre Jordan,Enes Kanter,Michael Kidd-Gilchrist,David Lee,Alex Len,Robin Lopez,JaVale McGee,Salah Mejri,Greg Monroe,Larry Nance,Nerlens Noel,Lucas Nogueira,Jusuf Nurkic,Zaza Pachulia,Mason Plumlee,Kristaps Porzingis,Dwight Powell,Julius Randle,Willie Reed,Tristan Thompson,Myles Turner,Jonas Valanciunas,Nikola Vucevic,Hassan Whiteside,Cody Zeller"
8,Tony Allen
9,Al-Farouq Aminu
11,"Alex Abrines,Quincy Acy,Darrell Arthur,Brandon Bass,Anthony Bennett,Davis Bertans,Pat Connaughton,Troy Daniels,Boris Diaw,Mike Dunleavy,Dante Exum,Langston Galloway,Archie Goodwin,Treveon Graham,Joe Harris,Juan Hernangomez,James Jones,Skal Labissiere,Meyers Leonard,Timothe Luwawu-Cabarrot,Patrick McCaw,Ben McLemore,Luis Scola,Mirza Teletovic,Jason Terry"
12,Justin Anderson
13,Kyle Anderson
16,"Ryan Anderson,Giannis Antetokounmpo,Carmelo Anthony,Harrison Barnes,Will Barton,Nicolas Batum,Bradley Beal,Eric Bledsoe,Bojan Bogdanovic,Devin Booker,Avery Bradley,Jimmy Butler,Kentavious Caldwell-Pope,Wilson Chandler,Jordan Clarkson,Mike Conley,DeMarcus Cousins,Jamal Crawford,Seth Curry,Stephen Curry,Anthony Davis,DeMar DeRozan,Goran Dragic,Kevin Durant,Evan Fournier,Danilo Gallinari,Marc Gasol,Paul George,Aaron Gordon,Eric Gordon,Draymond Green,Blake Griffin,Tim Hardaway,James Harden,Gary Harris,Tobias Harris,Gordon Hayward,Buddy Hield,George Hill,Solomon Hill,Jrue Holiday,Rodney Hood,Al Horford,Ersan Ilyasova,Kyrie Irving,LeBron James,James Johnson,Tyler Johnson,Nikola Jokic,Sean Kilpatrick,Zach LaVine,Ty Lawson,Courtney Lee,Kawhi Leonard,Damian Lillard,Brook Lopez,Kevin Love,Kyle Lowry,Wesley Matthews,C.J. McCollum,Patty Mills,Paul Millsap,Marcus Morris,Markieff Morris,Jamal Murray,Victor Oladipo,Jabari Parker,Chris Paul,Elfrid Payton,J.J. Redick,Austin Rivers,Derrick Rose,Ricky Rubio,D'Angelo Russell,Dennis Schroder,Iman Shumpert,Nik Stauskas,Jeff Teague,Isaiah Thomas,Klay Thompson,Karl-Anthony Towns,Dwyane Wade,Kemba Walker,John Wall,Russell Westbrook,Andrew Wiggins,Lou Williams,Nick Young"
20,"Chris Andersen,Omer Asik,Rakeem Christmas,Ed Davis,Udonis Haslem,Jordan Mickey,Adreian Payne,Marshall Plumlee,Miles Plumlee"
23,"Alan Anderson,Luke Babbitt,Ron Baker,Wade Baldwin,Leandro Barbosa,Malik Beasley,DeAndre' Bembry,Dragan Bender,Aaron Brooks,Anthony Brown,Bobby Brown,Nicolas Brussino,Reggie Bullock,Trey Burke,Alec Burks,Jose Calderon,Isaiah Canaan,Michael Carter-Williams,Omri Casspi,Semaj Christon,Norris Cole,Quinn Cook,Jordan Crawford,Malcolm Delaney,Toney Douglas,Kris Dunn,Henry Ellenson,Tyler Ennis,Tyreke Evans,Kay Felder,Bryn Forbes,Randy Foye,Jonathan Gibson,Jerian Grant,Gerald Green,Devin Harris,Mario Hezonja,Darrun Hilliard,Marcelo Huertas,Kris Humphries,Stanley Johnson,Tyus Jones,Ryan Kelly,Mindaugas Kuzminskas,Nicolas Laprovittola,Jake Layman,DeAndre Liggins,Trey Lyles,Jarell Martin,Sheldon McClellan,K.J. McDaniels,Jordan McRae,Josh McRoberts,Jodie Meeks,Khris Middleton,Mike Miller,Anthony Morrow,Donatas Motiejunas,Dejounte Murray,Shabazz Napier,Maurice Ndour,Raul Neto,Andrew Nicholson,Chandler Parsons,Cameron Payne,Paul Pierce,Alex Poythress,Ronnie Price,Chasson Randle,Malachi Richardson,Brian Roberts,Terry Rozier,Damjan Rudez,Brandon Rush,Tomas Satoransky,Mike Scott,Wayne Selden,Ramon Sessions,Kyle Singler,J.R. Smith,Lance Stephenson,Rodney Stuckey,Jared Sullinger,Lance Thomas,Hollis Thompson,Marcus Thornton,Evan Turner,Tyler Ulis,Jarrod Uthoff,Denzel Valentine,Fred VanVleet,Rashad Vaughn,Sasha Vujacic,Taurean Waller-Prince,C.J. Watson,Briante Weber,Okaro White,Isaiah Whitehead,C.J. Wilcox,Derrick Williams,Troy Williams,Justise Winslow,Metta World,James Young,Joe Young,Stephen Zimmerman,Paul Zipser"
28,Matt Barnes
