Group,Player
0,Alaa Abdelnaby
1,Danny Ainge
2,Victor Alexander
3,Kenny Anderson
4,Greg Anthony
5,Vincent Askew
6,Stacey Augmon
7,"Anthony Avent,Kevin Duckworth"
8,Thurl Bailey
9,"Clyde Drexler*,Michael Jordan*"
10,"Rafael Addison,Willie Anderson,Jon Barry,John Battle,Alex Blackwell,Kevin Brooks,Duane Cooper,Joe Courtney,Hubert Davis,Sleepy Floyd,Winston Garland,Tate George,Greg Grant,Litterial Green,Sean Higgins,Jaren Jackson,Jim Jackson,Dave Johnson,Negele Knight,Todd Lichti,Don MacLean,Isaiah Morris,Melvin Newbern,Doug Overton,Kenny Payne,Bobby Phills,Brent Price,Blair Rasmussen,Malik Sealy,Brad Sellers,Bryant Stith,Lamont Strothers,Corey Williams,Kennard Winchester,Randy Woods"
11,Benoit Benjamin
12,David Benoit
13,Rolando Blackman
14,"Tony Bennett,Lance Blanks,Steve Henson,Steve Kerr,Travis Mays,John Paxson,Danny Young"
15,Manute Bol
16,Walter Bond
17,Anthony Bonner
18,Anthony Bowie
19,Sam Bowie
20,Terrell Brandon
21,"Mark Acres,Isaac Austin,Randy Breuer,Chucky Brown,Dexter Cambridge,Pete Chilcutt,Marty Conlon,Greg Foster,Mike Gminski,Jeff Grayer,Tom Hammonds,Scott Hastings,Thomas Jordan,Alec Kessler,Bernard King*,Stacey King,Alton Lister,Sam Mack,Jerrod Mustaf,Walter Palmer,Gary Plummer,Mark Randall,Steve Scheffler,Andre Spencer,Jayson Williams,Joe Wolf"
22,Frank Brickowski
23,Scott Brooks
24,"Dee Brown,Mark Jackson,Eric Murdock,Gary Payton*,Doc Rivers,John Stockton*,Rod Strickland,Sedale Threatt,Micheal Williams"
25,Mike Brown
26,Randy Brown
27,Mark Bryant
28,"Keith Askins,Jud Buechler,Ed Nealy"
29,Matt Bullard
30,"Steve Bardo,Willie Burton,Radisav Curcic,Greg Dreiling,Sidney Green,Jay Guidinger,Stephen Howard,Tim Kempton,Ed Pinckney,Tree Rollins,Jeff Sanders,Darrell Walker,Robert Werdann"
31,Elden Campbell
32,Tony Campbell
33,"Terry Catledge,Kevin Lynch"
34,"Duane Causwell,Kenny Gattison,Carl Herrera,Will Perdue,Mark West"
35,Cedric Ceballos
36,Tom Chambers
37,Rex Chapman
38,Maurice Cheeks
39,Doug Christie
40,"Charles Barkley*,Antoine Carr,Derrick Coleman,Tyrone Corbin,Brad Daugherty,Dale Davis,Vlade Divac,LaPhonso Ellis,Patrick Ewing*,Horace Grant,A.C. Green,Larry Johnson,Shawn Kemp,Christian Laettner,Grant Long,Karl Malone*,Danny Manning,Xavier McDaniel,Alonzo Mourning*,Dikembe Mutombo*,Larry Nance,Ken Norman,Shaquille O'Neal*,Hakeem Olajuwon*,Robert Parish*,Sam Perkins,Clifford Robinson,David Robinson*,Detlef Schrempf,Rony Seikaly,Lionel Simmons,Charles Smith,Clarence Weatherspoon,Hot Rod,Kevin Willis"
41,"B.J. Armstrong,Bimbo Coles,Kevin Gamble,Kenny Smith,Isiah Thomas*,Spud Webb"
42,Lester Conner
43,Chris Corchiani
44,John Crotty
45,Dell Curry
46,Terry Davis
47,Johnny Dawkins
48,Vinny Del
49,Bison Dele
50,Sherman Douglas
51,Chris Dudley
52,"Mahmoud Abdul-Rauf,Michael Adams,Nick Anderson,Mookie Blaylock,Todd Day,Joe Dumars*,Blue Edwards,Craig Ehlo,Sean Elliott,Dale Ellis,Tim Hardaway,Ron Harper,Hersey Hawkins,Jeff Hornacek,Reggie Lewis,Dan Majerle,Derrick McKey,Reggie Miller*,Drazen Petrovic*,Ricky Pierce,Scottie Pippen*,Terry Porter,Mark Price,Glen Rice,Scott Skiles,Steve Smith,Latrell Sprewell,John Starks,Dominique Wilkins*,Reggie Williams,Walt Williams,James Worthy*"
