Group,Player
0,"Greg Anderson,Kevin Duckworth"
1,Willie Anderson
2,Greg Anthony
3,B.J. Armstrong
4,Vincent Askew
5,Keith Askins
6,"Michael Adams,Nick Anderson,Ron Anderson,Stacey Augmon,John Bagley,Charles Barkley*,Benoit Benjamin,Rolando Blackman,Mookie Blaylock,Muggsy Bogues,Sam Bowie,Tony Campbell,Terry Catledge,Derrick Coleman,Bimbo Coles,Terry Cummings,Dell Curry,Brad Daugherty,Johnny Dawkins,Clyde Drexler*,Joe Dumars*,Blue Edwards,Sean Elliott,Dale Ellis,Pervis Ellison,Patrick Ewing*,Kevin Gamble,Winston Garland,Kenny Gattison,Kendall Gill,Armen Gilliam,Gary Grant,Harvey Grant,Horace Grant,A.C. Green,Tim Hardaway,Derek Harper,Ron Harper,Hersey Hawkins,Jeff Hornacek,Jay Humphries,Mark Jackson,Eddie Johnson,Kevin Johnson,Larry Johnson,Michael Jordan*,Shawn Kemp,Jerome Kersey,Reggie Lewis,Grant Long,Dan Majerle,Jeff Malone,Karl Malone*,Moses Malone*,Danny Manning,Sarunas Marciulionis*,Vernon Maxwell,Xavier McDaniel,Reggie Miller*,Chris Morris,Chris Mullin*,Dikembe Mutombo*,Larry Nance,Hakeem Olajuwon*,Billy Owens,Robert Parish*,Gary Payton*,Sam Perkins,Tim Perry,Chuck Person,Drazen Petrovic*,Ricky Pierce,Scottie Pippen*,Terry Porter,Mark Price,Glen Rice,Pooh Richardson,Mitch Richmond*,Alvin Robertson,Clifford Robinson,David Robinson*,Rumeal Robinson,John Salley,Detlef Schrempf,Byron Scott,Rony Seikaly,Lionel Simmons,Scott Skiles,Kenny Smith,John Starks,John Stockton*,Rod Strickland,Isiah Thomas*,Otis Thorpe,Sedale Threatt,Spud Webb,Doug West,Gerald Wilkins,Hot Rod,Micheal Williams,Reggie Williams,Kevin Willis,David Wingate,Orlando Woolridge"
7,"Danny Ainge,Dana Barros,Lance Blanks,Craig Ehlo,Paul Graham,Rod Higgins,Steve Kerr,Ed Nealy,Trent Tucker,Kiki Vandeweghe"
8,"William Bedford,Winston Bennett,Jud Buechler,LeRon Ellis,Sidney Green,Jack Haley,Alec Kessler,Jerome Lane,Bob McCann,Ralph Sampson*,Tom Tolbert,Randy White,Jayson Williams,Joe Wolf"
9,"Alaa Abdelnaby,Mark Acres,David Benoit,James Donaldson,Greg Dreiling,Donald Hodge,Eric Leckner,J.R. Reid"
10,Larry Bird*
11,"Manute Bol,Charles Jones,Greg Kite,Jon Koncak,Luc Longley,Felton Spencer,LaSalle Thompson"
12,Anthony Bonner
13,Anthony Bowie
14,Randy Breuer
15,Frank Brickowski
16,"Rafael Addison,Kenny Anderson,Terrell Brandon,Kevin Brooks,Dee Brown,Randy Brown,Tony Brown,Steve Burtt,Rex Chapman,Pete Chilcutt,Chris Corchiani,Corey Crowder,Brad Davis,Walter Davis,Sherman Douglas,Danny Ferry,Anthony Frederick,Tom Garrick,Tate George,Mike Gminski,Greg Grant,Rickey Green,Sean Green,Bob Hansen,Scott Hastings,Steve Henson,Sean Higgins,Craig Hodges,Mike Iuzzolino,Dave Jamerson,Henry James,Avery Johnson,Vinnie Johnson,Bo Kimble,Negele Knight,Bart Kofoed,Doug Lee,Jim Les,Todd Lichti,Kevin Lynch,Tharon Mayes,George McCloud,Rodney Monroe,Tracy Moore,John Morton,Eric Murdock,Brian Oliver,Jimmy Oliver,Robert Pack,Kenny Payne,Elliot Perry,Paul Pressey,Kevin Pritchard,Brian Quinnett,Mark Randall,Jerry Reynolds,David Rivers,Delaney Rudd,Jeff Sanders,Dennis Scott,Brian Shaw,LaBradford Smith,Otis Smith,Tony Smith,Rory Sparrow,Greg Sutton,Charles Thomas,Andre Turner,Sam Vincent,Ennis Whatley,Mitchell Wiggins,Morlon Wiley,Randy Wittman,Danny Young"
17,Scott Brooks
18,"Isaac Austin,Chucky Brown,Mark Bryant,Cedric Ceballos,Marty Conlon,Wayne Cooper,Tom Copa,Dave Feitl,Greg Foster,Tellis Frank,Tom Hammonds,Carl Herrera,Rich King,Alton Lister,Tim McCormick,Tod Murphy,Jerrod Mustaf,Alan Ogg,Jim Petersen,Kurt Rambis,Jeff Ruland,Danny Schayes,Dwayne Schintzius,Brad Sellers,Larry Smith,John Turner,Stojko Vrankovic"
19,"Victor Alexander,Dale Davis,Bison Dele,Chris Gatling,Cliff Levingston,Stanley Roberts,Tree Rollins,Mark West,Scott Williams"
20,Matt Bullard
21,Willie Burton
22,"Elden Campbell,Chris Dudley,Mark Eaton"
23,Bill Cartwright
24,"Duane Causwell,Andrew Lang"
25,Tom Chambers
26,Maurice Cheeks
27,Lester Conner
28,"Anthony Cook,Brian Howard,Mike Sanders,Kenny Williams"
29,Tyrone Corbin
30,"Mike Brown,Michael Cage,Terry Davis,Tyrone Hill,Anthony Mason,Charles Oakley,Ed Pinckney,Olden Polynice,Dennis Rodman*,Larry Stewart,Buck Williams"
31,Vlade Divac
32,James Edwards
33,Kevin Edwards
34,Mario Elie
35,"Mahmoud Abdul-Rauf,Mark Aguirre,John Battle,Ledell Eackles,A.J. English,Sleepy Floyd,Terry Teagle"
36,Duane Ferrell
37,Vern Fleming
38,Rick Fox
39,"Gerald Glass,Jeff Grayer"
40,Dennis Hopson
41,Buck Johnson
42,Stacey King
43,Joe Kleine
44,Bill Laimbeer
45,Fat Lever
46,Marcus Liberty
47,Brad Lohaus
48,Mark Macon
49,Rodney McCray
50,Kevin McHale*
51,Derrick McKey
52,Nate McMillan
53,Terry Mills
54,"Larry Krystkowiak,Sam Mitchell"
55,Johnny Newman
56,Ken Norman
57,John Paxson
58,Will Perdue
59,Blair Rasmussen
60,Doc Rivers
61,Fred Roberts
62,Donald Royal
63,Charles Shackleford
64,Charles Smith
65,Doug Smith
66,Steve Smith
67,"Antoine Carr,Rik Smits,Wayman Tisdale"
68,Jeff Turner
69,Loy Vaught
70,Alexander Volkov
71,Darrell Walker
72,Dominique Wilkins*
73,"Thurl Bailey,Herb Williams"
74,James Worthy*
