Group,Player
0,Mark Acres
1,Mark Aguirre
2,"Michael Adams,Danny Ainge,Craig Ehlo,Sleepy Floyd,Derek Harper,Hersey Hawkins,Kevin Johnson,Reggie Miller*,Chuck Person,Terry Porter,Mark Price,Byron Scott,John Stockton*"
3,Mark Alarie
4,Greg Anderson
5,Nick Anderson
6,Richard Anderson
7,Ron Anderson
8,Michael Ansley
9,John Bagley
10,Ken Bannister
11,John Battle
12,Kenny Battle
13,Mookie Blaylock
14,Manute Bol
15,Sam Bowie
16,Frank Brickowski
17,Scott Brooks
18,Chucky Brown
19,Mike Brown
20,"Anthony Bowie,Tony Brown,Quintin Dailey,Scott Haffner,Eddie Hughes,Anthony Jones,Frank Kornet,John Lucas,Jeff Martin,George McCloud,Johnny Moore,Kenny Payne,Robert Reid,Jay Taylor,Sedric Toney,Jeff Turner,Reggie Williams,Joe Wolf,Mike Woodson"
21,Adrian Caldwell
22,Antoine Carr
23,"Randy Breuer,Joe Barry"
24,Bill Cartwright
25,Terry Catledge
26,"Rolando Blackman,Tony Campbell,Tom Chambers,Joe Dumars*,Bernard King*,Reggie Lewis,Xavier McDaniel,Mitch Richmond*"
27,Rex Chapman
28,"Muggsy Bogues,Maurice Cheeks,Spud Webb"
29,Steve Colter
30,Lester Conner
31,Michael Cooper
32,Wayne Cooper
33,Lanard Copeland
34,"Tyrone Corbin,Alvin Robertson"
35,"Winston Bennett,Ben Coleman,Pat Cummings,Ed Horton,Steve Johnson,Tim Kempton,Lewis Lloyd,Mark McNamara,Jim Rowinski"
36,Dell Curry
37,Adrian Dantley*
38,Brad Daugherty
39,Brad Davis
40,"Randy Allen,William Bedford,Uwe Blab,Mark Bryant,Charles Davis,Greg Dreiling,Pervis Ellison,Stuart Gray,Dave Greenwood,Tom Hammonds,Dave Hoppen,Tito Horford,Jaren Jackson,Eric Johnson,Caldwell Jones,Larry Krystkowiak,Gary Leonard,Roy Marble,Anthony Mason,Tim McCormick,Carlton McKinney,Scott Meents,Paul Mokeski,Mike Morrison,John Morton,Kurt Nimphius,Dyron Nix,Zarko Paspalj,Jim Petersen,Brian Quinnett,Tree Rollins,Doug Roth,Ralph Sampson*,Jeff Sanders,Brad Sellers,Mike Smrek,Andre Turner,Chris Welp,Bill Wennington,Doug West,Randy White,Mike Williams"
41,"Johnny Dawkins,Sherman Douglas,Vern Fleming,Tim Hardaway,Jay Humphries,Rod Strickland,Isiah Thomas*"
42,Vinny Del
43,"Byron Dinkins,Greg Grant,Rickey Green,Avery Johnson,John Long,Pete Myers,David Rivers,Jerry Sichting,Kelvin Upshaw,Morlon Wiley,Leon Wood"
44,Vlade Divac
45,"Thurl Bailey,Charles Barkley*,Larry Bird*,Michael Cage,Terry Cummings,Clyde Drexler*,Patrick Ewing*,Armen Gilliam,Horace Grant,A.C. Green,Magic Johnson*,Michael Jordan*,Jerome Kersey,Fat Lever,Karl Malone*,Moses Malone*,Danny Manning,Rodney McCray,Kevin McHale*,Derrick McKey,Chris Mullin*,Charles Oakley,Hakeem Olajuwon*,Robert Parish*,Sam Perkins,David Robinson*,Dennis Rodman*,Detlef Schrempf,Charles Smith,Rik Smits,Otis Thorpe,Dominique Wilkins*,Buck Williams,Hot Rod,James Worthy*"
46,Chris Dudley
47,T.R. Dunn
48,Ledell Eackles
49,Blue Edwards
50,"Kevin Duckworth,James Edwards,Wayman Tisdale"
51,Sean Elliott
52,Dale Ellis
53,Tellis Frank
54,Kevin Gamble
55,Winston Garland
56,Tom Garrick
57,Derrick Gervin
58,Gary Grant
59,Harvey Grant
60,Jeff Grayer
61,Sidney Green
62,Bob Hansen
63,Bill Hanzlik
64,Ron Harper
65,Scott Hastings
66,Gerald Henderson
67,Rod Higgins
68,Roy Hinson
69,"Craig Hodges,Steve Kerr,Scott Skiles"
70,Mike Holton
71,Jeff Hornacek
72,"Stanley Brundy,Derrick Chievous,Byron Irvin,Henry Turner"
73,Mark Jackson
74,"Willie Anderson,Buck Johnson,Scottie Pippen*"
75,Dennis Johnson*
76,Eddie Johnson
77,"Kevin Edwards,Vinnie Johnson"
78,"Mark Eaton,Charles Jones"
79,Shawn Kemp
80,Randolph Keys
81,Stacey King
82,Greg Kite
83,Joe Kleine
84,Jon Koncak
85,Bill Laimbeer
86,Andrew Lang
87,Cliff Levingston
88,Todd Lichti
89,Brad Lohaus
90,Grant Long
91,Sidney Lowe
92,Dan Majerle
93,"Walter Davis,Alex English*,Jeff Malone"
94,Sarunas Marciulionis*
95,Vernon Maxwell
96,Mike McGee
97,Nate McMillan
98,Sam Mitchell
99,Chris Morris
100,Tod Murphy
101,Larry Nance
102,Calvin Natt
103,Ed Nealy
104,Johnny Newman
105,Ken Norman
106,"B.J. Armstrong,Jim Paxson"
107,John Paxson
108,"Terry Davis,Jack Haley,Will Perdue,Eddie Lee"
109,"Kenny Gattison,Tim Perry"
110,Drazen Petrovic*
111,Ricky Pierce
112,Ed Pinckney
113,Olden Polynice
114,Paul Pressey
115,Kurt Rambis
116,"Mike Gminski,Blair Rasmussen"
117,J.R. Reid
118,Jerry Reynolds
119,Glen Rice
120,Pooh Richardson
121,Doc Rivers
122,Fred Roberts
123,Clifford Robinson
124,Scott Roth
125,Brian Rowsom
126,Donald Royal
127,"Larry Drew,Delaney Rudd"
128,John Salley
129,Mike Sanders
130,Danny Schayes
131,Rony Seikaly
132,Charles Shackleford
133,Jack Sikma
134,Charles Smith
135,Derek Smith
136,Kenny Smith
137,"Jerome Lane,Larry Smith"
138,Michael Smith
139,Otis Smith
140,Rory Sparrow
141,Jon Sundvold
142,Roy Tarpley
143,"Purvis Short,Terry Teagle"
144,Reggie Theus
145,Billy Thompson
146,LaSalle Thompson
147,"James Donaldson,Mychal Thompson"
148,Bob Thornton
149,Sedale Threatt
150,Tom Tolbert
151,"Dennis Hopson,Kelly Tripucka"
152,"Dana Barros,Darrell Griffith,Harold Pressley,Trent Tucker"
153,"Eric Leckner,Melvin Turpin"
154,"Steve Alford,Jim Farmer,Kiki Vandeweghe,Jay Vincent"
155,Sam Vincent
156,Alexander Volkov
157,Darrell Walker
158,Kenny Walker
159,"Benoit Benjamin,Rick Mahorn,Mark West"
160,Mitchell Wiggins
161,Gerald Wilkins
162,Herb Williams
163,John Williams
164,Micheal Williams
165,Kevin Willis
166,David Wingate
167,Randy Wittman
168,Orlando Woolridge
169,Danny Young
170,Michael Young
