Group,Player
0,"Cory Alexander,B.J. Armstrong,Keith Askins,Drew Barry,Corey Beck,Corey Benjamin,Bruce Bowen,Earl Boykins,Gerald Brown,Matt Bullard,Mitchell Butler,Chris Carr,Cory Carr,Sam Cassell,Pete Chilcutt,Austin Croshere,John Crotty,Bill Curley,Ricky Davis,Terry Dehere,Tony Delk,Sherman Douglas,Bryce Drew,Blue Edwards,Brian Evans,Marlon Garnett,Harvey Grant,Ed Gray,Lucious Harris,Michael Hawkins,J.R. Henderson,Jerald Honeycutt,Troy Hudson,Charles Jones,Damon Jones,Steve Kerr,Jerome Kersey,Rusty LaRue,Tim Legler,Voshon Lenard,Rashard Lewis,Tyronn Lue,Matt Maloney,Darrick Martin,Lee Mayberry,Walter McCarty,Jeff McInnis,Derrick McKey,Roshown McLeod,Greg Minor,Eric Murdock,Tracy Murray,Moochie Norris,Doug Overton,Billy Owens,Robert Pack,Andrae Patterson,Anthony Peeler,Elliot Perry,Chuck Person,Eldridge Recasner,Khalid Reeves,Rodrick Rhodes,Pooh Richardson,James Robinson,Danny Schayes,Dennis Scott,Malik Sealy,Jeffrey Sheppard,Charles Smith,Bryant Stith,Johnny Taylor,Rex Walters,Eric Washington,Bill Wennington,Doug West,DeJuan Wheat"
1,Derek Anderson
2,Kenny Anderson
3,Shandon Anderson
4,Greg Anthony
5,Stacey Augmon
6,Isaac Austin
7,"Thurl Bailey,Jim McIlvaine"
8,"Chris Anstey,Toby Bailey,Corie Blount,Keith Booth,Antoine Carr,Duane Causwell,Cedric Ceballos,Keon Clark,William Cunningham,Kornel David,Chris Dudley,LaPhonso Ellis,Greg Foster,Adonal Foyle,Todd Fuller,Tom Hammonds,Al Harrington,Mark Hendrickson,Carl Herrera,Zydrunas Ilgauskas,Randell Jackson,Popeye Jones,Reggie Jordan,Adam Keefe,Joe Kleine,Travis Knight,Raef LaFrentz,Andrew Lang,Don MacLean,Rick Mahorn,Anthony Miller,Nazr Mohammed,Eric Montross,Chris Morris,Charles O'Bannon,Jermaine O'Neal,Ruben Patterson,Scot Pollard,Bryant Reeves,Eric Riley,Dennis Rodman*,Sean Rooks,Charles Shackleford,Brian Skinner,Reggie Slater,Felton Spencer,Ryan Stack,Vladimir Stepania,Michael Stewart,Mark Strickland,Derek Strong,David Vaughn,Loy Vaught,Samaki Walker,Mark West,Jahidi White,Dominique Wilkins*,Aaron Williams,Hot Rod,Jayson Williams"
9,"Brent Barry,Chauncey Billups,Dee Brown,Jud Buechler,Tyrone Corbin,Dell Curry,Hubert Davis,Michael Dickerson,Joe Dumars*,Dale Ellis,Danny Ferry,Rick Fox,Jaren Jackson,Sam Mack,Vernon Maxwell,Cuttino Mobley,Wesley Person,Eric Piatkowski,Glen Rice,Peja Stojakovic"
10,Jon Barry
11,"Tony Battie,Shawn Bradley,Marcus Camby,Antonio Davis,Dale Davis,Andrew DeClercq,Jamie Feick,Danny Fortson,Lawrence Funderburke,Dean Garrett,Matt Harpring,Tyrone Hill,Ervin Johnson,Brad Miller,Greg Ostertag,Don Reid,J.R. Reid,Dickey Simpkins,Michael Smith,Robert Traylor,Ben Wallace,Clarence Weatherspoon,Jerome Williams,Lorenzen Wright"
12,Travis Best
13,"Mike Bibby,Bimbo Coles,Avery Johnson"
14,"Ray Allen,Nick Anderson,Darrell Armstrong,Mookie Blaylock,Terrell Brandon,Kobe Bryant,Doug Christie,Michael Finley,Anfernee Hardaway,Tim Hardaway,Hersey Hawkins,Jeff Hornacek,Allan Houston,Lindsey Hunter,Allen Iverson*,Larry Johnson,Eddie Jones,Jason Kidd,Kerry Kittles,Toni Kukoc,Stephon Marbury,Reggie Miller*,Tyrone Nesby,Gary Payton*,Bobby Phills,Paul Pierce,Scottie Pippen*,Mitch Richmond*,Isaiah Rider,Clifford Robinson,Bryon Russell,Steve Smith,Latrell Sprewell,John Starks,John Stockton*,Damon Stoudamire,Rod Strickland,Nick Van,Antoine Walker,David Wesley,Jason Williams"
15,Chucky Brown
16,"Shareef Abdur-Rahim,Charles Barkley*,P.J. Brown,Mark Bryant,Elden Campbell,Vince Carter,Derrick Coleman,Erick Dampier,Bison Dele,Vlade Divac,Tim Duncan,Patrick Ewing*,Kevin Garnett,Matt Geiger,Brian Grant,Tom Gugliotta,Alan Henderson,Grant Hill,Juwan Howard,Antawn Jamison,Shawn Kemp,Karl Malone*,Danny Manning,Donyell Marshall,Antonio McDyess,Tracy McGrady,Alonzo Mourning*,Dikembe Mutombo*,Shaquille O'Neal*,Hakeem Olajuwon*,Vitaly Potapenko,Theo Ratliff,David Robinson*,Glenn Robinson,Arvydas Sabonis*,Detlef Schrempf,Joe Smith,Rik Smits,Kurt Thomas,Otis Thorpe,Gary Trent,Keith Van,Rasheed Wallace,Chris Webber,Kevin Willis"
17,Randy Brown
18,Scott Burrell
19,"Vin Baker,Jason Caffey,Chris Gatling,Michael Olowokandi,Cherokee Parks"
20,Kelvin Cato
21,Rex Chapman
22,Calbert Cheaney
23,Chris Childs
24,Chris Crawford
25,Michael Curry
26,"Muggsy Bogues,Antonio Daniels"
27,Michael Doleac
28,Howard Eisley
29,"Terry Davis,Jelani McCoy,Will Perdue,John Thomas"
30,Pat Garrity
31,Armen Gilliam
32,Horace Grant
33,A.C. Green
34,"Derek Fisher,Derek Harper,Steve Nash"
35,Ron Harper
36,"Dana Barros,Mario Elie,George McCloud,Chris Mullin*,Terry Porter,Walt Williams"
37,Cedric Henderson
38,Robert Horry
39,"Terry Cummings,Larry Hughes"
40,Bobby Jackson
41,Jim Jackson
42,Mark Jackson
43,Christian Laettner
44,Grant Long
45,Luc Longley
46,"Tariq Abdul-Wahad,Felipe Lopez"
47,"Kendall Gill,George Lynch"
48,Dan Majerle
49,Jamal Mashburn
50,"Othella Harrington,Tony Massenburg"
51,Aaron McKie
52,Ron Mercer
53,"Sean Elliott,Chris Mills"
54,Sam Mitchell
55,Johnny Newman
56,Dirk Nowitzki
57,Charles Oakley
58,Bo Outlaw
59,Sam Perkins
60,"Vinny Del,Anthony Johnson,Bob Sura,Alvin Williams"
61,Olden Polynice
62,Brent Price
63,Rodney Rogers
64,"Lamond Murray,Jalen Rose"
65,Malik Rose
66,"Brevin Knight,Eric Snow"
67,Jerry Stackhouse
68,Erick Strickland
69,Tim Thomas
70,John Wallace
71,Charlie Ward
72,Chris Whitney
73,Eric Williams
74,"Maurice Taylor,Corliss Williamson"
75,Haywoode Workman
