Group,Player
0,Derek Anderson
1,Kenny Anderson
2,Nick Anderson
3,Shandon Anderson
4,"Mahmoud Abdul-Rauf,Tariq Abdul-Wahad,Greg Anderson,Chris Anstey,Vincent Askew,Bruce Bowen,Chucky Brown,Rick Brunson,Mitchell Butler,Antoine Carr,Kelvin Cato,Duane Causwell,Keith Closs,Marty Conlon,Chris Crawford,Austin Croshere,John Crotty,Bill Curley,Mark Davis,Chris Dudley,Tyus Edney,Kevin Edwards,Tony Farmer,Jamie Feick,Duane Ferrell,Adonal Foyle,Todd Fuller,Chris Garner,Kiwane Garris,Reggie Geary,Harvey Grant,Ed Gray,Litterial Green,Anfernee Hardaway,Lucious Harris,Mark Hendrickson,Carl Herrera,Bobby Hurley,Popeye Jones,Jerome Kersey,Joe Kleine,Andrew Lang,Priest Lauderdale,Grant Long,Rick Mahorn,Xavier McDaniel,Derrick McKey,Greg Minor,Eric Montross,Ivano Newbill,Charles O'Bannon,Jermaine O'Neal,Kevin Ollie,Greg Ostertag,Doug Overton,Robert Pack,Ricky Pierce,Mark Pope,J.R. Reid,Rodrick Rhodes,Pooh Richardson,Eric Riley,Roy Rogers,Sean Rooks,Malik Rose,Donald Royal,Shawnelle Scott,God Shammgod,Felton Spencer,Latrell Sprewell,Kebu Stewart,Bryant Stith,Bob Sura,Zan Tabak,Johnny Taylor,David Vaughn,Jacque Vaughn,Loy Vaught,Stojko Vrankovic,Samaki Walker,Ben Wallace,Bubba Wells,Bill Wennington,Doug West,Mark West,Brandon Williams,Eric Williams,Herb Williams,Micheal Williams,Scott Williams,Travis Williams,David Wingate,Joe Wolf"
5,"Cory Alexander,Greg Anthony,Dana Barros,Brent Barry,David Benoit,Dee Brown,Matt Bullard,Scott Burrell,Rex Chapman,Pete Chilcutt,Hubert Davis,Terry Dehere,Joe Dumars*,Mario Elie,Dale Ellis,Derek Harper,Hersey Hawkins,Jaren Jackson,Eddie Johnson,Voshon Lenard,Sam Mack,Dan Majerle,Matt Maloney,Lee Mayberry,George McCloud,Chris Mullin*,Tracy Murray,Steve Nash,Sam Perkins,Chuck Person,Wesley Person,Bobby Phills,Eric Piatkowski,Scottie Pippen*,Terry Porter,Brent Price,Eldridge Recasner,James Robinson,Dennis Scott,John Starks,Nick Van,Charlie Ward,Eric Washington,Walt Williams"
6,Darrell Armstrong
7,Stacey Augmon
8,"Shareef Abdur-Rahim,Isaac Austin,Vin Baker,Charles Barkley*,Shawn Bradley,P.J. Brown,Jason Caffey,Marcus Camby,Elden Campbell,Calbert Cheaney,Derrick Coleman,Erick Dampier,Antonio Davis,Dale Davis,Terry Davis,Andrew DeClercq,Bison Dele,Vlade Divac,Tim Duncan,LaPhonso Ellis,Danny Fortson,Kevin Garnett,Dean Garrett,Matt Geiger,Kendall Gill,Armen Gilliam,Brian Grant,Horace Grant,A.C. Green,Ron Harper,Alan Henderson,Cedric Henderson,Grant Hill,Tyrone Hill,Robert Horry,Juwan Howard,Zydrunas Ilgauskas,Ervin Johnson,Larry Johnson,Michael Jordan*,Shawn Kemp,Christian Laettner,George Lynch,Karl Malone*,Danny Manning,Donyell Marshall,Anthony Mason,Walter McCarty,Antonio McDyess,Ron Mercer,Sam Mitchell,Alonzo Mourning*,Lamond Murray,Dikembe Mutombo*,Shaquille O'Neal*,Charles Oakley,Hakeem Olajuwon*,Bo Outlaw,Billy Owens,Cherokee Parks,Will Perdue,Vitaly Potapenko,Theo Ratliff,Bryant Reeves,Stanley Roberts,Clifford Robinson,David Robinson*,Glenn Robinson,Dennis Rodman*,Arvydas Sabonis*,Joe Smith,Rik Smits,Michael Stewart,Maurice Taylor,Otis Thorpe,Antoine Walker,John Wallace,Rasheed Wallace,Clarence Weatherspoon,Chris Webber,Jayson Williams,Corliss Williamson,Kevin Willis,Lorenzen Wright"
9,Tony Battie
10,Muggsy Bogues
11,"B.J. Armstrong,Drew Barry,Anthony Bowie,Chris Carr,Dell Curry,Emanual Davis,Steve Kerr,Anthony Peeler,Shawn Respert,Rex Walters"
12,Terrell Brandon
13,"Keith Askins,Jon Barry,Corey Beck,Scott Brooks,Ledell Eackles,Brian Evans,Danny Ferry,Gary Grant,Fred Hoiberg,Henry James,Vernon Maxwell,Nate McMillan,Terry Mills,Martin Muursepp,Alvin Williams"
14,Randy Brown
15,Jud Buechler
16,"Ray Allen,Mookie Blaylock,Kobe Bryant,Sam Cassell,Doug Christie,Clyde Drexler*,Blue Edwards,Michael Finley,Rick Fox,Tim Hardaway,Jeff Hornacek,Allan Houston,Allen Iverson*,Jim Jackson,Mark Jackson,Eddie Jones,Jason Kidd,Kerry Kittles,Toni Kukoc,Stephon Marbury,Reggie Miller*,Johnny Newman,Gary Payton*,Glen Rice,Mitch Richmond*,Isaiah Rider,Rodney Rogers,Detlef Schrempf,Steve Smith,Jerry Stackhouse,Damon Stoudamire,Rod Strickland,Tim Thomas,Keith Van,David Wesley"
17,Bimbo Coles
18,"James Collins,Sean Elliott,Jerald Honeycutt,Rusty LaRue,Brad Lohaus,Gerald Madkins,Chris Morris,Anthony Parker,Chris Robinson,Charles Smith,Carl Thomas,Brooks Thompson,DeJuan Wheat"
19,"Benoit Benjamin,Mario Bennett,Corie Blount,Mark Bryant,Michael Cage,Cedric Ceballos,Harold Ellis,Pervis Ellison,Darvin Ham,Tom Hammonds,Othella Harrington,Charles Jones,Reggie Jordan,Tony Massenburg,Marko Milic,Anthony Miller,Scot Pollard,Don Reid,Carlos Rogers,Dickey Simpkins,Michael Smith,Mark Strickland,John Thomas,Aaron Williams,Buck Williams,Hot Rod,Jerome Williams,Lorenzo Williams"
20,Tyrone Corbin
21,Terry Cummings
22,Michael Curry
23,Antonio Daniels
24,Vinny Del
25,Tony Delk
26,Sherman Douglas
27,Greg Foster
28,"Patrick Ewing*,Lawrence Funderburke"
29,Chris Gatling
30,"Chauncey Billups,Howard Eisley,Anthony Goldwire,Lindsey Hunter,Darrick Martin,Khalid Reeves"
31,Tom Gugliotta
32,Bobby Jackson
33,Anthony Johnson
34,Avery Johnson
35,Kevin Johnson
36,Adam Keefe
37,Brevin Knight
38,Travis Knight
39,Luc Longley
40,Jamal Mashburn
41,Tracy McGrady
42,Jim McIlvaine
43,Oliver Miller
44,Chris Mills
45,"Chris Childs,Derek Fisher,Eric Murdock"
46,"Travis Best,Elliot Perry"
47,Olden Polynice
48,Mark Price
49,Bryon Russell
