Group,Player
0,Alaa Abdelnaby
1,Mahmoud Abdul-Rauf
2,Rafael Addison
3,Victor Alexander
4,Greg Anderson
5,"Michael Adams,Greg Anthony,Scott Brooks,Kevin Edwards,Tim Legler,Chris Mullin*,Morlon Wiley"
6,Vincent Askew
7,Keith Askins
8,"John Battle,Tim Breaux,Steve Colter,Lloyd Daniels,Tony Dumas,Ledell Eackles,Jo Jo,Greg Graham,Jeff Grayer,Jack Haley,Sean Higgins,Askia Jones,Don MacLean,Dwayne Morton,Tracy Murray,Terry Porter,Trevor Ruffin,Chris Smith,Michael Smith,Tony Smith,Greg Sutton,Brooks Thompson,David Wingate"
9,Benoit Benjamin
10,David Benoit
11,Walter Bond
12,Anthony Bonner
13,Anthony Bowie
14,Sam Bowie
15,Shawn Bradley
16,Terrell Brandon
17,"Derrick Alston,Mike Brown,Bill Cartwright,Bill Curley,Terry Davis,Greg Dreiling,Kevin Duckworth,Acie Earl,James Edwards,Andres Guibert,Donald Hodge,Jay Humphries,Jaren Jackson,Larry Krystkowiak,Cliff Levingston,Ivano Newbill,Tim Perry,Dwayne Schintzius,Lionel Simmons,Dickey Simpkins,Reggie Slater,Doug Smith,Zan Tabak,LaSalle Thompson,Henry Turner,Kenny Walker,Herb Williams,John Williams"
18,"Nick Anderson,B.J. Armstrong,Charles Barkley*,Dana Barros,Mookie Blaylock,Dee Brown,Todd Day,Vinny Del,Clyde Drexler*,Sean Elliott,Kendall Gill,Anfernee Hardaway,Lucious Harris,Hersey Hawkins,Jeff Hornacek,Larry Johnson,Toni Kukoc,Dan Majerle,Derrick McKey,Reggie Miller*,Gary Payton*,Scottie Pippen*,Glen Rice,Mitch Richmond*,Clifford Robinson,Detlef Schrempf,Steve Smith,John Starks,John Stockton*,Rod Strickland,Reggie Williams"
19,P.J. Brown
20,Randy Brown
21,Jud Buechler
22,Scott Burrell
23,Willie Burton
24,Mitchell Butler
25,Michael Cage
26,Elden Campbell
27,Tony Campbell
28,Antoine Carr
29,Cedric Ceballos
30,Tom Chambers
31,Rex Chapman
32,Pete Chilcutt
33,Bimbo Coles
34,Marty Conlon
35,Tyrone Corbin
36,John Crotty
37,"Dale Davis,Horace Grant,Anthony Mason,Oliver Miller,Gheorghe Muresan,Dikembe Mutombo*,Will Perdue,J.R. Reid,Michael Smith,Otis Thorpe"
38,"Danny Ainge,Dell Curry,Hubert Davis,Mario Elie,Danny Ferry,Allan Houston,Steve Kerr,Wesley Person,Dennis Scott,Kenny Smith"
39,Johnny Dawkins
40,Terry Dehere
41,Bison Dele
42,"Stacey Augmon,Vin Baker,Derrick Coleman,Vlade Divac,Patrick Ewing*,Armen Gilliam,Brian Grant,Grant Hill,Juwan Howard,Popeye Jones,Shawn Kemp,Christian Laettner,Grant Long,Karl Malone*,Alonzo Mourning*,Shaquille O'Neal*,Hakeem Olajuwon*,Billy Owens,Dino Radja,David Robinson*,Charles Smith,Rik Smits,Loy Vaught,Clarence Weatherspoon,Kevin Willis"
43,James Donaldson
44,Sherman Douglas
45,"Anthony Avent,Corie Blount,Ervin Johnson,Alton Lister,Robert Parish*"
46,Chris Dudley
47,"Richard Dumas,Duane Ferrell,Vern Fleming,Byron Houston,Fred Roberts,Trevor Wilson"
48,"Chris Childs,Howard Eisley,Sleepy Floyd,Greg Grant,Lindsey Hunter,Bobby Hurley,Negele Knight,Jim Les,Darrick Martin,Harold Miner,B.J. Tyler,Chris Whitney,Randy Woods"
49,Pat Durham
50,Blue Edwards
51,Craig Ehlo
52,Harold Ellis
53,Pervis Ellison
54,"Doug Edwards,Matt Fish,Kenny Gattison,Stacey King,Aaron McKie,Kurt Rambis,Eric Riley,Bryon Russell,Larry Stewart"
55,Greg Foster
56,Rick Fox
57,"Willie Anderson,Corey Gaines,Jamie Watson"
58,Winston Garland
59,Chris Gatling
60,Matt Geiger
61,Harvey Grant
62,A.C. Green
63,Tom Gugliotta
64,Tom Hammonds
65,Darrin Hancock
66,Jerome Harmon
67,Ron Harper
68,Antonio Harvey
69,Steve Henson
70,Carl Herrera
71,Tyrone Hill
72,Robert Horry
73,Jim Jackson
74,Mark Jackson
75,"Muggsy Bogues,Avery Johnson"
76,Kevin Johnson
77,Eddie Jones
78,Michael Jordan*
79,Adam Keefe
80,Jerome Kersey
81,Jason Kidd
82,Joe Kleine
83,Jon Koncak
84,Andrew Lang
85,Eric Leckner
86,Brad Lohaus
87,Luc Longley
88,"Gary Grant,Ryan Lorthridge"
89,Mark Macon
90,"Chucky Brown,Mark Bryant,Rick Mahorn,Eric Mobley,Charles Shackleford"
91,"Jeff Malone,Ricky Pierce"
92,Moses Malone*
93,Danny Manning
94,Sarunas Marciulionis*
