Group,Player
0,Mahmoud Abdul-Rauf
1,"Dana Barros,Duane Ferrell,Scott Hastings,Sidney Moncrief,Drazen Petrovic*,Mark Price,Kelly Tripucka"
2,"Nick Anderson,Ron Anderson,Willie Anderson,Thurl Bailey,Benoit Benjamin,Manute Bol,Sam Bowie,Randy Breuer,Frank Brickowski,Willie Burton,Michael Cage,Antoine Carr,Bill Cartwright,Duane Causwell,Tom Chambers,Derrick Coleman,Tyrone Corbin,Terry Cummings,Brad Daugherty,Vlade Divac,James Donaldson,Kevin Duckworth,Chris Dudley,Mark Eaton,James Edwards,Sean Elliott,Pervis Ellison,Patrick Ewing*,Vern Fleming,Kevin Gamble,Kenny Gattison,Kendall Gill,Armen Gilliam,Mike Gminski,Harvey Grant,Horace Grant,A.C. Green,Buck Johnson,Shawn Kemp,Jerome Kersey,Greg Kite,Bill Laimbeer,Jerome Lane,Reggie Lewis,Alton Lister,Grant Long,Rick Mahorn,Jeff Malone,Karl Malone*,Moses Malone*,Danny Manning,Rodney McCray,Xavier McDaniel,Kevin McHale*,Derrick McKey,Sam Mitchell,Larry Nance,Ken Norman,Charles Oakley,Hakeem Olajuwon*,Robert Parish*,Sam Perkins,Scottie Pippen*,Olden Polynice,Blair Rasmussen,J.R. Reid,Fred Roberts,Alvin Robertson,Clifford Robinson,David Robinson*,Dennis Rodman*,John Salley,Danny Schayes,Detlef Schrempf,Rony Seikaly,Brian Shaw,Lionel Simmons,Charles Smith,Larry Smith,Otis Smith,Rik Smits,Felton Spencer,LaSalle Thompson,Otis Thorpe,Mark West,Randy White,Buck Williams,Herb Williams,Kevin Willis,Orlando Woolridge"
3,"Scott Brooks,Brad Davis,Darrell Griffith,Craig Hodges,Jim Les,Marcus Liberty,Brad Lohaus,Jeff Martin,George McCloud,Delaney Rudd,John Starks,Trent Tucker,Andre Turner,David Wood,Danny Young"
4,"Alaa Abdelnaby,Mark Acres,Mark Alarie,Steve Alford,Greg Anderson,Michael Ansley,Keith Askins,Ken Bannister,Kenny Battle,Lance Blanks,Anthony Bonner,Mike Brown,Mark Bryant,Adrian Caldwell,Elden Campbell,Cedric Ceballos,Steve Colter,Lester Conner,Anthony Cook,Dave Corzine,Quintin Dailey,Terry Davis,Johnny Dawkins,Greg Dreiling,Larry Drew,T.R. Dunn,Mario Elie,A.J. English,Jim Farmer,Greg Foster,Corey Gaines,Jim Grandholm,Jeff Grayer,Sidney Green,Dave Greenwood,Jack Haley,Tom Hammonds,Gerald Henderson,Steve Henson,Sean Higgins,Tyrone Hill,Dave Hoppen,Byron Irvin,Henry James,Avery Johnson,Steve Johnson,Charles Jones,Steve Kerr,Alec Kessler,Stacey King,Joe Kleine,Andrew Lang,Eric Leckner,Cliff Levingston,Todd Lichti,Tony Massenburg,Tim McCormick,Terry Mills,Jerrod Mustaf,Pete Myers,Craig Neal,Ed Nealy,Alan Ogg,Will Perdue,Tim Perry,Jim Petersen,Ed Pinckney,Brian Quinnett,Kurt Rambis,Rumeal Robinson,Tree Rollins,Steve Scheffler,Dwayne Schintzius,John Shasky,Michael Smith,Tony Smith,Jon Sundvold,Roy Tarpley,Billy Thompson,Mychal Thompson,Andy Toolson,Kelvin Upshaw,Loy Vaught,Stojko Vrankovic,Milt Wagner,Kenny Walker,Doug West,Eddie Lee,Hot Rod,Jayson Williams,Kenny Williams,Scott Williams,Randy Wittman,Leon Wood,Howard Wright"
5,"William Bedford,Winston Bennett,Tony Brown,Jud Buechler,Rick Calloway,Derrick Chievous,Richard Coffey,Bimbo Coles,Wayne Cooper,Earl Cureton,Adrian Dantley*,Byron Dinkins,Dave Feitl,Anthony Frederick,Tom Garrick,Tate George,Derrick Gervin,Gerald Glass,Greg Grant,Bob Hansen,Dennis Hopson,Dave Jamerson,Les Jepsen,Randolph Keys,Bo Kimble,Negele Knight,Frank Kornet,Kurk Lee,Tim Legler,John Long,Paul Mokeski,Tod Murphy,Brian Oliver,Gerald Paddio,Kenny Payne,Kevin Pritchard,Larry Robinson,Ralph Sampson*,Mike Sanders,Irving Thomas,Bob Thornton,Tom Tolbert,Sam Vincent,Morlon Wiley,John Williams,Trevor Wilson,Kennard Winchester,David Wingate,Mike Woodson"
6,"Michael Adams,Larry Bird*,Rex Chapman,Craig Ehlo,Sleepy Floyd,Vernon Maxwell,Travis Mays,Chris Morris,Glen Rice,Doc Rivers,Byron Scott,Dennis Scott,Jack Sikma,Reggie Williams"
7,"Mark Aguirre,Charles Barkley*,John Battle,Rolando Blackman,Dee Brown,Tony Campbell,Sherman Douglas,Clyde Drexler*,Joe Dumars*,Rickey Green,Eddie Johnson,Kevin Johnson,Michael Jordan*,Bernard King*,Dan Majerle,Chris Mullin*,Johnny Newman,Chuck Person,Ricky Pierce,Mitch Richmond*,Rod Strickland,Reggie Theus,Sedale Threatt,Dominique Wilkins*,Gerald Wilkins,James Worthy*"
8,"Mookie Blaylock,Kevin Edwards,Vinnie Johnson,Pooh Richardson"
9,"Chucky Brown,Blue Edwards"
