Group,Player
0,Quincy Acy
1,Alexis Ajinca
2,Tony Allen
3,"Alan Anderson,Luke Babbitt,Jerryd Bayless,Matt Bonner,Chase Budinger,Reggie Bullock,Alec Burks,Caron Butler,DeMarre Carroll,Vince Carter,Ian Clark,Chris Copeland,Seth Curry,Troy Daniels,Bryce Dejean-Jones,Mike Dunleavy,Jarell Eddie,James Ennis,Jordan Farmar,Eric Gordon,Jordan Hamilton,Tim Hardaway,Darrun Hilliard,R.J. Hunter,John Jenkins,Tyler Johnson,James Jones,Chris Kaman,Sergey Karasev,Sean Kilpatrick,Chris McCullough,K.J. McDaniels,Jordan McRae,Andre Miller,Anthony Morrow,Donatas Motiejunas,Xavier Munford,Gary Neal,Kelly Oubre,Cameron Payne,Norman Powell,Brian Roberts,Glenn Robinson,Damjan Rudez,Jonathon Simmons,Kyle Singler,Jason Terry,Axel Toupane,C.J. Wilcox,Mo Williams,Delon Wright"
4,"Lou Amundson,James Anderson,Cameron Bairstow,DeJuan Blair,Steve Blake,Elton Brand,Aaron Brooks,Anthony Brown,Markel Brown,Norris Cole,Pat Connaughton,Jared Cunningham,Spencer Dinwiddie,Cleanthony Early,Tyler Ennis,Tim Frazier,Kevin Garnett,Drew Gooden,Archie Goodwin,Jerian Grant,Udonis Haslem,Kirk Hinrich,Justin Holiday,Rondae Hollis-Jefferson,Marcelo Huertas,Damien Inglis,Brandon Jennings,Chris Johnson,Orlando Johnson,Tyus Jones,Ryan Kelly,Ty Lawson,Devyn Marble,Kendall Marshall,Jarell Martin,O.J. Mayo,Ray McCallum,Josh McRoberts,Mike Miller,Elijah Millsap,Shabazz Napier,Jameer Nelson,Kostas Papanikolaou,Lamar Patterson,Adreian Payne,Nikola Pekovic,Phil Pressey,Terry Rozier,Robert Sacre,Kevin Seraphin,Iman Shumpert,Henry Sims,Rodney Stuckey,Beno Udrih,Anderson Varejao,Greivis Vasquez,Rashad Vaughn,Sasha Vujacic,C.J. Watson,Briante Weber,Sonny Weems,Metta World,Tony Wroten,James Young,Joe Young"
5,Justin Anderson
6,Kyle Anderson
7,Ryan Anderson
8,"Carmelo Anthony,Trevor Ariza,Will Barton,Kent Bazemore,Bradley Beal,Patrick Beverley,Devin Booker,Chris Bosh,Avery Bradley,Jimmy Butler,Kentavious Caldwell-Pope,Jordan Clarkson,Mike Conley,Allen Crabbe,Jamal Crawford,Jae Crowder,Stephen Curry,Luol Deng,DeMar DeRozan,Goran Dragic,Kevin Durant,Monta Ellis,Evan Fournier,Rudy Gay,Paul George,Jeff Green,James Harden,Gary Harris,Tobias Harris,Gordon Hayward,George Hill,Jrue Holiday,Rodney Hood,Kyrie Irving,Reggie Jackson,LeBron James,Joe Johnson,Brandon Knight,Zach LaVine,Courtney Lee,Kawhi Leonard,Damian Lillard,Kevin Love,Kyle Lowry,Wesley Matthews,C.J. McCollum,Khris Middleton,C.J. Miles,Marcus Morris,Dirk Nowitzki,Victor Oladipo,Tony Parker,Chris Paul,Elfrid Payton,Otto Porter,J.J. Redick,Terrence Ross,D'Angelo Russell,Dennis Schroder,Ish Smith,J.R. Smith,Jeff Teague,Isaiah Thomas,Klay Thompson,Dwyane Wade,Kemba Walker,John Wall,Russell Westbrook,Andrew Wiggins,Deron Williams,Marvin Williams"
9,Darrell Arthur
10,Omer Asik
11,D.J. Augustin
12,Jeff Ayres
13,J.J. Barea
14,Andrea Bargnani
15,Harrison Barnes
16,"Al-Farouq Aminu,Matt Barnes,Robert Covington"
17,Brandon Bass
18,Nicolas Batum
19,"Marco Belinelli,Wayne Ellington,Randy Foye,Gerald Green,P.J. Hairston,Kevin Martin,Ben McLemore,Paul Pierce,Tony Snell,Nik Stauskas,Hollis Thompson,Nick Young"
20,"Steven Adams,Lavoy Allen,Aron Baynes,Bismack Biyombo,Andrew Bogut,Clint Capela,Willie Cauley-Stein,Tyson Chandler,Ed Davis,Gorgui Dieng,Kenneth Faried,Taj Gibson,Rudy Gobert,Aaron Gordon,Marcin Gortat,JaMychal Green,Jordan Hill,Dwight Howard,Amir Johnson,Nikola Jokic,DeAndre Jordan,Enes Kanter,Kosta Koufos,Robin Lopez,Ian Mahinmi,Timofey Mozgov,Zaza Pachulia,Mason Plumlee,Tristan Thompson,Jonas Valanciunas,Hassan Whiteside,Cody Zeller"
21,Nemanja Bjelica
22,Eric Bledsoe
23,"Arron Afflalo,Bojan Bogdanovic,Doug McDermott"
24,Trevor Booker
25,Kobe Bryant
26,Rasual Butler
27,Jose Calderon
28,Isaiah Canaan
29,Michael Carter-Williams
30,Omri Casspi
31,Mario Chalmers
32,Darren Collison
33,Dante Cunningham
34,"LaMarcus Aldridge,Giannis Antetokounmpo,DeMarcus Cousins,Anthony Davis,Derrick Favors,Marc Gasol,Pau Gasol,Draymond Green,Al Horford,Serge Ibaka,Brook Lopez,Paul Millsap,Greg Monroe,Kristaps Porzingis,Zach Randolph,Karl-Anthony Towns,Nikola Vucevic"
35,"Cole Aldrich,Dewayne Dedmon,Festus Ezeli,John Henson,David Lee,JaVale McGee,Salah Mejri,Miles Plumlee,Dwight Powell,Willie Reed,Amar'e Stoudemire,Jeff Withey"
36,Matthew Dellavedova
37,Boris Diaw
38,Toney Douglas
39,Jared Dudley
40,Tim Duncan
41,"Chris Andersen,Jeremy Evans,Cristiano Felicio,Montrezl Harrell,Ryan Hollins,Richaun Holmes,Michael Kidd-Gilchrist,James Michael,Mike Muscala,Lucas Nogueira,Tiago Splitter,Jason Thompson,Brandan Wright"
42,Tyreke Evans
43,Raymond Felton
44,Channing Frye
45,Langston Galloway
46,Alonzo Gee
47,Manu Ginobili
48,Jerami Grant
49,Danny Green
50,Blake Griffin
51,Tyler Hansbrough
52,Devin Harris
53,Spencer Hawes
54,Gerald Henderson
55,Mario Hezonja
56,Roy Hibbert
57,"Tarik Black,J.J. Hickson,Greg Smith"
58,Nene Hilario
59,Solomon Hill
60,Kris Humphries
61,Andre Iguodala
62,Ersan Ilyasova
63,Joe Ingles
64,Jarrett Jack
65,Al Jefferson
66,Richard Jefferson
67,Jonas Jerebko
68,James Johnson
69,Stanley Johnson
70,Wesley Johnson
71,Terrence Jones
72,Cory Joseph
73,Frank Kaminsky
74,Kyle Korver
75,Jeremy Lamb
76,"Michael Beasley,Carl Landry"
77,Joffrey Lauvergne
78,Meyers Leonard
79,Jon Leuer
80,Jeremy Lin
81,Shaun Livingston
82,Trey Lyles
83,Shelvin Mack
84,Boban Marjanovic
85,Luc Mbah
86,"Shane Larkin,T.J. McConnell"
87,Patty Mills
88,Nikola Mirotic
89,"Leandro Barbosa,E'Twaun Moore"
90,Markieff Morris
91,Emmanuel Mudiay
92,Larry Nance
93,Raul Neto
94,Andrew Nicholson
95,Joakim Noah
96,Nerlens Noel
97,Jusuf Nurkic
98,Johnny O'Bryant
99,Kyle O'Quinn
100,Jahlil Okafor
101,Kelly Olynyk
102,Jabari Parker
103,Chandler Parsons
104,Patrick Patterson
105,"Nick Collison,Kendrick Perkins"
106,Bobby Portis
107,Ronnie Price
108,Pablo Prigioni
109,Tayshaun Prince
110,"Alex Len,Julius Randle"
111,Josh Richardson
112,Austin Rivers
113,"Maurice Harkless,Andre Roberson"
114,Thomas Robinson
115,Rajon Rondo
116,Derrick Rose
117,Ricky Rubio
118,JaKarr Sampson
119,Luis Scola
120,Mike Scott
121,Thabo Sefolosha
122,Ramon Sessions
123,Donald Sloan
124,Marcus Smart
125,Jason Smith
126,Josh Smith
127,Marreese Speights
128,Lance Stephenson
129,"Andre Drummond,Jared Sullinger,Thaddeus Young"
130,Mirza Teletovic
131,Garrett Temple
132,Lance Thomas
133,"Trey Burke,Marcus Thornton"
134,"Brandon Rush,Anthony Tolliver"
135,P.J. Tucker
136,Evan Turner
137,Myles Turner
138,Charlie Villanueva
139,Noah Vonleh
140,"Corey Brewer,Dion Waiters"
141,T.J. Warren
142,David West
143,"Shabazz Muhammad,Derrick Williams"
144,"Danilo Gallinari,Lou Williams"
145,Justise Winslow
146,Christian Wood
147,Tyler Zeller
