Year,Player,Pos,Age,Tm,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Group,Merged_Group
2006.0,Rasho Nesterovic,C,29.0,SAS,80.0,51.0,1515.0,11.0,0.521,0.006,0.09,9.1,14.8,12.1,3.4,0.8,4.2,13.2,12.6,0.9,2.9,3.7,0.118,-2.9,2.8,-0.1,0.7,172.0,334.0,0.515,0.0,2.0,0.0,172.0,332.0,0.518,0.515,18.0,30.0,0.6,114.0,195.0,309.0,33.0,21.0,88.0,53.0,209.0,362.0,6,6
2006.0,Ira Newble,SG,31.0,CLE,36.0,3.0,353.0,4.0,0.375,0.228,0.281,7.0,11.9,9.4,3.7,0.8,2.2,15.8,10.0,-0.3,0.3,0.1,0.009000000000000001,-5.1,0.6,-4.5,-0.2,17.0,57.0,0.298,3.0,13.0,0.231,14.0,44.0,0.318,0.325,11.0,16.0,0.688,21.0,35.0,56.0,9.0,5.0,10.0,12.0,47.0,48.0,1,4
2006.0,Andres Nocioni,PF,26.0,CHI,82.0,43.0,2239.0,16.1,0.5670000000000001,0.28600000000000003,0.29100000000000004,4.6,21.0,12.8,9.0,0.9,1.8,11.3,21.3,3.3,3.4,6.7,0.14400000000000002,0.2,0.8,1.0,1.7,383.0,831.0,0.461,93.0,238.0,0.391,290.0,593.0,0.489,0.517,204.0,242.0,0.843,89.0,411.0,500.0,117.0,40.0,52.0,120.0,252.0,1063.0,3,2
2006.0,Moochie Norris,PG,32.0,TOT,45.0,0.0,424.0,10.1,0.479,0.125,0.375,3.4,11.7,7.5,20.1,2.6,0.2,20.2,18.2,-0.3,0.5,0.3,0.029,-3.7,0.2,-3.5,-0.2,46.0,112.0,0.411,4.0,14.0,0.28600000000000003,42.0,98.0,0.429,0.429,29.0,42.0,0.69,12.0,42.0,54.0,50.0,20.0,1.0,33.0,49.0,125.0,1,4
2006.0,Dirk Nowitzki,PF,27.0,DAL,81.0,81.0,3089.0,28.1,0.589,0.173,0.382,4.6,23.4,14.2,14.7,1.0,2.1,7.9,30.0,13.5,4.3,17.7,0.275,5.8,-0.1,5.7,6.0,751.0,1564.0,0.48,110.0,271.0,0.406,641.0,1293.0,0.496,0.515,539.0,598.0,0.901,115.0,613.0,728.0,226.0,58.0,83.0,156.0,164.0,2151.0,3,2
2006.0,Jermaine O'Neal,PF,27.0,IND,51.0,47.0,1802.0,20.4,0.53,0.012,0.457,6.7,23.2,15.2,14.9,0.8,4.7,13.5,28.9,1.4,3.5,4.9,0.131,-1.1,3.0,1.9,1.8,380.0,805.0,0.472,3.0,10.0,0.3,377.0,795.0,0.474,0.474,261.0,368.0,0.7090000000000001,102.0,374.0,476.0,133.0,27.0,117.0,151.0,177.0,1024.0,10,1
2006.0,Shaquille O'Neal*,C,33.0,MIA,59.0,58.0,1806.0,24.4,0.586,0.0,0.589,11.7,23.1,17.6,12.4,0.7,4.4,14.3,30.0,3.3,2.9,6.2,0.16399999999999998,1.4,1.2,2.6,2.1,480.0,800.0,0.6,0.0,0.0,0.0,480.0,800.0,0.6,0.6,221.0,471.0,0.469,172.0,369.0,541.0,113.0,23.0,104.0,168.0,230.0,1181.0,23,0
2006.0,Fabricio Oberto,C,30.0,SAS,59.0,0.0,490.0,9.3,0.491,0.022,0.29,14.1,15.5,14.8,8.3,1.0,1.6,21.1,12.9,0.2,0.9,1.1,0.105,-2.6,1.9,-0.7,0.2,44.0,93.0,0.473,0.0,2.0,0.0,44.0,91.0,0.484,0.473,15.0,27.0,0.556,57.0,66.0,123.0,27.0,9.0,11.0,28.0,91.0,103.0,1,4
2006.0,Lamar Odom,PF,26.0,LAL,80.0,80.0,3221.0,17.0,0.5579999999999999,0.232,0.338,6.6,20.3,13.5,22.4,1.2,1.5,16.7,18.1,5.4,3.8,9.2,0.13699999999999998,1.7,1.7,3.4,4.4,445.0,925.0,0.481,80.0,215.0,0.3720000000000001,365.0,710.0,0.514,0.524,216.0,313.0,0.69,181.0,557.0,738.0,443.0,75.0,64.0,213.0,256.0,1186.0,3,2
2006.0,Emeka Okafor,PF,23.0,CHA,26.0,25.0,874.0,14.9,0.464,0.0,0.396,11.7,23.7,17.3,6.0,1.3,4.4,12.5,21.5,-0.2,1.1,1.0,0.054000000000000006,-3.5,1.6,-1.9,0.0,131.0,316.0,0.415,0.0,0.0,0.0,131.0,316.0,0.415,0.415,82.0,125.0,0.6559999999999999,94.0,167.0,261.0,31.0,22.0,50.0,53.0,88.0,344.0,49,0
