Year,Player,Pos,Age,Tm,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Group,Merged_Group
1996.0,Mahmoud Abdul-Rauf,PG,26.0,DEN,57.0,53.0,2029.0,18.6,0.535,0.324,0.16399999999999998,1.5,6.4,3.9,34.7,1.6,0.1,10.1,25.1,4.4,1.1,5.5,0.131,4.3,-3.1,1.1,1.6,414.0,955.0,0.434,121.0,309.0,0.392,293.0,646.0,0.454,0.4970000000000001,146.0,157.0,0.93,26.0,112.0,138.0,389.0,64.0,3.0,115.0,117.0,1095.0,3,1
1996.0,Michael Adams,PG,33.0,CHH,21.0,3.0,329.0,16.1,0.579,0.494,0.422,1.8,6.4,4.1,30.4,3.3,0.9,20.3,17.0,0.6,0.2,0.8,0.117,1.2,-1.9,-0.8,0.1,37.0,83.0,0.446,14.0,41.0,0.341,23.0,42.0,0.5479999999999999,0.53,26.0,35.0,0.743,5.0,17.0,22.0,67.0,21.0,4.0,25.0,25.0,114.0,26,0
1996.0,Rafael Addison,SF,31.0,CHH,53.0,0.0,516.0,9.6,0.489,0.055,0.133,5.8,15.6,10.6,9.2,0.9,1.3,13.4,17.7,0.0,0.2,0.2,0.019,-3.8,-1.5,-5.2,-0.4,77.0,165.0,0.467,0.0,9.0,0.0,77.0,156.0,0.494,0.467,17.0,22.0,0.773,25.0,65.0,90.0,30.0,9.0,9.0,27.0,74.0,171.0,19,2
1996.0,Cory Alexander,PG,22.0,SAS,60.0,0.0,560.0,8.7,0.506,0.426,0.161,1.9,6.3,4.2,31.6,2.5,0.3,29.1,18.8,-0.5,0.7,0.2,0.021,-3.1,-1.6,-4.7,-0.4,63.0,155.0,0.406,26.0,66.0,0.394,37.0,89.0,0.416,0.49,16.0,25.0,0.64,9.0,33.0,42.0,121.0,27.0,2.0,68.0,94.0,168.0,25,3
1996.0,Jerome Allen,SG,23.0,MIN,41.0,0.0,362.0,7.8,0.447,0.314,0.343,1.7,6.6,4.1,20.8,3.0,1.1,22.0,19.0,-0.5,0.3,-0.3,-0.033,-4.4,-1.6,-6.1,-0.4,36.0,105.0,0.343,10.0,33.0,0.303,26.0,72.0,0.361,0.39,26.0,36.0,0.722,5.0,20.0,25.0,49.0,21.0,5.0,34.0,42.0,108.0,10,4
1996.0,Derrick Alston,C,23.0,PHI,73.0,41.0,1614.0,11.8,0.518,0.008,0.289,8.8,12.9,10.8,6.5,1.8,2.4,11.9,13.7,1.0,0.8,1.7,0.052000000000000005,-2.2,0.5,-1.8,0.1,198.0,387.0,0.512,1.0,3.0,0.333,197.0,384.0,0.513,0.513,55.0,112.0,0.491,127.0,175.0,302.0,61.0,56.0,52.0,59.0,191.0,452.0,0,0
1996.0,John Amaechi,PF,25.0,CLE,28.0,3.0,357.0,3.1,0.456,0.0,0.471,4.8,14.8,9.7,4.1,1.0,2.7,28.7,16.8,-0.9,0.4,-0.6,-0.075,-9.1,0.1,-9.0,-0.6,29.0,70.0,0.414,0.0,0.0,0.0,29.0,70.0,0.414,0.414,19.0,33.0,0.5760000000000001,13.0,39.0,52.0,9.0,6.0,11.0,34.0,49.0,77.0,19,2
1996.0,Ashraf Amaya,PF,24.0,VAN,54.0,34.0,1104.0,11.8,0.534,0.004,0.591,11.7,20.8,16.1,5.1,1.1,0.7,15.2,15.5,0.7,1.1,1.8,0.078,-3.4,-0.5,-3.9,-0.5,121.0,252.0,0.48,0.0,1.0,0.0,121.0,251.0,0.482,0.48,97.0,149.0,0.6509999999999999,114.0,189.0,303.0,33.0,22.0,10.0,57.0,151.0,339.0,1,0
1996.0,Greg Anderson,PF,31.0,SAS,46.0,7.0,344.0,7.7,0.466,0.021,0.532,9.8,22.1,16.2,4.0,1.3,5.0,27.5,10.5,-0.3,0.7,0.4,0.056,-5.6,3.8,-1.9,0.0,24.0,47.0,0.511,0.0,1.0,0.0,24.0,46.0,0.522,0.511,6.0,25.0,0.24,29.0,71.0,100.0,10.0,9.0,24.0,22.0,66.0,54.0,9,0
1996.0,Kenny Anderson,PG,25.0,TOT,69.0,64.0,2344.0,19.5,0.534,0.307,0.405,3.0,7.1,5.0,40.4,2.5,0.5,12.9,21.4,6.1,1.6,7.7,0.158,4.2,-1.9,2.3,2.6,349.0,834.0,0.418,92.0,256.0,0.359,257.0,578.0,0.445,0.474,260.0,338.0,0.769,63.0,140.0,203.0,575.0,111.0,14.0,146.0,178.0,1050.0,3,1
1996.0,Nick Anderson,SG,28.0,ORL,77.0,77.0,2717.0,16.5,0.562,0.476,0.265,4.0,13.5,8.9,15.6,2.3,1.2,12.3,19.1,4.2,3.3,7.4,0.131,2.4,0.7,3.1,3.5,400.0,904.0,0.442,168.0,430.0,0.391,232.0,474.0,0.489,0.535,166.0,240.0,0.6920000000000001,92.0,323.0,415.0,279.0,121.0,46.0,141.0,135.0,1134.0,3,1
1996.0,Willie Anderson,SG,29.0,TOT,76.0,44.0,2060.0,11.3,0.507,0.182,0.247,2.8,11.4,7.1,15.1,1.9,2.2,16.3,18.9,0.0,1.5,1.4,0.033,-2.4,-0.1,-2.5,-0.3,288.0,660.0,0.436,34.0,120.0,0.28300000000000003,254.0,540.0,0.47,0.462,132.0,163.0,0.81,48.0,198.0,246.0,197.0,75.0,59.0,143.0,230.0,742.0,2,0
1996.0,Greg Anthony,PG,28.0,VAN,69.0,68.0,2096.0,18.6,0.53,0.34700000000000003,0.38,1.6,8.4,4.9,41.9,2.9,0.4,14.9,23.3,2.9,1.9,4.8,0.111,2.9,-1.6,1.3,1.7,324.0,781.0,0.415,90.0,271.0,0.332,234.0,510.0,0.459,0.472,229.0,297.0,0.7709999999999999,29.0,145.0,174.0,476.0,116.0,11.0,160.0,137.0,967.0,3,1
1996.0,B.J. Armstrong,PG,28.0,GSW,82.0,64.0,2262.0,17.3,0.595,0.285,0.384,1.1,8.3,4.7,28.4,1.5,0.2,13.1,18.8,6.2,0.8,7.0,0.149,2.8,-2.7,0.1,1.2,340.0,727.0,0.468,98.0,207.0,0.473,242.0,520.0,0.465,0.535,234.0,279.0,0.8390000000000001,22.0,162.0,184.0,401.0,68.0,6.0,128.0,147.0,1012.0,3,1
1996.0,Vincent Askew,SG,29.0,SEA,69.0,2.0,1725.0,11.9,0.574,0.197,0.369,4.7,10.0,7.5,14.6,1.4,0.7,15.9,15.6,2.2,2.2,4.3,0.12,-0.5,0.3,-0.2,0.8,215.0,436.0,0.493,29.0,86.0,0.337,186.0,350.0,0.531,0.526,123.0,161.0,0.764,65.0,153.0,218.0,163.0,47.0,15.0,96.0,178.0,582.0,5,0
1996.0,Keith Askins,SF,28.0,MIA,75.0,14.0,1897.0,10.0,0.55,0.606,0.146,7.1,12.7,9.9,9.8,1.3,2.5,16.5,11.9,1.6,2.8,4.4,0.111,0.0,2.5,2.5,2.2,157.0,391.0,0.402,99.0,237.0,0.418,58.0,154.0,0.377,0.528,45.0,57.0,0.789,113.0,211.0,324.0,121.0,48.0,61.0,82.0,271.0,458.0,6,0
1996.0,Stacey Augmon,SF,27.0,ATL,77.0,49.0,2294.0,15.9,0.556,0.005,0.43,6.8,9.0,7.8,10.0,2.5,1.0,13.6,19.9,3.5,2.1,5.6,0.117,-0.1,0.2,0.1,1.2,362.0,738.0,0.491,1.0,4.0,0.25,361.0,734.0,0.4920000000000001,0.491,251.0,317.0,0.792,137.0,167.0,304.0,137.0,106.0,31.0,138.0,188.0,976.0,22,5
1996.0,Anthony Avent,PF,26.0,VAN,71.0,32.0,1586.0,6.9,0.415,0.0,0.165,7.7,18.9,13.1,7.4,1.0,2.0,17.6,17.5,-2.8,1.6,-1.2,-0.037000000000000005,-7.0,0.6,-6.4,-1.7,179.0,466.0,0.384,0.0,0.0,0.0,179.0,466.0,0.384,0.384,57.0,77.0,0.74,108.0,247.0,355.0,69.0,30.0,42.0,107.0,202.0,415.0,7,0
1996.0,Vin Baker,PF,24.0,MIL,82.0,82.0,3319.0,18.4,0.527,0.034,0.335,9.5,20.5,14.9,11.4,1.1,2.1,11.6,25.6,3.7,2.4,6.2,0.08900000000000001,0.4,0.1,0.4,2.1,699.0,1429.0,0.489,10.0,48.0,0.208,689.0,1381.0,0.499,0.493,321.0,479.0,0.67,263.0,545.0,808.0,212.0,68.0,91.0,216.0,272.0,1729.0,22,5
1996.0,Steve Bardo,SG,27.0,DET,9.0,0.0,123.0,8.4,0.429,0.174,0.261,2.0,18.9,10.8,19.2,1.8,0.6,16.3,11.9,0.0,0.2,0.2,0.069,-4.1,1.6,-2.6,0.0,9.0,23.0,0.391,0.0,4.0,0.0,9.0,19.0,0.474,0.391,4.0,6.0,0.667,2.0,20.0,22.0,15.0,4.0,1.0,5.0,17.0,22.0,19,2
1996.0,Charles Barkley*,PF,32.0,PHO,71.0,71.0,2632.0,24.8,0.585,0.151,0.488,10.9,25.0,18.1,17.4,2.2,1.6,13.4,27.5,7.0,3.5,10.5,0.191,4.5,1.4,5.9,5.2,580.0,1160.0,0.5,49.0,175.0,0.28,531.0,985.0,0.539,0.521,440.0,566.0,0.777,243.0,578.0,821.0,262.0,114.0,56.0,218.0,208.0,1649.0,22,5
1996.0,Dana Barros,PG,28.0,BOS,80.0,25.0,2328.0,15.6,0.596,0.457,0.182,1.0,8.4,4.6,20.8,1.2,0.1,12.1,18.3,4.8,0.8,5.6,0.116,2.6,-2.4,0.2,1.3,379.0,806.0,0.47,150.0,368.0,0.408,229.0,438.0,0.523,0.563,130.0,147.0,0.884,21.0,171.0,192.0,306.0,58.0,3.0,120.0,116.0,1038.0,4,6
1996.0,Brent Barry,SG,24.0,LAC,79.0,44.0,1898.0,15.9,0.609,0.496,0.229,2.4,8.4,5.3,18.8,2.6,0.9,15.4,18.3,3.7,1.2,4.9,0.124,2.7,-1.0,1.7,1.8,283.0,597.0,0.474,123.0,296.0,0.416,160.0,301.0,0.532,0.5770000000000001,111.0,137.0,0.81,38.0,130.0,168.0,230.0,95.0,22.0,120.0,196.0,800.0,3,1
1996.0,Jon Barry,SG,26.0,GSW,68.0,0.0,712.0,14.9,0.638,0.503,0.2,2.7,7.5,5.1,18.5,2.4,1.1,17.3,14.9,1.4,0.4,1.8,0.122,1.5,-1.3,0.1,0.4,91.0,185.0,0.4920000000000001,44.0,93.0,0.473,47.0,92.0,0.511,0.611,31.0,37.0,0.838,17.0,46.0,63.0,85.0,33.0,11.0,42.0,51.0,257.0,26,0
1996.0,Benoit Benjamin,C,31.0,TOT,83.0,71.0,1896.0,14.4,0.539,0.005,0.329,8.8,26.1,17.3,5.7,1.3,3.4,17.6,19.8,0.1,2.2,2.3,0.057,-3.8,0.5,-3.3,-0.6,294.0,590.0,0.498,0.0,3.0,0.0,294.0,587.0,0.501,0.498,140.0,194.0,0.722,141.0,398.0,539.0,64.0,45.0,85.0,144.0,224.0,728.0,22,5
1996.0,Mario Bennett,SF,22.0,PHO,19.0,14.0,230.0,13.3,0.515,0.016,0.6559999999999999,10.7,13.9,12.3,3.9,2.5,3.6,11.8,18.1,0.2,0.3,0.5,0.098,-2.4,0.4,-2.0,0.0,29.0,64.0,0.453,0.0,1.0,0.0,29.0,63.0,0.46,0.453,27.0,42.0,0.643,21.0,28.0,49.0,6.0,11.0,11.0,11.0,46.0,85.0,19,2
1996.0,David Benoit,SF,27.0,UTA,81.0,63.0,1961.0,12.2,0.524,0.33,0.193,5.8,17.9,12.0,6.3,1.2,2.1,10.1,16.4,1.6,2.3,3.9,0.096,-0.4,0.8,0.3,1.2,255.0,581.0,0.439,64.0,192.0,0.333,191.0,389.0,0.491,0.494,87.0,112.0,0.777,90.0,293.0,383.0,82.0,43.0,49.0,71.0,166.0,661.0,8,0
