Year,Player,Pos,Age,Tm,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Group,Merged_Group
2001.0,Alan Henderson,PF,28.0,ATL,73.0,42.0,1810.0,14.0,0.487,0.001,0.404,11.0,14.0,12.5,4.9,1.5,1.1,13.8,22.6,0.5,1.4,1.9,0.05,-2.1,-1.3,-3.4,-0.6,298.0,671.0,0.444,0.0,1.0,0.0,298.0,670.0,0.445,0.444,173.0,271.0,0.638,180.0,226.0,406.0,50.0,51.0,29.0,126.0,164.0,769.0,10,2
2001.0,Cedric Henderson,SF,25.0,CLE,55.0,10.0,961.0,6.2,0.416,0.031,0.17600000000000002,2.3,8.5,5.4,13.2,1.6,1.7,18.2,16.2,-1.3,0.5,-0.7,-0.037000000000000005,-4.8,-0.4,-5.2,-0.8,102.0,262.0,0.389,1.0,8.0,0.125,101.0,254.0,0.398,0.391,30.0,46.0,0.652,19.0,71.0,90.0,79.0,29.0,23.0,63.0,101.0,235.0,0,1
2001.0,Chris Herren,PG,25.0,BOS,25.0,7.0,408.0,6.1,0.41,0.573,0.125,1.1,5.1,3.0,21.9,1.8,0.0,16.5,13.5,-0.2,0.2,0.0,0.001,-3.4,-3.3,-6.7,-0.5,29.0,96.0,0.302,16.0,55.0,0.29100000000000004,13.0,41.0,0.317,0.385,9.0,12.0,0.75,4.0,17.0,21.0,56.0,14.0,0.0,20.0,43.0,83.0,0,1
2001.0,Grant Hill,SF,28.0,ORL,4.0,4.0,133.0,18.1,0.505,0.023,0.605,6.5,14.5,10.4,30.7,1.9,1.1,16.8,21.8,0.2,0.2,0.3,0.126,0.3,0.0,0.3,0.1,19.0,43.0,0.442,1.0,1.0,1.0,18.0,42.0,0.429,0.453,16.0,26.0,0.615,8.0,17.0,25.0,25.0,5.0,2.0,11.0,9.0,55.0,30,0
2001.0,Tyrone Hill,PF,32.0,PHI,76.0,75.0,2363.0,12.4,0.515,0.002,0.465,11.7,21.0,16.4,3.3,0.8,0.8,15.2,16.0,2.0,3.5,5.5,0.111,-1.8,0.1,-1.7,0.2,278.0,587.0,0.474,0.0,1.0,0.0,278.0,586.0,0.474,0.474,172.0,273.0,0.63,239.0,448.0,687.0,48.0,37.0,27.0,127.0,242.0,728.0,10,2
2001.0,Fred Hoiberg,SG,28.0,CHI,74.0,37.0,2247.0,15.3,0.597,0.505,0.317,1.1,15.8,8.1,19.9,2.3,0.4,11.6,13.2,4.6,1.3,5.9,0.126,1.6,-0.6,0.9,1.7,217.0,495.0,0.438,103.0,250.0,0.412,114.0,245.0,0.465,0.542,136.0,157.0,0.866,21.0,287.0,308.0,263.0,98.0,12.0,74.0,155.0,673.0,5,0
2001.0,Robert Horry,PF,30.0,LAL,79.0,1.0,1587.0,11.0,0.489,0.411,0.218,6.7,14.3,10.5,11.7,1.8,2.4,15.9,14.0,1.1,1.5,2.6,0.078,-0.5,0.8,0.3,0.9,147.0,380.0,0.387,54.0,156.0,0.34600000000000003,93.0,224.0,0.415,0.458,59.0,83.0,0.711,93.0,203.0,296.0,128.0,54.0,54.0,79.0,210.0,407.0,31,0
2001.0,Eddie House,PG,22.0,MIA,50.0,0.0,550.0,11.6,0.478,0.223,0.142,1.1,8.0,4.5,19.4,1.3,0.0,11.8,26.2,-0.2,0.6,0.4,0.035,-2.4,-2.9,-5.3,-0.5,104.0,247.0,0.421,19.0,55.0,0.345,85.0,192.0,0.443,0.46,24.0,35.0,0.6859999999999999,5.0,37.0,42.0,52.0,13.0,0.0,35.0,58.0,251.0,0,1
2001.0,Allan Houston,SG,29.0,NYK,78.0,78.0,2858.0,16.1,0.5429999999999999,0.209,0.254,0.9,10.8,6.0,12.0,1.0,0.3,10.7,25.7,4.1,3.5,7.5,0.126,1.2,-0.9,0.3,1.6,542.0,1208.0,0.449,96.0,252.0,0.381,446.0,956.0,0.467,0.488,279.0,307.0,0.909,20.0,263.0,283.0,173.0,52.0,10.0,161.0,190.0,1459.0,1,3
2001.0,Juwan Howard,PF,27.0,TOT,81.0,81.0,2974.0,16.0,0.527,0.002,0.314,6.6,15.6,11.1,13.9,1.3,0.9,14.9,24.6,2.8,1.6,4.4,0.071,0.2,-0.6,-0.4,1.2,583.0,1218.0,0.479,0.0,3.0,0.0,583.0,1215.0,0.48,0.479,296.0,383.0,0.773,171.0,401.0,572.0,224.0,75.0,37.0,242.0,292.0,1462.0,10,2
