Year,Communities,More_than_10,Only_one
1987,40,4,23
1988,48,3,36
1989,37,4,25
1990,61,6,46
1991,58,5,42
1992,63,4,47
1993,60,5,43
1994,53,5,37
1995,47,6,38
1996,48,4,35
1997,39,7,26
1998,38,6,24
1999,45,4,32
2000,44,5,34
2001,45,6,34
2002,51,6,38
2003,50,5,36
2004,47,3,37
2005,40,4,26
2006,48,5,35
2007,36,5,22
2008,44,7,32
2009,37,6,30
2010,50,6,36
2011,43,6,34
2012,42,6,26
2013,47,8,33
2014,36,5,25
2015,64,7,49
2016,55,7,40
2017,66,6,48
