Year,Communities,More_than_10,Only_one
1987,61,5,41
1988,69,3,52
1989,58,6,38
1990,82,6,63
1991,89,7,71
1992,86,5,65
1993,79,5,65
1994,71,7,51
1995,62,6,51
1996,65,5,50
1997,50,8,36
1998,60,7,45
1999,69,6,50
2000,66,5,50
2001,67,8,48
2002,70,5,59
2003,70,8,55
2004,65,9,47
2005,67,5,46
2006,66,6,53
2007,56,8,36
2008,59,8,44
2009,59,7,43
2010,66,8,48
2011,54,9,39
2012,66,7,51
2013,62,7,48
2014,61,6,46
2015,82,9,63
2016,75,6,57
2017,84,6,61
