Year,Communities,More_than_10,Only_one
1987,54,7,40
1988,58,6,44
1989,55,4,40
1990,95,5,75
1991,68,7,50
1992,75,5,57
1993,77,6,57
1994,79,8,60
1995,68,6,50
1996,75,6,61
1997,66,7,48
1998,74,6,51
1999,76,6,54
2000,73,5,55
2001,73,7,55
2002,91,5,68
2003,85,8,66
2004,83,7,60
2005,66,7,49
2006,76,7,57
2007,81,5,58
2008,65,6,47
2009,71,7,54
2010,78,5,58
2011,60,6,43
2012,83,7,61
2013,78,7,58
2014,69,6,53
2015,79,9,56
2016,99,7,73
2017,82,5,60
