Year,Communities,More_than_10,Only_one
1987,20,4,11
1988,34,5,23
1989,26,4,16
1990,39,4,28
1991,34,7,19
1992,37,3,27
1993,37,5,26
1994,32,6,20
1995,28,5,18
1996,22,4,18
1997,25,5,18
1998,21,6,13
1999,26,5,20
2000,26,5,18
2001,31,5,21
2002,35,4,26
2003,31,4,24
2004,25,4,17
2005,24,4,15
2006,25,5,18
2007,22,7,12
2008,21,2,16
2009,22,3,17
2010,32,5,21
2011,28,5,21
2012,28,6,17
2013,26,7,18
2014,31,6,22
2015,40,6,28
2016,28,4,16
2017,34,6,23
