Year,Communities,More_than_10,Only_one
1987,63,5,41
1988,73,7,53
1989,58,4,38
1990,82,5,63
1991,88,5,71
1992,86,6,65
1993,79,5,65
1994,70,7,51
1995,64,6,51
1996,66,5,50
1997,49,8,35
1998,60,7,45
1999,68,5,50
2000,66,5,50
2001,64,8,48
2002,70,5,59
2003,69,7,55
2004,63,7,47
2005,65,5,46
2006,69,7,53
2007,51,6,36
2008,59,9,43
2009,58,5,43
2010,64,8,47
2011,52,7,39
2012,68,7,51
2013,64,8,48
2014,58,5,46
2015,79,7,63
2016,73,6,57
2017,82,7,61
