Year,Communities,More_than_10,Only_one
1987,87,7,63
1988,95,6,73
1989,111,4,82
1990,138,4,113
1991,120,8,91
1992,133,6,102
1993,117,5,91
1994,132,6,102
1995,124,6,96
1996,119,6,100
1997,116,5,91
1998,131,6,101
1999,134,8,104
2000,126,6,99
2001,125,7,95
2002,129,5,111
2003,137,6,109
2004,122,6,98
2005,120,6,87
2006,129,6,103
2007,130,8,103
2008,113,7,93
2009,117,5,96
2010,125,7,98
2011,109,8,81
2012,149,5,117
2013,135,8,105
2014,114,9,92
2015,140,7,109
2016,148,8,125
2017,159,5,125
